Emotion,Object,Scene,Set_ID,TBF_ID,TBR_ID,color,condition,exp_ID,filler,neg_ID,neu_ID,null_ID,order,pp_ID,remember_condition,repetition,trial_count
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,1,None,,51
neu,neutral_416.jpg,161.jpg,1,48,9999,None,TBF_neu,IMDF_scanner,no,48,9999,18,1,1,TBF,two,52
neg,People_198_h.jpg,769.jpg,1,9999,64,None,TBF_neg,IMDF_scanner,no,9999,64,94,4,1,TBF,one,53
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,1,None,,54
neg,Faces_028_h.jpg,87.jpg,1,9999,74,None,TBF_neg,IMDF_scanner,no,9999,74,104,4,1,TBF,one,55
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,1,None,,56
neu,neutral_121.jpg,140.jpg,1,42,9999,green,TBR_neu,IMDF_scanner,no,42,9999,12,1,1,TBR,one,57
neu,neutral_614.jpg,544.jpg,1,9999,49,None,TBF_neu,IMDF_scanner,no,79,9999,79,3,1,TBF,two,58
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,1,None,,59
neg,6211.jpg,376.jpg,1,84,9999,green,TBR_neg,IMDF_scanner,no,9999,54,54,2,1,TBR,two,60
neu,neutral_290.jpg,173.jpg,1,51,9999,green,TBR_neu,IMDF_scanner,no,51,9999,21,1,1,TBR,two,61
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,1,None,,62
neg,Objects_001_h.jpg,947.jpg,1,9999,90,None,TBF_neg,IMDF_scanner,no,9999,90,120,4,1,TBF,two,63
neg,Faces_302_h.jpg,321.jpg,1,77,9999,None,TBF_neg,IMDF_scanner,no,9999,47,47,2,1,TBF,two,64
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,1,None,,65
neg,blood_034.jpg,391.jpg,1,87,9999,green,TBR_neg,IMDF_scanner,no,9999,57,57,2,1,TBR,two,66
neu,neutral_057.jpg,106.jpg,1,33,9999,green,TBR_neu,IMDF_scanner,no,33,9999,3,1,1,TBR,one,67
neg,6210.jpg,373.jpg,1,83,9999,green,TBR_neg,IMDF_scanner,no,9999,53,53,2,1,TBR,two,68
neg,Objects_088_h.jpg,268.jpg,1,66,9999,None,TBF_neg,IMDF_scanner,no,9999,36,36,2,1,TBF,one,69
neu,neutral_588.jpg,453.jpg,1,9999,37,None,TBF_neu,IMDF_scanner,no,67,9999,67,3,1,TBF,one,70
neu,neutral_060.jpg,181.jpg,1,52,9999,green,TBR_neu,IMDF_scanner,no,52,9999,22,1,1,TBR,two,71
neu,neutral_370.jpg,159.jpg,1,47,9999,green,TBR_neu,IMDF_scanner,no,47,9999,17,1,1,TBR,two,72
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,1,None,,73
neu,neutral_538.jpg,51.jpg,1,9999,46,None,TBF_neu,IMDF_scanner,no,76,9999,76,3,1,TBF,two,74
neu,neutral_171.jpg,152.jpg,1,45,9999,None,TBF_neu,IMDF_scanner,no,45,9999,15,1,1,TBF,one,75
neg,9423.jpg,916.jpg,1,9999,84,None,TBF_neg,IMDF_scanner,no,9999,84,114,4,1,TBF,two,76
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,1,None,,77
neu,neutral_695.jpg,957.jpg,,9999,91,green,TBFneuFILLER,IMDF_scanner,yes,93,9999,125,5,1,TBR,9999,78
neg,People_143_h.jpg,954.jpg,,94,9999,None,TBRnegFILLER,IMDF_scanner,yes,9999,92,124,5,1,TBF,9999,79
neu,neutral_261.jpg,950.jpg,,91,9999,green,TBRneuFILLER,IMDF_scanner,yes,91,9999,121,5,1,TBR,9999,80
neg,People_133_h.jpg,981.jpg,,9999,93,None,TBFnegFILLER,IMDF_scanner,yes,9999,93,127,5,1,TBF,9999,81
neu,neutral_125.jpg,145.jpg,2,43,9999,green,TBR_neu,IMDF_scanner,no,43,9999,13,1,1,TBR,one,82
neu,neutral_063.jpg,184.jpg,2,53,9999,green,TBR_neu,IMDF_scanner,no,53,9999,23,1,1,TBR,two,83
neg,6370.jpg,9.jpg,2,9999,81,None,TBF_neg,IMDF_scanner,no,9999,81,111,4,1,TBF,two,84
None,,,2,,,None,NULL,IMDF_scanner,,,,9999,,1,None,,85
neu,neutral_242.jpg,724.jpg,2,9999,59,green,TBR_neu,IMDF_scanner,no,89,9999,89,3,1,TBR,two,86
neu,neutral_200.jpg,156.jpg,2,46,9999,green,TBR_neu,IMDF_scanner,no,46,9999,16,1,1,TBR,two,87
neg,Objects_126_h.jpg,802.jpg,2,9999,67,None,TBF_neg,IMDF_scanner,no,9999,67,97,4,1,TBF,one,88
neu,neutral_591.jpg,460.jpg,2,9999,38,None,TBF_neu,IMDF_scanner,no,68,9999,68,3,1,TBF,one,89
neu,neutral_620.jpg,55.jpg,2,9999,50,green,TBR_neu,IMDF_scanner,no,80,9999,80,3,1,TBR,two,90
neu,neutral_119.jpg,138.jpg,2,41,9999,green,TBR_neu,IMDF_scanner,no,41,9999,11,1,1,TBR,one,91
neg,Animals_065_h.jpg,75.jpg,2,9999,62,None,TBF_neg,IMDF_scanner,no,9999,62,92,4,1,TBF,one,92
neu,neutral_130.jpg,41.jpg,2,9999,31,None,TBF_neu,IMDF_scanner,no,61,9999,61,3,1,TBF,one,93
neu,neutral_148.jpg,560.jpg,2,9999,52,None,TBF_neu,IMDF_scanner,no,82,9999,82,3,1,TBF,two,94
neu,neutral_497.jpg,48.jpg,2,9999,42,green,TBR_neu,IMDF_scanner,no,72,9999,72,3,1,TBR,one,95
None,,,2,,,None,NULL,IMDF_scanner,,,,9999,,1,None,,96
neg,Faces_274_h.jpg,4.jpg,2,88,9999,green,TBR_neg,IMDF_scanner,no,9999,58,58,2,1,TBR,two,97
neg,9424.jpg,917.jpg,2,9999,85,green,TBR_neg,IMDF_scanner,no,9999,85,115,4,1,TBR,two,98
neg,9425.jpg,920.jpg,2,9999,86,None,TBF_neg,IMDF_scanner,no,9999,86,116,4,1,TBF,two,99
None,,,2,,,None,NULL,IMDF_scanner,,,,9999,,1,None,,100
neg,People_147_h.jpg,897.jpg,2,9999,80,green,TBR_neg,IMDF_scanner,no,9999,80,110,4,1,TBR,two,101
neu,neutral_461.jpg,123.jpg,2,38,9999,green,TBR_neu,IMDF_scanner,no,38,9999,8,1,1,TBR,one,102
None,,,2,,,None,NULL,IMDF_scanner,,,,9999,,1,None,,103
neg,Objects_011_h.jpg,267.jpg,2,65,9999,green,TBR_neg,IMDF_scanner,no,9999,35,35,2,1,TBR,one,104
neu,neutral_193.jpg,6.jpg,2,9999,53,None,TBF_neu,IMDF_scanner,no,83,9999,83,3,1,TBF,two,105
neg,Objects_125_h.jpg,276.jpg,2,67,9999,green,TBR_neg,IMDF_scanner,no,9999,37,37,2,1,TBR,one,106
None,,,2,,,None,NULL,IMDF_scanner,,,,9999,,1,None,,107
neu,neutral_194.jpg,668.jpg,2,9999,54,None,TBF_neu,IMDF_scanner,no,84,9999,84,3,1,TBF,two,108
neu,neutral_667.jpg,202.jpg,2,57,9999,None,TBF_neu,IMDF_scanner,no,57,9999,27,1,1,TBF,two,109
neg,Landscapes_025_h.jpg,332.jpg,2,78,9999,None,TBF_neg,IMDF_scanner,no,9999,48,48,2,1,TBF,two,110
neu,neutral_132.jpg,151.jpg,2,44,9999,green,TBR_neu,IMDF_scanner,no,44,9999,14,1,1,TBR,one,111
None,,,2,,,None,NULL,IMDF_scanner,,,,9999,,1,None,,112
neg,6555.jpg,90.jpg,2,9999,82,green,TBR_neg,IMDF_scanner,no,9999,82,112,4,1,TBR,two,113
neg,Animals_001_h.jpg,307.jpg,2,71,9999,None,TBF_neg,IMDF_scanner,no,9999,41,41,2,1,TBF,one,114
neg,6300.jpg,38.jpg,2,85,9999,green,TBR_neg,IMDF_scanner,no,9999,55,55,2,1,TBR,two,115
neu,neutral_104.jpg,23.jpg,2,58,9999,None,TBF_neu,IMDF_scanner,no,58,9999,28,1,1,TBF,two,116
neu,neutral_598.jpg,675.jpg,2,9999,56,green,TBR_neu,IMDF_scanner,no,86,9999,86,3,1,TBR,two,117
neg,Objects_007_h.jpg,257.jpg,2,64,9999,None,TBF_neg,IMDF_scanner,no,9999,34,34,2,1,TBF,one,118
None,,,2,,,None,NULL,IMDF_scanner,,,,9999,,1,None,,119
neu,neutral_276.jpg,450.jpg,2,9999,36,None,TBF_neu,IMDF_scanner,no,66,9999,66,3,1,TBF,one,120
neg,6830.jpg,900.jpg,2,9999,83,green,TBR_neg,IMDF_scanner,no,9999,83,113,4,1,TBR,two,121
neg,Animals_025_h.jpg,312.jpg,2,72,9999,green,TBR_neg,IMDF_scanner,no,9999,42,42,2,1,TBR,one,122
None,,,2,,,None,NULL,IMDF_scanner,,,,9999,,1,None,,123
neg,Animals_078_h.jpg,25.jpg,2,63,9999,None,TBF_neg,IMDF_scanner,no,9999,33,33,2,1,TBF,one,124
None,,,2,,,None,NULL,IMDF_scanner,,,,9999,,1,None,,125
neu,neutral_456.jpg,476.jpg,2,9999,41,green,TBR_neu,IMDF_scanner,no,71,9999,71,3,1,TBR,one,126
neg,H123.bmp,942.jpg,2,9999,89,None,TBF_neg,IMDF_scanner,no,9999,89,119,4,1,TBF,two,127
None,,,2,,,None,NULL,IMDF_scanner,,,,9999,,1,None,,128
neg,People_226_h.jpg,313.jpg,2,73,9999,None,TBF_neg,IMDF_scanner,no,9999,43,43,2,1,TBF,one,129
None,,,2,,,None,NULL,IMDF_scanner,,,,9999,,1,None,,130
neu,neutral_270.jpg,45.jpg,2,9999,35,None,TBF_neu,IMDF_scanner,no,65,9999,65,3,1,TBF,one,131
None,,,2,,,None,NULL,IMDF_scanner,,,,9999,,1,None,,132
neu,neutral_236.jpg,714.jpg,2,9999,57,None,TBF_neu,IMDF_scanner,no,87,9999,87,3,1,TBF,two,133
None,,,2,,,None,NULL,IMDF_scanner,,,,9999,,1,None,,134
neu,neutral_671.jpg,47.jpg,2,9999,40,green,TBR_neu,IMDF_scanner,no,70,9999,70,3,1,TBR,one,135
