Emotion,Object,Scene,Trial_ID,distractor_scene_1,distractor_scene_2
neg,953.jpg,1050.jpg,filler,People_133_h.jpg,People_143_h.jpg
neg,987.jpg,6213.jpg,filler,People_143_h.jpg,1050.jpg
neu,55.jpg,neutral_620.jpg,80,neutral_223.jpg,neutral_585.jpg
neu,145.jpg,neutral_125.jpg,13,neutral_057.jpg,neutral_096.jpg
neg,313.jpg,People_226_h.jpg,43,6555.jpg,Animals_078_h.jpg
neu,50.jpg,neutral_531.jpg,74,neutral_614.jpg,neutral_132.jpg
neu,675.jpg,neutral_598.jpg,86,neutral_073.jpg,neutral_060.jpg
neg,896.jpg,People_003_h.jpg,109,H123.bmp,Faces_028_h.jpg
neu,181.jpg,neutral_060.jpg,22,neutral_370.jpg,neutral_290.jpg
neu,113.jpg,neutral_069.jpg,4,neutral_125.jpg,neutral_194.jpg
neu,542.jpg,neutral_568.jpg,78,neutral_620.jpg,neutral_499.jpg
neg,307.jpg,Animals_001_h.jpg,41,blood_034.jpg,Objects_011_h.jpg
neg,332.jpg,Landscapes_025_h.jpg,48,Objects_007_h.jpg,People_003_h.jpg
neg,257.jpg,Objects_007_h.jpg,34,9630.jpg,People_217_h.jpg
neu,48.jpg,neutral_497.jpg,72,neutral_067.jpg,neutral_003.jpg
neg,353.jpg,Objects_145_h.jpg,49,6370.jpg,9425.jpg
neg,82.jpg,People_217_h.jpg,99,9425.jpg,6210.jpg
neu,138.jpg,neutral_119.jpg,11,neutral_423.jpg,neutral_242.jpg
neu,72.jpg,neutral_240.jpg,88,neutral_456.jpg,neutral_125.jpg
neg,25.jpg,Animals_078_h.jpg,33,Objects_022_h.jpg,Faces_172_h.jpg
neg,769.jpg,People_198_h.jpg,94,Faces_019_h.jpg,9630.jpg
neu,170.jpg,neutral_423.jpg,20,neutral_188.jpg,neutral_531.jpg
neg,90.jpg,6555.jpg,112,Faces_283_h.jpg,Animals_033_h.jpg
neg,316.jpg,Faces_019_h.jpg,44,Animals_078_h.jpg,6830.jpg
neg,809.jpg,People_058_h.jpg,98,Faces_028_h.jpg,Faces_272_h.jpg
neu,957.jpg,neutral_695.jpg,filler,neutral_673.jpg,neutral_261.jpg
neu,461.jpg,neutral_638.jpg,69,neutral_194.jpg,neutral_614.jpg
neu,200.jpg,neutral_198.jpg,26,neutral_598.jpg,neutral_200.jpg
neg,76.jpg,Landscapes_007_h.jpg,93,People_217_h.jpg,Objects_001_h.jpg
neu,184.jpg,neutral_063.jpg,23,neutral_236.jpg,neutral_121.jpg
neg,917.jpg,9424.jpg,115,Faces_034_h.jpg,Faces_007_h.jpg
neg,932.jpg,Faces_272_h.jpg,118,6210.jpg,Animals_060_h.jpg
neg,317.jpg,Faces_034_h.jpg,45,People_226_h.jpg,People_210_h.jpg
neu,121.jpg,neutral_394.jpg,7,neutral_200.jpg,neutral_240.jpg
neu,538.jpg,neutral_560.jpg,77,neutral_394.jpg,neutral_532.jpg
neu,234.jpg,neutral_382.jpg,29,neutral_096.jpg,neutral_067.jpg
neg,372.jpg,2692.jpg,52,Animals_025_h.jpg,6370.jpg
neu,23.jpg,neutral_104.jpg,28,neutral_416.jpg,neutral_620.jpg
neu,151.jpg,neutral_132.jpg,14,neutral_001.jpg,neutral_671.jpg
neg,281.jpg,People_239_h.jpg,39,6211.jpg,Faces_302_h.jpg
neg,870.jpg,Faces_041_h.jpg,105,Faces_302_h.jpg,6211.jpg
neu,140.jpg,neutral_121.jpg,12,neutral_461.jpg,neutral_148.jpg
neg,75.jpg,Animals_065_h.jpg,92,Objects_206_h.jpg,Landscapes_002_h.jpg
neg,981.jpg,People_133_h.jpg,filler,1050.jpg,6213.jpg
neg,321.jpg,Faces_302_h.jpg,47,Faces_274_h.jpg,9423.jpg
neu,10.jpg,neutral_001.jpg,1,neutral_538.jpg,neutral_591.jpg
neg,942.jpg,H123.bmp,119,Objects_088_h.jpg,9424.jpg
neg,366.jpg,1930.jpg,51,People_147_h.jpg,Faces_019_h.jpg
neg,382.jpg,6312.jpg,56,Animals_060_h.jpg,Animals_065_h.jpg
neu,49.jpg,neutral_499.jpg,73,neutral_497.jpg,neutral_461.jpg
neu,450.jpg,neutral_276.jpg,66,neutral_193.jpg,neutral_057.jpg
neu,435.jpg,neutral_188.jpg,63,neutral_121.jpg,neutral_382.jpg
neg,268.jpg,Objects_088_h.jpg,36,2692.jpg,Objects_022_h.jpg
neg,836.jpg,People_233_h.jpg,100,Objects_145_h.jpg,Objects_109_h.jpg
neu,47.jpg,neutral_671.jpg,70,neutral_003.jpg,neutral_198.jpg
neu,161.jpg,neutral_416.jpg,18,neutral_568.jpg,neutral_244.jpg
neg,79.jpg,Objects_109_h.jpg,96,Animals_062_h.jpg,6300.jpg
neg,312.jpg,Animals_025_h.jpg,42,People_198_h.jpg,Animals_073_h.jpg
neu,952.jpg,neutral_673.jpg,filler,neutral_695.jpg,neutral_707.jpg
neu,173.jpg,neutral_290.jpg,21,neutral_119.jpg,neutral_568.jpg
neg,376.jpg,6211.jpg,54,People_210_h.jpg,Objects_206_h.jpg
neg,246.jpg,Animals_062_h.jpg,32,Animals_001_h.jpg,H044.bmp
neg,916.jpg,9423.jpg,114,People_223_h.jpg,Objects_003_h.jpg
neu,544.jpg,neutral_614.jpg,79,neutral_290.jpg,neutral_236.jpg
neg,406.jpg,H044.bmp,59,Faces_172_h.jpg,Objects_007_h.jpg
neg,802.jpg,Objects_126_h.jpg,97,People_003_h.jpg,People_239_h.jpg
neu,152.jpg,neutral_171.jpg,15,neutral_531.jpg,neutral_560.jpg
neu,202.jpg,neutral_667.jpg,27,neutral_242.jpg,neutral_069.jpg
neg,305.jpg,People_223_h.jpg,40,Faces_041_h.jpg,blood_034.jpg
neg,32.jpg,Faces_172_h.jpg,46,Faces_272_h.jpg,Landscapes_025_h.jpg
neg,9.jpg,6370.jpg,111,Animals_033_h.jpg,People_233_h.jpg
neu,24.jpg,neutral_224.jpg,30,neutral_130.jpg,neutral_119.jpg
neu,950.jpg,neutral_261.jpg,filler,neutral_707.jpg,neutral_673.jpg
neg,4.jpg,Faces_274_h.jpg,58,People_233_h.jpg,People_198_h.jpg
neg,245.jpg,Animals_033_h.jpg,31,Landscapes_002_h.jpg,Objects_126_h.jpg
neu,45.jpg,neutral_270.jpg,65,neutral_060.jpg,neutral_370.jpg
neg,895.jpg,Objects_003_h.jpg,108,Objects_125_h.jpg,6312.jpg
neu,674.jpg,neutral_196.jpg,85,neutral_588.jpg,neutral_504.jpg
neu,446.jpg,neutral_201.jpg,64,neutral_638.jpg,neutral_130.jpg
neg,361.jpg,People_210_h.jpg,50,Objects_011_h.jpg,2692.jpg
neu,116.jpg,neutral_073.jpg,5,neutral_196.jpg,neutral_423.jpg
neg,748.jpg,Animals_018_h.jpg,91,Landscapes_007_h.jpg,Objects_125_h.jpg
neu,553.jpg,neutral_145.jpg,81,neutral_131.jpg,neutral_638.jpg
neu,196.jpg,neutral_067.jpg,24,neutral_240.jpg,neutral_276.jpg
neu,421.jpg,neutral_131.jpg,62,neutral_201.jpg,neutral_422.jpg
neg,884.jpg,Landscapes_002_h.jpg,107,6312.jpg,Faces_041_h.jpg
neu,668.jpg,neutral_194.jpg,84,neutral_504.jpg,neutral_416.jpg
neg,926.jpg,Animals_073_h.jpg,117,People_058_h.jpg,Objects_088_h.jpg
neu,460.jpg,neutral_591.jpg,68,neutral_382.jpg,neutral_598.jpg
neu,724.jpg,neutral_242.jpg,89,neutral_667.jpg,neutral_145.jpg
neu,132.jpg,neutral_585.jpg,10,neutral_198.jpg,neutral_104.jpg
neg,267.jpg,Objects_011_h.jpg,35,Animals_013_h.jpg,Faces_034_h.jpg
neg,38.jpg,6300.jpg,55,H044.bmp,6555.jpg
neu,506.jpg,neutral_532.jpg,75,neutral_063.jpg,neutral_201.jpg
neg,897.jpg,People_147_h.jpg,110,Animals_073_h.jpg,Animals_025_h.jpg
neg,877.jpg,Faces_283_h.jpg,106,Landscapes_025_h.jpg,Animals_001_h.jpg
neg,280.jpg,Objects_206_h.jpg,38,Objects_126_h.jpg,Animals_062_h.jpg
neu,714.jpg,neutral_236.jpg,87,neutral_560.jpg,neutral_456.jpg
neu,51.jpg,neutral_538.jpg,76,neutral_270.jpg,neutral_588.jpg
neg,87.jpg,Faces_028_h.jpg,104,6830.jpg,People_147_h.jpg
neu,41.jpg,neutral_130.jpg,61,neutral_171.jpg,neutral_223.jpg
neu,731.jpg,neutral_244.jpg,90,neutral_224.jpg,neutral_073.jpg
neu,453.jpg,neutral_588.jpg,67,neutral_422.jpg,neutral_394.jpg
neg,86.jpg,Faces_007_h.jpg,103,Objects_003_h.jpg,People_223_h.jpg
neu,106.jpg,neutral_057.jpg,3,neutral_145.jpg,neutral_063.jpg
neg,779.jpg,Objects_022_h.jpg,95,9424.jpg,H123.bmp
neg,920.jpg,9425.jpg,116,Animals_065_h.jpg,People_058_h.jpg
neg,845.jpg,Animals_013_h.jpg,101,1930.jpg,Animals_018_h.jpg
neu,560.jpg,neutral_148.jpg,82,neutral_671.jpg,neutral_188.jpg
neu,156.jpg,neutral_200.jpg,16,neutral_532.jpg,neutral_667.jpg
neu,102.jpg,neutral_003.jpg,2,neutral_244.jpg,neutral_538.jpg
neg,373.jpg,6210.jpg,53,Objects_109_h.jpg,Objects_145_h.jpg
neu,476.jpg,neutral_456.jpg,71,neutral_276.jpg,neutral_131.jpg
neg,848.jpg,Animals_060_h.jpg,102,Faces_007_h.jpg,People_226_h.jpg
neu,166.jpg,neutral_422.jpg,19,neutral_148.jpg,neutral_196.jpg
neg,947.jpg,Objects_001_h.jpg,120,6300.jpg,Faces_283_h.jpg
neg,409.jpg,9630.jpg,60,9423.jpg,Animals_013_h.jpg
neu,159.jpg,neutral_370.jpg,17,neutral_591.jpg,neutral_224.jpg
neu,123.jpg,neutral_461.jpg,8,neutral_499.jpg,neutral_497.jpg
neg,900.jpg,6830.jpg,113,Animals_018_h.jpg,1930.jpg
neu,130.jpg,neutral_504.jpg,9,neutral_585.jpg,neutral_193.jpg
neg,276.jpg,Objects_125_h.jpg,37,Objects_001_h.jpg,Landscapes_007_h.jpg
neu,118.jpg,neutral_096.jpg,6,neutral_069.jpg,neutral_001.jpg
neu,6.jpg,neutral_193.jpg,83,neutral_104.jpg,neutral_270.jpg
neu,20.jpg,neutral_223.jpg,25,neutral_132.jpg,neutral_171.jpg
neg,391.jpg,blood_034.jpg,57,People_239_h.jpg,Faces_274_h.jpg
neu,975.jpg,neutral_707.jpg,filler,neutral_261.jpg,neutral_695.jpg
neg,954.jpg,People_143_h.jpg,filler,6213.jpg,People_133_h.jpg
