Emotion,Object,Scene,Trial_ID,distractor_scene_1,distractor_scene_2
neu,24.jpg,neutral_224.jpg,30,neutral_240.jpg,neutral_198.jpg
neg,932.jpg,Faces_272_h.jpg,118,People_058_h.jpg,Faces_007_h.jpg
neu,506.jpg,neutral_532.jpg,75,neutral_145.jpg,neutral_067.jpg
neu,675.jpg,neutral_598.jpg,86,neutral_223.jpg,neutral_104.jpg
neu,170.jpg,neutral_423.jpg,20,neutral_270.jpg,neutral_236.jpg
neg,900.jpg,6830.jpg,113,H123.bmp,Animals_018_h.jpg
neu,553.jpg,neutral_145.jpg,81,neutral_057.jpg,neutral_504.jpg
neg,748.jpg,Animals_018_h.jpg,91,Animals_078_h.jpg,Objects_088_h.jpg
neg,25.jpg,Animals_078_h.jpg,33,People_003_h.jpg,Animals_060_h.jpg
neu,181.jpg,neutral_060.jpg,22,neutral_073.jpg,neutral_132.jpg
neu,156.jpg,neutral_200.jpg,16,neutral_193.jpg,neutral_188.jpg
neu,957.jpg,neutral_695.jpg,filler,neutral_707.jpg,neutral_261.jpg
neg,870.jpg,Faces_041_h.jpg,105,H044.bmp,6210.jpg
neg,361.jpg,People_210_h.jpg,50,Objects_125_h.jpg,Faces_019_h.jpg
neg,268.jpg,Objects_088_h.jpg,36,Faces_034_h.jpg,blood_034.jpg
neu,106.jpg,neutral_057.jpg,3,neutral_188.jpg,neutral_223.jpg
neg,954.jpg,People_143_h.jpg,filler,1050.jpg,People_133_h.jpg
neu,151.jpg,neutral_132.jpg,14,neutral_560.jpg,neutral_423.jpg
neu,159.jpg,neutral_370.jpg,17,neutral_461.jpg,neutral_585.jpg
neu,544.jpg,neutral_614.jpg,79,neutral_598.jpg,neutral_193.jpg
neg,897.jpg,People_147_h.jpg,110,Landscapes_007_h.jpg,9424.jpg
neg,409.jpg,9630.jpg,60,People_147_h.jpg,Faces_302_h.jpg
neu,184.jpg,neutral_063.jpg,23,neutral_276.jpg,neutral_073.jpg
neg,280.jpg,Objects_206_h.jpg,38,Faces_019_h.jpg,2692.jpg
neu,560.jpg,neutral_148.jpg,82,neutral_130.jpg,neutral_171.jpg
neu,538.jpg,neutral_560.jpg,77,neutral_456.jpg,neutral_060.jpg
neg,305.jpg,People_223_h.jpg,40,Objects_088_h.jpg,6555.jpg
neu,542.jpg,neutral_568.jpg,78,neutral_538.jpg,neutral_196.jpg
neu,450.jpg,neutral_276.jpg,66,neutral_096.jpg,neutral_240.jpg
neu,20.jpg,neutral_223.jpg,25,neutral_394.jpg,neutral_422.jpg
neg,4.jpg,Faces_274_h.jpg,58,Animals_062_h.jpg,People_223_h.jpg
neg,848.jpg,Animals_060_h.jpg,102,People_210_h.jpg,9630.jpg
neg,366.jpg,1930.jpg,51,Faces_302_h.jpg,Objects_109_h.jpg
neu,121.jpg,neutral_394.jpg,7,neutral_200.jpg,neutral_499.jpg
neu,453.jpg,neutral_588.jpg,67,neutral_504.jpg,neutral_194.jpg
neu,50.jpg,neutral_531.jpg,74,neutral_119.jpg,neutral_598.jpg
neg,942.jpg,H123.bmp,119,Objects_001_h.jpg,People_003_h.jpg
neg,920.jpg,9425.jpg,116,Animals_065_h.jpg,Landscapes_007_h.jpg
neg,987.jpg,6213.jpg,filler,People_133_h.jpg,1050.jpg
neu,55.jpg,neutral_620.jpg,80,neutral_382.jpg,neutral_532.jpg
neu,446.jpg,neutral_201.jpg,64,neutral_198.jpg,neutral_538.jpg
neg,769.jpg,People_198_h.jpg,94,Faces_283_h.jpg,Objects_126_h.jpg
neg,276.jpg,Objects_125_h.jpg,37,Landscapes_025_h.jpg,H123.bmp
neg,895.jpg,Objects_003_h.jpg,108,Objects_145_h.jpg,6830.jpg
neu,48.jpg,neutral_497.jpg,72,neutral_003.jpg,neutral_456.jpg
neg,313.jpg,People_226_h.jpg,43,Faces_172_h.jpg,Animals_001_h.jpg
neu,674.jpg,neutral_196.jpg,85,neutral_290.jpg,neutral_667.jpg
neg,32.jpg,Faces_172_h.jpg,46,People_239_h.jpg,Objects_125_h.jpg
neg,406.jpg,H044.bmp,59,1930.jpg,People_210_h.jpg
neu,200.jpg,neutral_198.jpg,26,neutral_104.jpg,neutral_069.jpg
neg,245.jpg,Animals_033_h.jpg,31,Objects_126_h.jpg,Faces_172_h.jpg
neg,953.jpg,1050.jpg,filler,People_143_h.jpg,6213.jpg
neu,975.jpg,neutral_707.jpg,filler,neutral_673.jpg,neutral_695.jpg
