condition,order,null_ID,neu_ID,neg_ID,TBR_ID,TBF_ID,Scene,Object,filler,repetition,exp_ID
TBFneu,3,64,9999,64,34,9999,neutral_201.jpg,446.jpg,no,one,IMDF_scanner
TBFneu,3,65,9999,65,35,9999,neutral_270.jpg,45.jpg,no,one,IMDF_scanner
TBFneu,3,66,9999,66,36,9999,neutral_276.jpg,450.jpg,no,one,IMDF_scanner
TBFneu,3,67,9999,67,37,9999,neutral_588.jpg,453.jpg,no,one,IMDF_scanner
TBFneu,3,68,9999,68,38,9999,neutral_591.jpg,460.jpg,no,one,IMDF_scanner
TBFneu,3,69,9999,69,39,9999,neutral_638.jpg,461.jpg,no,one,IMDF_scanner
TBFneu,3,70,9999,70,40,9999,neutral_671.jpg,47.jpg,no,one,IMDF_scanner
TBFneu,3,71,9999,71,41,9999,neutral_456.jpg,476.jpg,no,one,IMDF_scanner
TBFneu,3,72,9999,72,42,9999,neutral_497.jpg,48.jpg,no,one,IMDF_scanner
TBFneu,3,73,9999,73,43,9999,neutral_499.jpg,49.jpg,no,one,IMDF_scanner
TBFneu,3,74,9999,74,44,9999,neutral_531.jpg,50.jpg,no,one,IMDF_scanner
TBFneu,3,75,9999,75,45,9999,neutral_532.jpg,506.jpg,no,one,IMDF_scanner
TBFneu,3,76,9999,76,46,9999,neutral_538.jpg,51.jpg,no,two,IMDF_scanner
TBFneu,3,77,9999,77,47,9999,neutral_560.jpg,538.jpg,no,two,IMDF_scanner
TBFneu,3,78,9999,78,48,9999,neutral_568.jpg,542.jpg,no,two,IMDF_scanner
TBFneu,3,79,9999,79,49,9999,neutral_014.jpg,544.jpg,no,two,IMDF_scanner
TBFneu,3,80,9999,80,50,9999,neutral_620.jpg,55.jpg,no,two,IMDF_scanner
TBFneu,3,81,9999,81,51,9999,neutral_145.jpg,553.jpg,no,two,IMDF_scanner
TBFneu,3,82,9999,82,52,9999,neutral_148.jpg,560.jpg,no,two,IMDF_scanner
TBFneu,3,83,9999,83,53,9999,neutral_193.jpg,6.jpg,no,two,IMDF_scanner
TBFneu,3,84,9999,84,54,9999,neutral_194.jpg,668.jpg,no,two,IMDF_scanner
TBFneu,3,85,9999,85,55,9999,neutral_196.jpg,674.jpg,no,two,IMDF_scanner
TBFneu,3,86,9999,86,56,9999,neutral_598.jpg,675.jpg,no,two,IMDF_scanner
TBFneu,3,87,9999,87,57,9999,neutral_236.jpg,714.jpg,no,two,IMDF_scanner
TBFneu,3,88,9999,88,58,9999,neutral_240.jpg,72.jpg,no,two,IMDF_scanner
TBFneu,3,89,9999,89,59,9999,neutral_242.jpg,724.jpg,no,two,IMDF_scanner
TBFneu,3,90,9999,90,60,9999,neutral_244.jpg,731.jpg,no,two,IMDF_scanner
TBFneg,4,91,61,9999,61,9999,Animals_018_h.jpg,748.jpg,no,one,IMDF_scanner
TBFneg,4,92,62,9999,62,9999,Animals_065_h.jpg,75.jpg,no,one,IMDF_scanner
TBFneg,4,93,63,9999,63,9999,Landscapes_007_h.jpg,76.jpg,no,one,IMDF_scanner
TBFneg,4,94,64,9999,64,9999,People_198_h.jpg,769.jpg,no,one,IMDF_scanner
TBFneg,4,95,65,9999,65,9999,Objects_022_h.jpg,779.jpg,no,one,IMDF_scanner
TBFneg,4,96,66,9999,66,9999,Objects_109_h.jpg,79.jpg,no,one,IMDF_scanner
TBFneg,4,97,67,9999,67,9999,Objects_126_h.jpg,802.jpg,no,one,IMDF_scanner
