Emotion,Object,Scene,Set_ID,TBF_ID,TBR_ID,color,condition,exp_ID,filler,neg_ID,neu_ID,null_ID,order,pp_ID,remember_condition,repetition,trial_count
neg,953.jpg,1050.jpg,,93,9999,red,TBRnegFILLER,IMDF_scanner,yes,9999,91,123,5,44,TBF,9999,1
neu,975.jpg,neutral_707.jpg,,9999,92,red,TBFneuFILLER,IMDF_scanner,yes,94,9999,126,5,44,TBF,9999,2
neg,409.jpg,9630.jpg,1,90,9999,green,TBR_neg,IMDF_scanner,no,9999,60,60,2,44,TBR,two,3
neu,151.jpg,neutral_132.jpg,1,44,9999,red,TBF_neu,IMDF_scanner,no,44,9999,14,1,44,TBF,one,4
neg,391.jpg,blood_034.jpg,1,87,9999,red,TBF_neg,IMDF_scanner,no,9999,57,57,2,44,TBF,two,5
neu,49.jpg,neutral_499.jpg,1,9999,43,red,TBF_neu,IMDF_scanner,no,73,9999,73,3,44,TBF,one,6
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,44,None,,7
neu,121.jpg,neutral_394.jpg,1,37,9999,green,TBR_neu,IMDF_scanner,no,37,9999,7,1,44,TBR,one,8
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,44,None,,9
neg,32.jpg,Faces_172_h.jpg,1,76,9999,red,TBF_neg,IMDF_scanner,no,9999,46,46,2,44,TBF,two,10
neg,38.jpg,6300.jpg,1,85,9999,red,TBF_neg,IMDF_scanner,no,9999,55,55,2,44,TBF,two,11
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,44,None,,12
neu,48.jpg,neutral_497.jpg,1,9999,42,green,TBR_neu,IMDF_scanner,no,72,9999,72,3,44,TBR,one,13
neu,156.jpg,neutral_200.jpg,1,46,9999,red,TBF_neu,IMDF_scanner,no,46,9999,16,1,44,TBF,two,14
neu,731.jpg,neutral_244.jpg,1,9999,60,green,TBR_neu,IMDF_scanner,no,90,9999,90,3,44,TBR,two,15
neg,76.jpg,Landscapes_007_h.jpg,1,9999,63,green,TBR_neg,IMDF_scanner,no,9999,63,93,4,44,TBR,one,16
neu,20.jpg,neutral_223.jpg,1,55,9999,red,TBF_neu,IMDF_scanner,no,55,9999,25,1,44,TBF,two,17
neg,246.jpg,Animals_062_h.jpg,1,62,9999,red,TBF_neg,IMDF_scanner,no,9999,32,32,2,44,TBF,one,18
neu,161.jpg,neutral_416.jpg,1,48,9999,green,TBR_neu,IMDF_scanner,no,48,9999,18,1,44,TBR,two,19
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,44,None,,20
neg,917.jpg,9424.jpg,1,9999,85,green,TBR_neg,IMDF_scanner,no,9999,85,115,4,44,TBR,two,21
neu,446.jpg,neutral_201.jpg,1,9999,34,green,TBR_neu,IMDF_scanner,no,64,9999,64,3,44,TBR,one,22
neu,234.jpg,neutral_382.jpg,1,59,9999,green,TBR_neu,IMDF_scanner,no,59,9999,29,1,44,TBR,two,23
neu,435.jpg,neutral_188.jpg,1,9999,33,red,TBF_neu,IMDF_scanner,no,63,9999,63,3,44,TBF,one,24
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,44,None,,25
