Emotion,Object,Scene,Set_ID,TBF_ID,TBR_ID,color,condition,exp_ID,filler,neg_ID,neu_ID,null_ID,order,pp_ID,remember_condition,repetition,trial_count
neu,950.jpg,neutral_261.jpg,,91,9999,red,TBRneuFILLER,IMDF_scanner,yes,91,9999,121,5,24,TBF,9999,1
neg,987.jpg,6213.jpg,,9999,94,green,TBFnegFILLER,IMDF_scanner,yes,9999,94,128,5,24,TBR,9999,2
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,24,None,,3
neg,748.jpg,Animals_018_h.jpg,1,9999,61,red,TBF_neg,IMDF_scanner,no,9999,61,91,4,24,TBF,one,4
neg,870.jpg,Faces_041_h.jpg,1,9999,75,red,TBF_neg,IMDF_scanner,no,9999,75,105,4,24,TBF,one,5
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,24,None,,6
neu,166.jpg,neutral_422.jpg,1,49,9999,green,TBR_neu,IMDF_scanner,no,49,9999,19,1,24,TBR,two,7
neg,79.jpg,Objects_109_h.jpg,1,9999,66,red,TBF_neg,IMDF_scanner,no,9999,66,96,4,24,TBF,one,8
neg,917.jpg,9424.jpg,1,9999,85,green,TBR_neg,IMDF_scanner,no,9999,85,115,4,24,TBR,two,9
neg,32.jpg,Faces_172_h.jpg,1,76,9999,red,TBF_neg,IMDF_scanner,no,9999,46,46,2,24,TBF,two,10
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,24,None,,11
neu,668.jpg,neutral_194.jpg,1,9999,54,green,TBR_neu,IMDF_scanner,no,84,9999,84,3,24,TBR,two,12
neg,353.jpg,Objects_145_h.jpg,1,79,9999,red,TBF_neg,IMDF_scanner,no,9999,49,49,2,24,TBF,two,13
neg,920.jpg,9425.jpg,1,9999,86,green,TBR_neg,IMDF_scanner,no,9999,86,116,4,24,TBR,two,14
neg,366.jpg,1930.jpg,1,81,9999,green,TBR_neg,IMDF_scanner,no,9999,51,51,2,24,TBR,two,15
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,24,None,,16
neu,10.jpg,neutral_001.jpg,1,31,9999,green,TBR_neu,IMDF_scanner,no,31,9999,1,1,24,TBR,one,17
neu,118.jpg,neutral_096.jpg,1,36,9999,red,TBF_neu,IMDF_scanner,no,36,9999,6,1,24,TBF,one,18
neg,90.jpg,6555.jpg,1,9999,82,green,TBR_neg,IMDF_scanner,no,9999,82,112,4,24,TBR,two,19
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,24,None,,20
neu,123.jpg,neutral_461.jpg,1,38,9999,red,TBF_neu,IMDF_scanner,no,38,9999,8,1,24,TBF,one,21
neu,674.jpg,neutral_196.jpg,1,9999,55,green,TBR_neu,IMDF_scanner,no,85,9999,85,3,24,TBR,two,22
neg,267.jpg,Objects_011_h.jpg,1,65,9999,green,TBR_neg,IMDF_scanner,no,9999,35,35,2,24,TBR,one,23
neg,373.jpg,6210.jpg,1,83,9999,red,TBF_neg,IMDF_scanner,no,9999,53,53,2,24,TBF,two,24
neg,321.jpg,Faces_302_h.jpg,1,77,9999,red,TBF_neg,IMDF_scanner,no,9999,47,47,2,24,TBF,two,25
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,24,None,,26
neg,779.jpg,Objects_022_h.jpg,1,9999,65,green,TBR_neg,IMDF_scanner,no,9999,65,95,4,24,TBR,one,27
neg,9.jpg,6370.jpg,1,9999,81,red,TBF_neg,IMDF_scanner,no,9999,81,111,4,24,TBF,two,28
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,24,None,,29
neg,257.jpg,Objects_007_h.jpg,1,64,9999,green,TBR_neg,IMDF_scanner,no,9999,34,34,2,24,TBR,one,30
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,24,None,,31
neu,50.jpg,neutral_531.jpg,1,9999,44,red,TBF_neu,IMDF_scanner,no,74,9999,74,3,24,TBF,one,32
neu,731.jpg,neutral_244.jpg,1,9999,60,red,TBF_neu,IMDF_scanner,no,90,9999,90,3,24,TBF,two,33
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,24,None,,34
neu,138.jpg,neutral_119.jpg,1,41,9999,red,TBF_neu,IMDF_scanner,no,41,9999,11,1,24,TBF,one,35
neg,802.jpg,Objects_126_h.jpg,1,9999,67,red,TBF_neg,IMDF_scanner,no,9999,67,97,4,24,TBF,one,36
neu,724.jpg,neutral_242.jpg,1,9999,59,green,TBR_neu,IMDF_scanner,no,89,9999,89,3,24,TBR,two,37
neg,926.jpg,Animals_073_h.jpg,1,9999,87,red,TBF_neg,IMDF_scanner,no,9999,87,117,4,24,TBF,two,38
neu,152.jpg,neutral_171.jpg,1,45,9999,green,TBR_neu,IMDF_scanner,no,45,9999,15,1,24,TBR,one,39
neu,538.jpg,neutral_560.jpg,1,9999,47,green,TBR_neu,IMDF_scanner,no,77,9999,77,3,24,TBR,two,40
