Emotion,Exp_ID,Object,Scene,Trial_ID,distractor_1,distractor_2,filler_type
neg,IMDF_memory_postscan,953.jpg,1050.jpg,filler,981.jpg,987.jpg,first
neu,IMDF_memory_postscan,957.jpg,neutral_695.jpg,filler,975.jpg,950.jpg,first
neu,IMDF_memory_postscan,116.jpg,neutral_073.jpg,5,123.jpg,560.jpg,
neg,IMDF_memory_postscan,76.jpg,Landscapes_007_h.jpg,93,870.jpg,769.jpg,
neg,IMDF_memory_postscan,9.jpg,6370.jpg,111,409.jpg,916.jpg,
neg,IMDF_memory_postscan,86.jpg,Faces_007_h.jpg,103,382.jpg,280.jpg,
neu,IMDF_memory_postscan,542.jpg,neutral_568.jpg,78,132.jpg,102.jpg,
neu,IMDF_memory_postscan,460.jpg,neutral_591.jpg,68,170.jpg,145.jpg,
neu,IMDF_memory_postscan,55.jpg,neutral_620.jpg,80,41.jpg,49.jpg,
neg,IMDF_memory_postscan,312.jpg,Animals_025_h.jpg,42,926.jpg,382.jpg,
neg,IMDF_memory_postscan,268.jpg,Objects_088_h.jpg,36,307.jpg,900.jpg,
neu,IMDF_memory_postscan,975.jpg,neutral_707.jpg,filler,950.jpg,952.jpg,middle
neu,IMDF_memory_postscan,118.jpg,neutral_096.jpg,6,460.jpg,151.jpg,
neg,IMDF_memory_postscan,877.jpg,Faces_283_h.jpg,106,391.jpg,321.jpg,
neg,IMDF_memory_postscan,246.jpg,Animals_062_h.jpg,32,332.jpg,4.jpg,
neu,IMDF_memory_postscan,123.jpg,neutral_461.jpg,8,196.jpg,173.jpg,
neu,IMDF_memory_postscan,45.jpg,neutral_270.jpg,65,138.jpg,675.jpg,
neu,IMDF_memory_postscan,553.jpg,neutral_145.jpg,81,161.jpg,714.jpg,
neg,IMDF_memory_postscan,917.jpg,9424.jpg,115,82.jpg,391.jpg,
neg,IMDF_memory_postscan,900.jpg,6830.jpg,113,779.jpg,884.jpg,
neu,IMDF_memory_postscan,132.jpg,neutral_585.jpg,10,152.jpg,45.jpg,
neg,IMDF_memory_postscan,317.jpg,Faces_034_h.jpg,45,916.jpg,373.jpg,
neu,IMDF_memory_postscan,234.jpg,neutral_382.jpg,29,714.jpg,674.jpg,
neg,IMDF_memory_postscan,769.jpg,People_198_h.jpg,94,947.jpg,376.jpg,
neu,IMDF_memory_postscan,140.jpg,neutral_121.jpg,12,50.jpg,234.jpg,
neu,IMDF_memory_postscan,446.jpg,neutral_201.jpg,64,453.jpg,138.jpg,
neu,IMDF_memory_postscan,202.jpg,neutral_667.jpg,27,506.jpg,6.jpg,
neg,IMDF_memory_postscan,4.jpg,Faces_274_h.jpg,58,321.jpg,25.jpg,
neg,IMDF_memory_postscan,932.jpg,Faces_272_h.jpg,118,877.jpg,246.jpg,
neg,IMDF_memory_postscan,267.jpg,Objects_011_h.jpg,35,932.jpg,877.jpg,
neu,IMDF_memory_postscan,113.jpg,neutral_069.jpg,4,20.jpg,724.jpg,
neu,IMDF_memory_postscan,450.jpg,neutral_276.jpg,66,6.jpg,453.jpg,
neu,IMDF_memory_postscan,159.jpg,neutral_370.jpg,17,421.jpg,170.jpg,
neg,IMDF_memory_postscan,895.jpg,Objects_003_h.jpg,108,38.jpg,779.jpg,
neg,IMDF_memory_postscan,870.jpg,Faces_041_h.jpg,105,406.jpg,268.jpg,
neg,IMDF_memory_postscan,25.jpg,Animals_078_h.jpg,33,276.jpg,896.jpg,
neu,IMDF_memory_postscan,166.jpg,neutral_422.jpg,19,675.jpg,161.jpg,
neu,IMDF_memory_postscan,674.jpg,neutral_196.jpg,85,461.jpg,538.jpg,
neu,IMDF_memory_postscan,731.jpg,neutral_244.jpg,90,446.jpg,55.jpg,
neg,IMDF_memory_postscan,257.jpg,Objects_007_h.jpg,34,845.jpg,267.jpg,
neg,IMDF_memory_postscan,391.jpg,blood_034.jpg,57,86.jpg,307.jpg,
neg,IMDF_memory_postscan,845.jpg,Animals_013_h.jpg,101,884.jpg,38.jpg,
neu,IMDF_memory_postscan,538.jpg,neutral_560.jpg,77,202.jpg,506.jpg,
neg,IMDF_memory_postscan,366.jpg,1930.jpg,51,769.jpg,79.jpg,
neu,IMDF_memory_postscan,10.jpg,neutral_001.jpg,1,116.jpg,132.jpg,
neg,IMDF_memory_postscan,406.jpg,H044.bmp,59,942.jpg,281.jpg,
neu,IMDF_memory_postscan,952.jpg,neutral_673.jpg,filler,957.jpg,975.jpg,middle
neu,IMDF_memory_postscan,102.jpg,neutral_003.jpg,2,542.jpg,10.jpg,
neg,IMDF_memory_postscan,897.jpg,People_147_h.jpg,110,313.jpg,895.jpg,
neu,IMDF_memory_postscan,435.jpg,neutral_188.jpg,63,72.jpg,118.jpg,
neg,IMDF_memory_postscan,942.jpg,H123.bmp,119,802.jpg,316.jpg,
neu,IMDF_memory_postscan,200.jpg,neutral_198.jpg,26,102.jpg,116.jpg,
neu,IMDF_memory_postscan,544.jpg,neutral_014.jpg,79,48.jpg,668.jpg,
neg,IMDF_memory_postscan,281.jpg,People_239_h.jpg,39,917.jpg,332.jpg,
neu,IMDF_memory_postscan,47.jpg,neutral_671.jpg,70,10.jpg,731.jpg,
neg,IMDF_memory_postscan,332.jpg,Landscapes_025_h.jpg,48,257.jpg,312.jpg,
neg,IMDF_memory_postscan,748.jpg,Animals_018_h.jpg,91,373.jpg,932.jpg,
neg,IMDF_memory_postscan,280.jpg,Objects_206_h.jpg,38,900.jpg,245.jpg,
neu,IMDF_memory_postscan,173.jpg,neutral_290.jpg,21,47.jpg,159.jpg,
neg,IMDF_memory_postscan,382.jpg,6312.jpg,56,920.jpg,353.jpg,
neg,IMDF_memory_postscan,276.jpg,Objects_125_h.jpg,37,90.jpg,809.jpg,
neu,IMDF_memory_postscan,24.jpg,neutral_224.jpg,30,151.jpg,181.jpg,
neu,IMDF_memory_postscan,476.jpg,neutral_456.jpg,71,145.jpg,140.jpg,
neu,IMDF_memory_postscan,6.jpg,neutral_193.jpg,83,23.jpg,20.jpg,
neg,IMDF_memory_postscan,920.jpg,9425.jpg,116,836.jpg,870.jpg,
neg,IMDF_memory_postscan,313.jpg,People_226_h.jpg,43,267.jpg,82.jpg,
neu,IMDF_memory_postscan,121.jpg,neutral_394.jpg,7,45.jpg,460.jpg,
neu,IMDF_memory_postscan,50.jpg,neutral_531.jpg,74,450.jpg,24.jpg,
neg,IMDF_memory_postscan,361.jpg,People_210_h.jpg,50,246.jpg,942.jpg,
neg,IMDF_memory_postscan,836.jpg,People_233_h.jpg,100,317.jpg,87.jpg,
neu,IMDF_memory_postscan,130.jpg,neutral_504.jpg,9,113.jpg,435.jpg,
neg,IMDF_memory_postscan,79.jpg,Objects_109_h.jpg,96,4.jpg,90.jpg,
neu,IMDF_memory_postscan,41.jpg,neutral_130.jpg,61,200.jpg,461.jpg,
neu,IMDF_memory_postscan,151.jpg,neutral_132.jpg,14,668.jpg,202.jpg,
neg,IMDF_memory_postscan,376.jpg,6211.jpg,54,79.jpg,366.jpg,
neu,IMDF_memory_postscan,145.jpg,neutral_125.jpg,13,553.jpg,51.jpg,
neg,IMDF_memory_postscan,75.jpg,Animals_065_h.jpg,92,353.jpg,748.jpg,
neg,IMDF_memory_postscan,316.jpg,Faces_019_h.jpg,44,245.jpg,920.jpg,
neu,IMDF_memory_postscan,184.jpg,neutral_063.jpg,23,140.jpg,41.jpg,
neu,IMDF_memory_postscan,49.jpg,neutral_499.jpg,73,234.jpg,544.jpg,
neu,IMDF_memory_postscan,724.jpg,neutral_242.jpg,89,674.jpg,130.jpg,
neg,IMDF_memory_postscan,373.jpg,6210.jpg,53,280.jpg,845.jpg,
neg,IMDF_memory_postscan,307.jpg,Animals_001_h.jpg,41,809.jpg,848.jpg,
neg,IMDF_memory_postscan,884.jpg,Landscapes_002_h.jpg,107,25.jpg,897.jpg,
neu,IMDF_memory_postscan,421.jpg,neutral_131.jpg,62,24.jpg,553.jpg,
neg,IMDF_memory_postscan,321.jpg,Faces_302_h.jpg,47,897.jpg,802.jpg,
neg,IMDF_memory_postscan,779.jpg,Objects_022_h.jpg,95,372.jpg,836.jpg,
neu,IMDF_memory_postscan,156.jpg,neutral_200.jpg,16,538.jpg,196.jpg,
neu,IMDF_memory_postscan,668.jpg,neutral_194.jpg,84,173.jpg,156.jpg,
neu,IMDF_memory_postscan,152.jpg,neutral_171.jpg,15,731.jpg,446.jpg,
neg,IMDF_memory_postscan,896.jpg,People_003_h.jpg,109,76.jpg,947.jpg,
neu,IMDF_memory_postscan,196.jpg,neutral_067.jpg,24,166.jpg,421.jpg,
neu,IMDF_memory_postscan,181.jpg,neutral_060.jpg,22,560.jpg,106.jpg,
neg,IMDF_memory_postscan,916.jpg,9423.jpg,114,281.jpg,917.jpg,
neu,IMDF_memory_postscan,461.jpg,neutral_638.jpg,69,118.jpg,166.jpg,
neg,IMDF_memory_postscan,32.jpg,Faces_172_h.jpg,46,848.jpg,409.jpg,
neg,IMDF_memory_postscan,245.jpg,Animals_033_h.jpg,31,361.jpg,276.jpg,
neu,IMDF_memory_postscan,675.jpg,neutral_598.jpg,86,130.jpg,184.jpg,
