Emotion,NT_ID,Object,Scene,Set_ID,T_ID,color,condition,exp_ID,filler,neg_ID,neu_ID,null_ID,pair_ID,pp_ID,repetition,think_condition,trial_count
neg,9999,brick.jpg,Objects_106_vdisgust.jpg,,75,green,NTnegFILLER,TNT_scanner,yes,75,999,100,filler,37,one,T,1
neu,74,pingpongracket.jpg,neutral_053.jpg,,9999,red,TneuFILLER,TNT_scanner,yes,9999,74,97,filler,37,one,NT,2
neu,9999,binder03b.jpg,neutral_512.jpg,1,33,red,NT_neu,TNT_scanner,no,57,9999,56,32,37,one,NT,3
None,,,,1,,None,NULL,TNT_scanner,,,,9999,,37,one,None,4
neg,59,measuringtape01.jpg,Faces_363_vsad.jpg,1,9999,green,T_neg,TNT_scanner,no,9999,35,34,22,37,one,T,5
neu,9999,shirt01.jpg,neutral_007.jpg,1,28,green,T_neu,TNT_scanner,no,52,9999,51,27,37,one,T,6
neu,9999,battery02b.jpg,neutral_509.jpg,1,31,green,T_neu,TNT_scanner,no,55,9999,54,30,37,one,T,7
neg,9999,plasticflower01a.jpg,6550_people_fear.jpg,1,58,red,NT_neg,TNT_scanner,no,9999,58,81,45,37,one,NT,8
None,,,,1,,None,NULL,TNT_scanner,,,,9999,,37,one,None,9
neg,9999,dice05a.jpg,9050_people_accideNT.jpg,1,56,red,NT_neg,TNT_scanner,no,9999,56,79,43,37,one,NT,10
neg,9999,spoon01.jpg,Animals_008_v_disgust.jpg,1,60,green,T_neg,TNT_scanner,no,9999,60,83,47,37,one,T,11
neu,36,chair.jpg,neutral_144.jpg,1,9999,red,NT_neu,TNT_scanner,no,36,9999,11,11,37,one,NT,12
neu,29,toothbrush03b.jpg,neutral_390.jpg,1,9999,red,NT_neu,TNT_scanner,no,29,9999,4,4,37,one,NT,13
neg,56,makeupbrush04.jpg,People_127_fearh.jpg,1,9999,green,T_neg,TNT_scanner,no,9999,32,31,19,37,one,T,14
neu,9999,hinge.jpg,neutral_582.jpg,1,30,green,T_neu,TNT_scanner,no,54,9999,53,29,37,one,T,15
None,,,,1,,None,NULL,TNT_scanner,,,,9999,,37,one,None,16
neg,9999,stapler03a.jpg,People_001_hsadterror.jpg,1,54,red,NT_neg,TNT_scanner,no,9999,54,77,41,37,one,NT,17
None,,,,2,,None,NULL,TNT_scanner,,,,9999,,37,one,None,18
neu,9999,stackingrings01a.jpg,neutral_246.jpg,2,29,red,NT_neu,TNT_scanner,no,53,9999,52,28,37,one,NT,19
neg,55,safetypin.jpg,8480_people_fear.jpg,2,9999,green,T_neg,TNT_scanner,no,9999,31,30,18,37,one,T,20
neu,27,tuque03b.jpg,neutral_098.jpg,2,9999,green,T_neu,TNT_scanner,no,27,9999,2,2,37,one,T,21
neu,9999,cup01.jpg,neutral_195.jpg,2,35,green,T_neu,TNT_scanner,no,59,9999,58,34,37,one,T,22
neg,52,key01.jpg,1033_animal_fearanddisgust.jpg,2,9999,red,NT_neg,TNT_scanner,no,9999,28,27,15,37,one,NT,23
None,,,,2,,None,NULL,TNT_scanner,,,,9999,,37,one,None,24
neg,60,towel02a.jpg,Objects_006_hdisgust.jpg,2,9999,green,T_neg,TNT_scanner,no,9999,36,35,23,37,one,T,25
neu,9999,bow04.jpg,neutral_128.jpg,2,27,red,NT_neu,TNT_scanner,no,51,9999,50,26,37,one,NT,26
neu,28,belt02a.jpg,neutral_293.jpg,2,9999,red,NT_neu,TNT_scanner,no,28,9999,3,3,37,one,NT,27
neu,9999,pencilsharpener02a.jpg,neutral_022.jpg,2,34,green,T_neu,TNT_scanner,no,58,9999,57,33,37,one,T,28
neg,53,calculator01.jpg,6520_people_fear.jpg,2,9999,red,NT_neg,TNT_scanner,no,9999,29,28,16,37,one,NT,29
neg,54,box01.jpg,2900.1_people_crying.jpg,2,9999,green,T_neg,TNT_scanner,no,9999,30,29,17,37,one,T,30
None,,,,2,,None,NULL,TNT_scanner,,,,9999,,37,one,None,31
neg,9999,book01b.jpg,9412_people_sad.jpg,2,52,red,NT_neg,TNT_scanner,no,9999,52,75,39,37,one,NT,32
neg,9999,pillow02b.jpg,2700._people_crying_sad.jpg,3,57,red,NT_neg,TNT_scanner,no,9999,57,80,44,37,one,NT,33
None,,,,3,,None,NULL,TNT_scanner,,,,9999,,37,one,None,34
neu,9999,watch02a.jpg,neutral_380.jpg,3,32,red,NT_neu,TNT_scanner,no,56,9999,55,31,37,one,NT,35
neu,37,bottlecap.jpg,neutral_134.jpg,3,9999,red,NT_neu,TNT_scanner,no,37,9999,12,12,37,one,NT,36
neu,9999,birdie.jpg,neutral_614.jpg,3,37,green,T_neu,TNT_scanner,no,61,9999,60,36,37,one,T,37
None,,,,3,,None,NULL,TNT_scanner,,,,9999,,37,one,None,38
neg,58,globe.jpg,People_201_vsadterror.jpg,3,9999,red,NT_neg,TNT_scanner,no,9999,34,33,21,37,one,NT,39
neg,9999,ruler05.jpg,1201_animal_fearanddisgust.jpg,3,50,red,NT_neg,TNT_scanner,no,9999,50,73,37,37,one,NT,40
neg,50,thimble.jpg,Objects_021_vdisgust.jpg,3,9999,green,T_neg,TNT_scanner,no,9999,26,25,13,37,one,T,41
neu,35,chessboard.jpg,neutral_227.jpg,3,9999,green,T_neu,TNT_scanner,no,35,9999,10,10,37,one,T,42
neu,9999,lifejacket.jpg,neutral_247.jpg,3,36,green,T_neu,TNT_scanner,no,60,9999,59,35,37,one,T,43
neu,26,hat03b.jpg,neutral_017.jpg,3,9999,red,NT_neu,TNT_scanner,no,26,9999,1,1,37,one,NT,44
neg,9999,hanger02a.jpg,People_077_vfear.jpg,3,59,green,T_neg,TNT_scanner,no,9999,59,82,46,37,one,T,45
None,,,,3,,None,NULL,TNT_scanner,,,,9999,,37,one,None,46
