Emotion,Exp_ID,NT_ID,Object,Scene,Set_ID,T_ID,color,condition,exp_ID,filler,filler_type,main_run,neg_ID,neu_ID,null_ID,pair_ID,pp_ID,repetition,think_condition,trial_count
neg,TNT_scanner,9999,brick.jpg,Objects_106_vdisgust.jpg,,75,green,FILLER,TNT_scanner,yes,first,first,75,999,100,filler,18,one,T,1
neu,TNT_scanner,9999,fryingpan02a.jpg,neutral_066.jpg,,74,red,FILLER,TNT_scanner,yes,first,first,9999,75,99,filler,18,one,NT,2
None,TNT_scanner,,,,1,,None,NULL,TNT_scanner,,,first,,,9999,,18,one,None,3
neu,TNT_scanner,28,belt02a.jpg,neutral_293.jpg,1,9999,red,NT_neu,TNT_scanner,no,,first,28,9999,3,3,18,one,NT,4
neg,TNT_scanner,51,binoculars01b.jpg,Animals_221_hdisgustfear.jpg,1,9999,green,T_neg,TNT_scanner,no,,first,9999,27,26,14,18,one,T,5
neu,TNT_scanner,32,ring01.jpg,neutral_226.jpg,1,9999,green,T_neu,TNT_scanner,no,,first,32,9999,7,7,18,one,T,6
None,TNT_scanner,,,,1,,None,NULL,TNT_scanner,,,first,,,9999,,18,one,None,7
neg,TNT_scanner,56,makeupbrush04.jpg,People_127_fearh.jpg,1,9999,red,NT_neg,TNT_scanner,no,,first,9999,32,31,19,18,one,NT,8
neg,TNT_scanner,61,wallet04.jpg,People_140_hsad.jpg,1,9999,red,NT_neg,TNT_scanner,no,,first,9999,37,36,24,18,one,NT,9
neu,TNT_scanner,9999,shirt01.jpg,neutral_007.jpg,1,28,red,NT_neu,TNT_scanner,no,,first,52,9999,51,27,18,one,NT,10
neu,TNT_scanner,34,lock03a.jpg,neutral_659.jpg,1,9999,green,T_neu,TNT_scanner,no,,first,34,9999,9,9,18,one,T,11
neu,TNT_scanner,33,fan.jpg,neutral_706.jpg,1,9999,green,T_neu,TNT_scanner,no,,first,33,9999,8,8,18,one,T,12
neg,TNT_scanner,9999,boot02b.jpg,Objects_328_hdisgust.jpg,1,51,red,NT_neg,TNT_scanner,no,,first,9999,51,74,38,18,one,NT,13
None,TNT_scanner,,,,1,,None,NULL,TNT_scanner,,,first,,,9999,,18,one,None,14
neg,TNT_scanner,59,measuringtape01.jpg,Faces_363_vsad.jpg,1,9999,green,T_neg,TNT_scanner,no,,first,9999,35,34,22,18,one,T,15
neu,TNT_scanner,9999,lifejacket.jpg,neutral_247.jpg,1,36,red,NT_neu,TNT_scanner,no,,first,60,9999,59,35,18,one,NT,16
neg,TNT_scanner,9999,plasticflower01a.jpg,6550_people_fear.jpg,1,58,green,T_neg,TNT_scanner,no,,first,9999,58,81,45,18,one,T,17
neu,TNT_scanner,29,toothbrush03b.jpg,neutral_390.jpg,2,9999,green,T_neu,TNT_scanner,no,,first,29,9999,4,4,18,one,T,18
None,TNT_scanner,,,,2,,None,NULL,TNT_scanner,,,first,,,9999,,18,one,None,19
neu,TNT_scanner,27,tuque03b.jpg,neutral_098.jpg,2,9999,green,T_neu,TNT_scanner,no,,first,27,9999,2,2,18,one,T,20
neg,TNT_scanner,55,safetypin.jpg,8480_people_fear.jpg,2,9999,green,T_neg,TNT_scanner,no,,first,9999,31,30,18,18,one,T,21
neg,TNT_scanner,9999,book01b.jpg,9412_people_sad.jpg,2,52,green,T_neg,TNT_scanner,no,,first,9999,52,75,39,18,one,T,22
None,TNT_scanner,,,,2,,None,NULL,TNT_scanner,,,first,,,9999,,18,one,None,23
neu,TNT_scanner,9999,binder03b.jpg,neutral_512.jpg,2,33,red,NT_neu,TNT_scanner,no,,first,57,9999,56,32,18,one,NT,24
None,TNT_scanner,,,,2,,None,NULL,TNT_scanner,,,first,,,9999,,18,one,None,25
