Emotion,Object,Scene,Trial_ID,distractor_object_1,distractor_object_2
neg,953.jpg,1050.jpg,filler,954.jpg,981.jpg
neu,952.jpg,neutral_673.jpg,filler,975.jpg,957.jpg
neu,123.jpg,neutral_461.jpg,8,121.jpg,152.jpg
neu,975.jpg,neutral_707.jpg,filler,952.jpg,950.jpg
neu,453.jpg,neutral_588.jpg,67,184.jpg,151.jpg
neg,406.jpg,H044.bmp,59,281.jpg,809.jpg
neu,234.jpg,neutral_382.jpg,29,45.jpg,102.jpg
neu,48.jpg,neutral_497.jpg,72,196.jpg,138.jpg
neu,41.jpg,neutral_130.jpg,61,47.jpg,45.jpg
neg,317.jpg,Faces_034_h.jpg,45,90.jpg,884.jpg
neu,151.jpg,neutral_132.jpg,14,560.jpg,553.jpg
neu,10.jpg,neutral_001.jpg,1,460.jpg,542.jpg
neg,896.jpg,People_003_h.jpg,109,361.jpg,79.jpg
neg,916.jpg,9423.jpg,114,307.jpg,373.jpg
neu,24.jpg,neutral_224.jpg,30,55.jpg,453.jpg
neg,779.jpg,Objects_022_h.jpg,95,802.jpg,305.jpg
neg,4.jpg,Faces_274_h.jpg,58,305.jpg,25.jpg
neu,132.jpg,neutral_585.jpg,10,234.jpg,121.jpg
neg,32.jpg,Faces_172_h.jpg,46,836.jpg,376.jpg
neu,55.jpg,neutral_620.jpg,80,151.jpg,41.jpg
neg,82.jpg,People_217_h.jpg,99,926.jpg,87.jpg
neu,675.jpg,neutral_598.jpg,86,41.jpg,156.jpg
neu,156.jpg,neutral_200.jpg,16,435.jpg,48.jpg
neg,920.jpg,9425.jpg,116,809.jpg,366.jpg
neg,305.jpg,People_223_h.jpg,40,884.jpg,75.jpg
neu,45.jpg,neutral_270.jpg,65,553.jpg,118.jpg
neg,391.jpg,blood_034.jpg,57,916.jpg,280.jpg
neu,106.jpg,neutral_057.jpg,3,118.jpg,173.jpg
neg,332.jpg,Landscapes_025_h.jpg,48,313.jpg,391.jpg
neu,731.jpg,neutral_244.jpg,90,6.jpg,161.jpg
neu,50.jpg,neutral_531.jpg,74,138.jpg,47.jpg
neu,450.jpg,neutral_276.jpg,66,51.jpg,24.jpg
neg,90.jpg,6555.jpg,112,321.jpg,281.jpg
neg,38.jpg,6300.jpg,55,257.jpg,916.jpg
neg,312.jpg,Animals_025_h.jpg,42,406.jpg,276.jpg
neu,674.jpg,neutral_196.jpg,85,161.jpg,421.jpg
neg,932.jpg,Faces_272_h.jpg,118,900.jpg,920.jpg
neu,49.jpg,neutral_499.jpg,73,421.jpg,544.jpg
neu,138.jpg,neutral_119.jpg,11,731.jpg,55.jpg
neu,113.jpg,neutral_069.jpg,4,156.jpg,140.jpg
neg,87.jpg,Faces_028_h.jpg,104,942.jpg,82.jpg
neu,200.jpg,neutral_198.jpg,26,668.jpg,435.jpg
neg,870.jpg,Faces_041_h.jpg,105,376.jpg,4.jpg
neu,181.jpg,neutral_060.jpg,22,202.jpg,159.jpg
neu,173.jpg,neutral_290.jpg,21,102.jpg,130.jpg
neg,884.jpg,Landscapes_002_h.jpg,107,4.jpg,926.jpg
neg,802.jpg,Objects_126_h.jpg,97,32.jpg,845.jpg
neu,166.jpg,neutral_422.jpg,19,446.jpg,50.jpg
neu,435.jpg,neutral_188.jpg,63,461.jpg,724.jpg
neu,957.jpg,neutral_695.jpg,filler,950.jpg,952.jpg
neg,246.jpg,Animals_062_h.jpg,32,76.jpg,86.jpg
neg,895.jpg,Objects_003_h.jpg,108,9.jpg,932.jpg
neg,79.jpg,Objects_109_h.jpg,96,382.jpg,895.jpg
neu,72.jpg,neutral_240.jpg,88,113.jpg,200.jpg
neu,130.jpg,neutral_504.jpg,9,200.jpg,72.jpg
neg,321.jpg,Faces_302_h.jpg,47,372.jpg,779.jpg
neg,848.jpg,Animals_060_h.jpg,102,373.jpg,382.jpg
neg,280.jpg,Objects_206_h.jpg,38,353.jpg,409.jpg
neu,544.jpg,neutral_614.jpg,79,50.jpg,234.jpg
neg,897.jpg,People_147_h.jpg,110,267.jpg,307.jpg
