Emotion,Exp_ID,NT_ID,Object,Scene,Set_ID,T_ID,color,condition,exp_ID,filler,filler_type,main_run,neg_ID,neu_ID,null_ID,pair_ID,pp_ID,repetition,think_condition,trial_count
neu,TNT_scanner,74,pingpongracket.jpg,neutral_053.jpg,,9999,green,FILLER,TNT_scanner,yes,first,first,9999,74,97,filler,54,one,T,1
neg,TNT_scanner,75,microscope.jpg,Objects_283_hsad.jpg,,9999,red,FILLER,TNT_scanner,yes,first,first,74,999,98,filler,54,one,NT,2
None,TNT_scanner,,,,1,,None,NULL,TNT_scanner,,,first,,,9999,,54,one,None,3
neu,TNT_scanner,29,toothbrush03b.jpg,neutral_390.jpg,1,9999,red,NT_neu,TNT_scanner,no,,first,29,9999,4,4,54,one,NT,4
neu,TNT_scanner,9999,pylon.jpg,neutral_065.jpg,1,26,green,T_neu,TNT_scanner,no,,first,50,9999,49,25,54,one,T,5
neg,TNT_scanner,9999,spoon01.jpg,Animals_008_v_disgust.jpg,1,60,red,NT_neg,TNT_scanner,no,,first,9999,60,83,47,54,one,NT,6
neu,TNT_scanner,9999,watch02a.jpg,neutral_380.jpg,1,32,red,NT_neu,TNT_scanner,no,,first,56,9999,55,31,54,one,NT,7
neu,TNT_scanner,9999,lifejacket.jpg,neutral_247.jpg,1,36,green,T_neu,TNT_scanner,no,,first,60,9999,59,35,54,one,T,8
neu,TNT_scanner,9999,birdie.jpg,neutral_614.jpg,1,37,green,T_neu,TNT_scanner,no,,first,61,9999,60,36,54,one,T,9
neg,TNT_scanner,9999,ruler05.jpg,1201_animal_fearanddisgust.jpg,1,50,red,NT_neg,TNT_scanner,no,,first,9999,50,73,37,54,one,NT,10
neu,TNT_scanner,35,chessboard.jpg,neutral_227.jpg,1,9999,red,NT_neu,TNT_scanner,no,,first,35,9999,10,10,54,one,NT,11
neg,TNT_scanner,60,towel02a.jpg,Objects_006_hdisgust.jpg,1,9999,red,NT_neg,TNT_scanner,no,,first,9999,36,35,23,54,one,NT,12
None,TNT_scanner,,,,1,,None,NULL,TNT_scanner,,,first,,,9999,,54,one,None,13
neg,TNT_scanner,57,pictureframe04.jpg,9433_people-disgust.jpg,1,9999,green,T_neg,TNT_scanner,no,,first,9999,33,32,20,54,one,T,14
None,TNT_scanner,,,,1,,None,NULL,TNT_scanner,,,first,,,9999,,54,one,None,15
neg,TNT_scanner,9999,dice05a.jpg,9050_people_accideNT.jpg,1,56,green,T_neg,TNT_scanner,no,,first,9999,56,79,43,54,one,T,16
neg,TNT_scanner,50,thimble.jpg,Objects_021_vdisgust.jpg,1,9999,green,T_neg,TNT_scanner,no,,first,9999,26,25,13,54,one,T,17
neg,TNT_scanner,9999,book01b.jpg,9412_people_sad.jpg,2,52,green,T_neg,TNT_scanner,no,,first,9999,52,75,39,54,one,T,18
None,TNT_scanner,,,,2,,None,NULL,TNT_scanner,,,first,,,9999,,54,one,None,19
neg,TNT_scanner,55,safetypin.jpg,8480_people_fear.jpg,2,9999,red,NT_neg,TNT_scanner,no,,first,9999,31,30,18,54,one,NT,20
neu,TNT_scanner,32,ring01.jpg,neutral_226.jpg,2,9999,green,T_neu,TNT_scanner,no,,first,32,9999,7,7,54,one,T,21
None,TNT_scanner,,,,2,,None,NULL,TNT_scanner,,,first,,,9999,,54,one,None,22
neu,TNT_scanner,9999,shirt01.jpg,neutral_007.jpg,2,28,green,T_neu,TNT_scanner,no,,first,52,9999,51,27,54,one,T,23
neu,TNT_scanner,9999,bow04.jpg,neutral_128.jpg,2,27,red,NT_neu,TNT_scanner,no,,first,51,9999,50,26,54,one,NT,24
neg,TNT_scanner,9999,plasticflower01a.jpg,6550_people_fear.jpg,2,58,green,T_neg,TNT_scanner,no,,first,9999,58,81,45,54,one,T,25
neg,TNT_scanner,54,box01.jpg,2900.1_people_crying.jpg,2,9999,red,NT_neg,TNT_scanner,no,,first,9999,30,29,17,54,one,NT,26
neu,TNT_scanner,9999,pencilsharpener02a.jpg,neutral_022.jpg,2,34,red,NT_neu,TNT_scanner,no,,first,58,9999,57,33,54,one,NT,27
None,TNT_scanner,,,,2,,None,NULL,TNT_scanner,,,first,,,9999,,54,one,None,28
neg,TNT_scanner,51,binoculars01b.jpg,Animals_221_hdisgustfear.jpg,2,9999,red,NT_neg,TNT_scanner,no,,first,9999,27,26,14,54,one,NT,29
