Emotion,Exp_ID,Object,Scene,Set_ID,TBF_ID,TBR_ID,color,condition,exp_ID,filler,filler_type,neg_ID,neu_ID,null_ID,order,pp_ID,remember_condition,repetition,trial_count
neu,IMDF_scanner,975.jpg,neutral_707.jpg,,9999,92,green,FILLER,IMDF_scanner,yes,first,94,9999,126,5,50,TBR,9999,1
neg,IMDF_scanner,954.jpg,People_143_h.jpg,,94,9999,red,FILLER,IMDF_scanner,yes,first,9999,92,124,5,50,TBF,9999,2
neu,IMDF_scanner,49.jpg,neutral_499.jpg,1,9999,43,green,TBR_neu,IMDF_scanner,no,,73,9999,73,3,50,TBR,one,3
None,IMDF_scanner,,,1,,,None,NULL,IMDF_scanner,,,,,9999,,50,None,,4
neg,IMDF_scanner,942.jpg,H123.bmp,1,9999,89,green,TBR_neg,IMDF_scanner,no,,9999,89,119,4,50,TBR,two,5
neu,IMDF_scanner,24.jpg,neutral_224.jpg,1,60,9999,red,TBF_neu,IMDF_scanner,no,,60,9999,30,1,50,TBF,two,6
None,IMDF_scanner,,,1,,,None,NULL,IMDF_scanner,,,,,9999,,50,None,,7
neg,IMDF_scanner,79.jpg,Objects_109_h.jpg,1,9999,66,green,TBR_neg,IMDF_scanner,no,,9999,66,96,4,50,TBR,one,8
neu,IMDF_scanner,724.jpg,neutral_242.jpg,1,9999,59,green,TBR_neu,IMDF_scanner,no,,89,9999,89,3,50,TBR,two,9
neg,IMDF_scanner,916.jpg,9423.jpg,1,9999,84,red,TBF_neg,IMDF_scanner,no,,9999,84,114,4,50,TBF,two,10
neu,IMDF_scanner,20.jpg,neutral_223.jpg,1,55,9999,red,TBF_neu,IMDF_scanner,no,,55,9999,25,1,50,TBF,two,11
neg,IMDF_scanner,280.jpg,Objects_206_h.jpg,1,68,9999,green,TBR_neg,IMDF_scanner,no,,9999,38,38,2,50,TBR,one,12
neg,IMDF_scanner,779.jpg,Objects_022_h.jpg,1,9999,65,green,TBR_neg,IMDF_scanner,no,,9999,65,95,4,50,TBR,one,13
None,IMDF_scanner,,,1,,,None,NULL,IMDF_scanner,,,,,9999,,50,None,,14
neu,IMDF_scanner,10.jpg,neutral_001.jpg,1,31,9999,red,TBF_neu,IMDF_scanner,no,,31,9999,1,1,50,TBF,one,15
None,IMDF_scanner,,,1,,,None,NULL,IMDF_scanner,,,,,9999,,50,None,,16
neu,IMDF_scanner,138.jpg,neutral_119.jpg,1,41,9999,green,TBR_neu,IMDF_scanner,no,,41,9999,11,1,50,TBR,one,17
neg,IMDF_scanner,268.jpg,Objects_088_h.jpg,1,66,9999,green,TBR_neg,IMDF_scanner,no,,9999,36,36,2,50,TBR,one,18
neg,IMDF_scanner,361.jpg,People_210_h.jpg,1,80,9999,green,TBR_neg,IMDF_scanner,no,,9999,50,50,2,50,TBR,two,19
neg,IMDF_scanner,802.jpg,Objects_126_h.jpg,1,9999,67,red,TBF_neg,IMDF_scanner,no,,9999,67,97,4,50,TBF,one,20
None,IMDF_scanner,,,1,,,None,NULL,IMDF_scanner,,,,,9999,,50,None,,21
neg,IMDF_scanner,87.jpg,Faces_028_h.jpg,1,9999,74,green,TBR_neg,IMDF_scanner,no,,9999,74,104,4,50,TBR,one,22
neu,IMDF_scanner,446.jpg,neutral_201.jpg,1,9999,34,green,TBR_neu,IMDF_scanner,no,,64,9999,64,3,50,TBR,one,23
