Emotion,Exp_ID,NT_ID,Object,Scene,Set_ID,T_ID,color,condition,exp_ID,filler,filler_type,main_run,neg_ID,neu_ID,null_ID,pair_ID,pp_ID,repetition,think_condition,trial_count
neg,TNT_scanner,75,microscope.jpg,Objects_283_hsad.jpg,,9999,red,FILLER,TNT_scanner,yes,first,first,74,999,98,filler,31,one,NT,1
neu,TNT_scanner,74,pingpongracket.jpg,neutral_053.jpg,,9999,green,FILLER,TNT_scanner,yes,first,first,9999,74,97,filler,31,one,T,2
neu,TNT_scanner,9999,battery02b.jpg,neutral_509.jpg,1,31,green,T_neu,TNT_scanner,no,,first,55,9999,54,30,31,one,T,3
None,TNT_scanner,,,,1,,None,NULL,TNT_scanner,,,first,,,9999,,31,one,None,4
neg,TNT_scanner,59,measuringtape01.jpg,Faces_363_vsad.jpg,1,9999,red,NT_neg,TNT_scanner,no,,first,9999,35,34,22,31,one,NT,5
neg,TNT_scanner,57,pictureframe04.jpg,9433_people-disgust.jpg,1,9999,red,NT_neg,TNT_scanner,no,,first,9999,33,32,20,31,one,NT,6
None,TNT_scanner,,,,1,,None,NULL,TNT_scanner,,,first,,,9999,,31,one,None,7
neu,TNT_scanner,34,lock03a.jpg,neutral_659.jpg,1,9999,green,T_neu,TNT_scanner,no,,first,34,9999,9,9,31,one,T,8
neg,TNT_scanner,61,wallet04.jpg,People_140_hsad.jpg,1,9999,green,T_neg,TNT_scanner,no,,first,9999,37,36,24,31,one,T,9
neu,TNT_scanner,31,negativefilm.jpg,neutral_192.jpg,1,9999,green,T_neu,TNT_scanner,no,,first,31,9999,6,6,31,one,T,10
neu,TNT_scanner,9999,lifejacket.jpg,neutral_247.jpg,1,36,red,NT_neu,TNT_scanner,no,,first,60,9999,59,35,31,one,NT,11
neg,TNT_scanner,54,box01.jpg,2900.1_people_crying.jpg,1,9999,green,T_neg,TNT_scanner,no,,first,9999,30,29,17,31,one,T,12
neg,TNT_scanner,52,key01.jpg,1033_animal_fearanddisgust.jpg,1,9999,green,T_neg,TNT_scanner,no,,first,9999,28,27,15,31,one,T,13
None,TNT_scanner,,,,1,,None,NULL,TNT_scanner,,,first,,,9999,,31,one,None,14
neu,TNT_scanner,32,ring01.jpg,neutral_226.jpg,1,9999,red,NT_neu,TNT_scanner,no,,first,32,9999,7,7,31,one,NT,15
neu,TNT_scanner,36,chair.jpg,neutral_144.jpg,1,9999,red,NT_neu,TNT_scanner,no,,first,36,9999,11,11,31,one,NT,16
neg,TNT_scanner,9999,stapler03a.jpg,People_001_hsadterror.jpg,1,54,red,NT_neg,TNT_scanner,no,,first,9999,54,77,41,31,one,NT,17
neg,TNT_scanner,60,towel02a.jpg,Objects_006_hdisgust.jpg,2,9999,green,T_neg,TNT_scanner,no,,first,9999,36,35,23,31,one,T,18
neg,TNT_scanner,9999,hanger02a.jpg,People_077_vfear.jpg,2,59,green,T_neg,TNT_scanner,no,,first,9999,59,82,46,31,one,T,19
neu,TNT_scanner,9999,stackingrings01a.jpg,neutral_246.jpg,2,29,green,T_neu,TNT_scanner,no,,first,53,9999,52,28,31,one,T,20
None,TNT_scanner,,,,2,,None,NULL,TNT_scanner,,,first,,,9999,,31,one,None,21
neg,TNT_scanner,9999,boot02b.jpg,Objects_328_hdisgust.jpg,2,51,green,T_neg,TNT_scanner,no,,first,9999,51,74,38,31,one,T,22
neu,TNT_scanner,9999,shirt01.jpg,neutral_007.jpg,2,28,green,T_neu,TNT_scanner,no,,first,52,9999,51,27,31,one,T,23
neg,TNT_scanner,9999,glassmop.jpg,9440_object_disgustandfear.jpg,2,53,red,NT_neg,TNT_scanner,no,,first,9999,53,76,40,31,one,NT,24
neu,TNT_scanner,9999,cup01.jpg,neutral_195.jpg,2,35,red,NT_neu,TNT_scanner,no,,first,59,9999,58,34,31,one,NT,25
neg,TNT_scanner,9999,ruler05.jpg,1201_animal_fearanddisgust.jpg,2,50,red,NT_neg,TNT_scanner,no,,first,9999,50,73,37,31,one,NT,26
neu,TNT_scanner,9999,birdie.jpg,neutral_614.jpg,2,37,green,T_neu,TNT_scanner,no,,first,61,9999,60,36,31,one,T,27
neu,TNT_scanner,33,fan.jpg,neutral_706.jpg,2,9999,red,NT_neu,TNT_scanner,no,,first,33,9999,8,8,31,one,NT,28
None,TNT_scanner,,,,2,,None,NULL,TNT_scanner,,,first,,,9999,,31,one,None,29
neg,TNT_scanner,9999,mirror.jpg,2981_animal_disgust.jpg,2,55,red,NT_neg,TNT_scanner,no,,first,9999,55,78,42,31,one,NT,30
None,TNT_scanner,,,,2,,None,NULL,TNT_scanner,,,first,,,9999,,31,one,None,31
neu,TNT_scanner,9999,pylon.jpg,neutral_065.jpg,2,26,red,NT_neu,TNT_scanner,no,,first,50,9999,49,25,31,one,NT,32
None,TNT_scanner,,,,3,,None,NULL,TNT_scanner,,,first,,,9999,,31,one,None,33
neu,TNT_scanner,9999,hinge.jpg,neutral_582.jpg,3,30,red,NT_neu,TNT_scanner,no,,first,54,9999,53,29,31,one,NT,34
neg,TNT_scanner,55,safetypin.jpg,8480_people_fear.jpg,3,9999,red,NT_neg,TNT_scanner,no,,first,9999,31,30,18,31,one,NT,35
None,TNT_scanner,,,,3,,None,NULL,TNT_scanner,,,first,,,9999,,31,one,None,36
neg,TNT_scanner,50,thimble.jpg,Objects_021_vdisgust.jpg,3,9999,red,NT_neg,TNT_scanner,no,,first,9999,26,25,13,31,one,NT,37
neu,TNT_scanner,29,toothbrush03b.jpg,neutral_390.jpg,3,9999,red,NT_neu,TNT_scanner,no,,first,29,9999,4,4,31,one,NT,38
neg,TNT_scanner,53,calculator01.jpg,6520_people_fear.jpg,3,9999,green,T_neg,TNT_scanner,no,,first,9999,29,28,16,31,one,T,39
neg,TNT_scanner,9999,book01b.jpg,9412_people_sad.jpg,3,52,green,T_neg,TNT_scanner,no,,first,9999,52,75,39,31,one,T,40
None,TNT_scanner,,,,3,,None,NULL,TNT_scanner,,,first,,,9999,,31,one,None,41
neu,TNT_scanner,9999,binder03b.jpg,neutral_512.jpg,3,33,green,T_neu,TNT_scanner,no,,first,57,9999,56,32,31,one,T,42
neg,TNT_scanner,9999,pillow02b.jpg,2700._people_crying_sad.jpg,3,57,red,NT_neg,TNT_scanner,no,,first,9999,57,80,44,31,one,NT,43
neu,TNT_scanner,9999,watch02a.jpg,neutral_380.jpg,3,32,green,T_neu,TNT_scanner,no,,first,56,9999,55,31,31,one,T,44
neu,TNT_scanner,37,bottlecap.jpg,neutral_134.jpg,3,9999,green,T_neu,TNT_scanner,no,,first,37,9999,12,12,31,one,T,45
neg,TNT_scanner,9999,dice05a.jpg,9050_people_accideNT.jpg,3,56,green,T_neg,TNT_scanner,no,,first,9999,56,79,43,31,one,T,46
neu,TNT_scanner,9999,pencilsharpener02a.jpg,neutral_022.jpg,3,34,red,NT_neu,TNT_scanner,no,,first,58,9999,57,33,31,one,NT,47
None,TNT_scanner,,,,4,,None,NULL,TNT_scanner,,,first,,,9999,,31,one,None,48
neu,TNT_scanner,26,hat03b.jpg,neutral_017.jpg,4,9999,green,T_neu,TNT_scanner,no,,first,26,9999,1,1,31,one,T,49
neu,TNT_scanner,27,tuque03b.jpg,neutral_098.jpg,4,9999,green,T_neu,TNT_scanner,no,,first,27,9999,2,2,31,one,T,50
None,TNT_scanner,,,,4,,None,NULL,TNT_scanner,,,first,,,9999,,31,one,None,51
neu,TNT_scanner,30,radio02.jpg,neutral_331.jpg,4,9999,red,NT_neu,TNT_scanner,no,,first,30,9999,5,5,31,one,NT,52
neg,TNT_scanner,9999,plasticflower01a.jpg,6550_people_fear.jpg,4,58,red,NT_neg,TNT_scanner,no,,first,9999,58,81,45,31,one,NT,53
neg,TNT_scanner,9999,measuringcup01.jpg,2811_object_fear.jpg,4,61,red,NT_neg,TNT_scanner,no,,first,9999,61,84,48,31,one,NT,54
neu,TNT_scanner,9999,bow04.jpg,neutral_128.jpg,4,27,green,T_neu,TNT_scanner,no,,first,51,9999,50,26,31,one,T,55
neu,TNT_scanner,35,chessboard.jpg,neutral_227.jpg,4,9999,red,NT_neu,TNT_scanner,no,,first,35,9999,10,10,31,one,NT,56
neg,TNT_scanner,56,makeupbrush04.jpg,People_127_fearh.jpg,4,9999,green,T_neg,TNT_scanner,no,,first,9999,32,31,19,31,one,T,57
