Emotion,Object,Scene,Trial_ID,distractor_object_1,distractor_object_2
neg,953.jpg,1050.jpg,filler,954.jpg,987.jpg
neu,731.jpg,neutral_244.jpg,90,173.jpg,675.jpg
neu,161.jpg,neutral_416.jpg,18,544.jpg,132.jpg
neu,72.jpg,neutral_240.jpg,88,166.jpg,20.jpg
neg,900.jpg,6830.jpg,113,896.jpg,382.jpg
neg,321.jpg,Faces_302_h.jpg,47,90.jpg,836.jpg
neu,202.jpg,neutral_667.jpg,27,72.jpg,159.jpg
neu,674.jpg,neutral_196.jpg,85,49.jpg,72.jpg
neu,476.jpg,neutral_456.jpg,71,55.jpg,47.jpg
neg,779.jpg,Objects_022_h.jpg,95,947.jpg,769.jpg
neu,542.jpg,neutral_568.jpg,78,106.jpg,560.jpg
neg,307.jpg,Animals_001_h.jpg,41,82.jpg,87.jpg
neu,116.jpg,neutral_073.jpg,5,121.jpg,49.jpg
neg,926.jpg,Animals_073_h.jpg,117,25.jpg,75.jpg
neu,184.jpg,neutral_063.jpg,23,542.jpg,102.jpg
neg,82.jpg,People_217_h.jpg,99,268.jpg,916.jpg
neg,316.jpg,Faces_019_h.jpg,44,409.jpg,932.jpg
neg,382.jpg,6312.jpg,56,280.jpg,877.jpg
neu,675.jpg,neutral_598.jpg,86,724.jpg,714.jpg
neu,6.jpg,neutral_193.jpg,83,45.jpg,23.jpg
neg,917.jpg,9424.jpg,115,307.jpg,257.jpg
neg,267.jpg,Objects_011_h.jpg,35,769.jpg,90.jpg
neg,276.jpg,Objects_125_h.jpg,37,281.jpg,809.jpg
neu,23.jpg,neutral_104.jpg,28,145.jpg,506.jpg
neu,506.jpg,neutral_532.jpg,75,675.jpg,542.jpg
neu,461.jpg,neutral_638.jpg,69,714.jpg,544.jpg
neg,372.jpg,2692.jpg,52,391.jpg,316.jpg
neg,896.jpg,People_003_h.jpg,109,382.jpg,848.jpg
neg,4.jpg,Faces_274_h.jpg,58,321.jpg,926.jpg
neu,724.jpg,neutral_242.jpg,89,116.jpg,48.jpg
neg,391.jpg,blood_034.jpg,57,9.jpg,947.jpg
neg,987.jpg,6213.jpg,filler,981.jpg,953.jpg
neg,954.jpg,People_143_h.jpg,filler,953.jpg,981.jpg
