Emotion,Object,Scene,Trial_ID,distractor_object_1,distractor_object_2
neu,975.jpg,neutral_707.jpg,filler,950.jpg,952.jpg
neu,957.jpg,neutral_695.jpg,filler,952.jpg,975.jpg
neg,312.jpg,Animals_025_h.jpg,42,4.jpg,848.jpg
neg,276.jpg,Objects_125_h.jpg,37,406.jpg,947.jpg
neg,748.jpg,Animals_018_h.jpg,91,920.jpg,845.jpg
neu,461.jpg,neutral_638.jpg,69,173.jpg,72.jpg
neu,421.jpg,neutral_131.jpg,62,49.jpg,41.jpg
neg,954.jpg,People_143_h.jpg,filler,953.jpg,981.jpg
neu,140.jpg,neutral_121.jpg,12,202.jpg,161.jpg
neu,724.jpg,neutral_242.jpg,89,166.jpg,156.jpg
neu,446.jpg,neutral_201.jpg,64,156.jpg,145.jpg
neg,86.jpg,Faces_007_h.jpg,103,896.jpg,9.jpg
neu,113.jpg,neutral_069.jpg,4,47.jpg,196.jpg
neg,896.jpg,People_003_h.jpg,109,38.jpg,321.jpg
neg,246.jpg,Animals_062_h.jpg,32,317.jpg,257.jpg
neu,102.jpg,neutral_003.jpg,2,538.jpg,170.jpg
neg,809.jpg,People_058_h.jpg,98,926.jpg,317.jpg
neu,50.jpg,neutral_531.jpg,74,544.jpg,476.jpg
neu,166.jpg,neutral_422.jpg,19,461.jpg,446.jpg
neu,731.jpg,neutral_244.jpg,90,152.jpg,6.jpg
neg,4.jpg,Faces_274_h.jpg,58,942.jpg,897.jpg
neg,981.jpg,People_133_h.jpg,filler,987.jpg,953.jpg
neg,932.jpg,Faces_272_h.jpg,118,75.jpg,926.jpg
neu,161.jpg,neutral_416.jpg,18,106.jpg,159.jpg
neu,453.jpg,neutral_588.jpg,67,450.jpg,140.jpg
neg,926.jpg,Animals_073_h.jpg,117,373.jpg,748.jpg
neg,877.jpg,Faces_283_h.jpg,106,9.jpg,809.jpg
neu,55.jpg,neutral_620.jpg,80,506.jpg,674.jpg
neg,372.jpg,2692.jpg,52,312.jpg,900.jpg
neu,152.jpg,neutral_171.jpg,15,560.jpg,132.jpg
neg,321.jpg,Faces_302_h.jpg,47,307.jpg,76.jpg
neg,245.jpg,Animals_033_h.jpg,31,25.jpg,802.jpg
neg,332.jpg,Landscapes_025_h.jpg,48,82.jpg,409.jpg
neu,41.jpg,neutral_130.jpg,61,113.jpg,51.jpg
neu,23.jpg,neutral_104.jpg,28,542.jpg,166.jpg
neg,802.jpg,Objects_126_h.jpg,97,305.jpg,406.jpg
neu,173.jpg,neutral_290.jpg,21,20.jpg,118.jpg
neu,132.jpg,neutral_585.jpg,10,48.jpg,151.jpg
neg,75.jpg,Animals_065_h.jpg,92,276.jpg,779.jpg
neg,267.jpg,Objects_011_h.jpg,35,79.jpg,313.jpg
neu,10.jpg,neutral_001.jpg,1,724.jpg,121.jpg
neu,196.jpg,neutral_067.jpg,24,41.jpg,460.jpg
neg,884.jpg,Landscapes_002_h.jpg,107,372.jpg,373.jpg
neg,38.jpg,6300.jpg,55,376.jpg,307.jpg
neu,20.jpg,neutral_223.jpg,25,714.jpg,421.jpg
neu,24.jpg,neutral_224.jpg,30,674.jpg,450.jpg
neu,200.jpg,neutral_198.jpg,26,234.jpg,453.jpg
neg,376.jpg,6211.jpg,54,802.jpg,391.jpg
neg,87.jpg,Faces_028_h.jpg,104,257.jpg,90.jpg
neu,506.jpg,neutral_532.jpg,75,138.jpg,10.jpg
neu,170.jpg,neutral_423.jpg,20,460.jpg,23.jpg
neg,779.jpg,Objects_022_h.jpg,95,877.jpg,316.jpg
neg,281.jpg,People_239_h.jpg,39,332.jpg,916.jpg
neg,897.jpg,People_147_h.jpg,110,87.jpg,332.jpg
neu,159.jpg,neutral_370.jpg,17,476.jpg,47.jpg
neu,675.jpg,neutral_598.jpg,86,200.jpg,506.jpg
neg,895.jpg,Objects_003_h.jpg,108,313.jpg,884.jpg
neu,72.jpg,neutral_240.jpg,88,55.jpg,49.jpg
