Emotion,Object,Scene,Trial_ID,distractor_object_1,distractor_object_2
neu,957.jpg,neutral_695.jpg,filler,975.jpg,952.jpg
neg,953.jpg,1050.jpg,filler,981.jpg,954.jpg
neg,920.jpg,9425.jpg,116,75.jpg,267.jpg
neg,895.jpg,Objects_003_h.jpg,108,409.jpg,376.jpg
neg,361.jpg,People_210_h.jpg,50,947.jpg,76.jpg
neu,123.jpg,neutral_461.jpg,8,20.jpg,538.jpg
neu,450.jpg,neutral_276.jpg,66,538.jpg,161.jpg
neu,121.jpg,neutral_394.jpg,7,102.jpg,173.jpg
neg,845.jpg,Animals_013_h.jpg,101,90.jpg,313.jpg
neu,132.jpg,neutral_585.jpg,10,159.jpg,450.jpg
neu,724.jpg,neutral_242.jpg,89,675.jpg,123.jpg
neu,145.jpg,neutral_125.jpg,13,170.jpg,106.jpg
neg,932.jpg,Faces_272_h.jpg,118,276.jpg,316.jpg
neg,366.jpg,1930.jpg,51,809.jpg,317.jpg
neu,731.jpg,neutral_244.jpg,90,49.jpg,724.jpg
neg,90.jpg,6555.jpg,112,79.jpg,848.jpg
neu,714.jpg,neutral_236.jpg,87,121.jpg,45.jpg
neg,305.jpg,People_223_h.jpg,40,76.jpg,32.jpg
neu,72.jpg,neutral_240.jpg,88,123.jpg,731.jpg
neg,802.jpg,Objects_126_h.jpg,97,748.jpg,373.jpg
neu,50.jpg,neutral_531.jpg,74,23.jpg,132.jpg
neg,848.jpg,Animals_060_h.jpg,102,372.jpg,779.jpg
neu,156.jpg,neutral_200.jpg,16,145.jpg,159.jpg
neu,51.jpg,neutral_538.jpg,76,152.jpg,49.jpg
neu,181.jpg,neutral_060.jpg,22,166.jpg,72.jpg
neg,409.jpg,9630.jpg,60,900.jpg,353.jpg
neg,32.jpg,Faces_172_h.jpg,46,877.jpg,897.jpg
neu,152.jpg,neutral_171.jpg,15,668.jpg,121.jpg
neg,353.jpg,Objects_145_h.jpg,49,38.jpg,769.jpg
neu,159.jpg,neutral_370.jpg,17,161.jpg,55.jpg
neg,317.jpg,Faces_034_h.jpg,45,932.jpg,305.jpg
neu,538.jpg,neutral_560.jpg,77,560.jpg,48.jpg
neg,779.jpg,Objects_022_h.jpg,95,373.jpg,312.jpg
neu,24.jpg,neutral_224.jpg,30,156.jpg,460.jpg
neg,942.jpg,H123.bmp,119,267.jpg,9.jpg
neg,332.jpg,Landscapes_025_h.jpg,48,32.jpg,372.jpg
neu,234.jpg,neutral_382.jpg,29,196.jpg,453.jpg
neu,476.jpg,neutral_456.jpg,71,116.jpg,674.jpg
neu,106.jpg,neutral_057.jpg,3,461.jpg,47.jpg
neg,896.jpg,People_003_h.jpg,109,942.jpg,900.jpg
neg,900.jpg,6830.jpg,113,897.jpg,321.jpg
neg,75.jpg,Animals_065_h.jpg,92,845.jpg,748.jpg
neu,184.jpg,neutral_063.jpg,23,118.jpg,542.jpg
neg,748.jpg,Animals_018_h.jpg,91,25.jpg,920.jpg
neg,38.jpg,6300.jpg,55,4.jpg,257.jpg
neu,47.jpg,neutral_671.jpg,70,542.jpg,130.jpg
neu,975.jpg,neutral_707.jpg,filler,957.jpg,950.jpg
neg,316.jpg,Faces_019_h.jpg,44,307.jpg,361.jpg
