Emotion,Object,Scene,Set_ID,TBF_ID,TBR_ID,color,condition,exp_ID,filler,neg_ID,neu_ID,null_ID,order,pp_ID,remember_condition,repetition,trial_count
neu,957.jpg,neutral_695.jpg,,9999,91,green,TBFneuFILLER,IMDF_scanner,yes,93,9999,125,5,22,TBR,9999,1
neg,954.jpg,People_143_h.jpg,,94,9999,red,TBRnegFILLER,IMDF_scanner,yes,9999,92,124,5,22,TBF,9999,2
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,22,None,,3
neg,280.jpg,Objects_206_h.jpg,1,68,9999,red,TBF_neg,IMDF_scanner,no,9999,38,38,2,22,TBF,one,4
neu,435.jpg,neutral_188.jpg,1,9999,33,green,TBR_neu,IMDF_scanner,no,63,9999,63,3,22,TBR,one,5
neg,897.jpg,People_147_h.jpg,1,9999,80,green,TBR_neg,IMDF_scanner,no,9999,80,110,4,22,TBR,two,6
neu,476.jpg,neutral_456.jpg,1,9999,41,green,TBR_neu,IMDF_scanner,no,71,9999,71,3,22,TBR,one,7
neu,181.jpg,neutral_060.jpg,1,52,9999,red,TBF_neu,IMDF_scanner,no,52,9999,22,1,22,TBF,two,8
neu,45.jpg,neutral_270.jpg,1,9999,35,green,TBR_neu,IMDF_scanner,no,65,9999,65,3,22,TBR,one,9
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,22,None,,10
neg,276.jpg,Objects_125_h.jpg,1,67,9999,red,TBF_neg,IMDF_scanner,no,9999,37,37,2,22,TBF,one,11
neu,6.jpg,neutral_193.jpg,1,9999,53,green,TBR_neu,IMDF_scanner,no,83,9999,83,3,22,TBR,two,12
neg,316.jpg,Faces_019_h.jpg,1,74,9999,red,TBF_neg,IMDF_scanner,no,9999,44,44,2,22,TBF,one,13
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,22,None,,14
neg,312.jpg,Animals_025_h.jpg,1,72,9999,green,TBR_neg,IMDF_scanner,no,9999,42,42,2,22,TBR,one,15
neg,76.jpg,Landscapes_007_h.jpg,1,9999,63,green,TBR_neg,IMDF_scanner,no,9999,63,93,4,22,TBR,one,16
neu,23.jpg,neutral_104.jpg,1,58,9999,red,TBF_neu,IMDF_scanner,no,58,9999,28,1,22,TBF,two,17
neu,113.jpg,neutral_069.jpg,1,34,9999,red,TBF_neu,IMDF_scanner,no,34,9999,4,1,22,TBF,one,18
neg,917.jpg,9424.jpg,1,9999,85,red,TBF_neg,IMDF_scanner,no,9999,85,115,4,22,TBF,two,19
neu,41.jpg,neutral_130.jpg,1,9999,31,green,TBR_neu,IMDF_scanner,no,61,9999,61,3,22,TBR,one,20
neu,446.jpg,neutral_201.jpg,1,9999,34,red,TBF_neu,IMDF_scanner,no,64,9999,64,3,22,TBF,one,21
neu,20.jpg,neutral_223.jpg,1,55,9999,green,TBR_neu,IMDF_scanner,no,55,9999,25,1,22,TBR,two,22
neg,748.jpg,Animals_018_h.jpg,1,9999,61,green,TBR_neg,IMDF_scanner,no,9999,61,91,4,22,TBR,one,23
neg,246.jpg,Animals_062_h.jpg,1,62,9999,green,TBR_neg,IMDF_scanner,no,9999,32,32,2,22,TBR,one,24
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,22,None,,25
neg,877.jpg,Faces_283_h.jpg,1,9999,76,red,TBF_neg,IMDF_scanner,no,9999,76,106,4,22,TBF,two,26
neg,391.jpg,blood_034.jpg,1,87,9999,red,TBF_neg,IMDF_scanner,no,9999,57,57,2,22,TBF,two,27
neu,123.jpg,neutral_461.jpg,1,38,9999,red,TBF_neu,IMDF_scanner,no,38,9999,8,1,22,TBF,one,28
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,22,None,,29
neu,461.jpg,neutral_638.jpg,1,9999,39,red,TBF_neu,IMDF_scanner,no,69,9999,69,3,22,TBF,one,30
neu,55.jpg,neutral_620.jpg,1,9999,50,red,TBF_neu,IMDF_scanner,no,80,9999,80,3,22,TBF,two,31
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,22,None,,32
neu,202.jpg,neutral_667.jpg,1,57,9999,red,TBF_neu,IMDF_scanner,no,57,9999,27,1,22,TBF,two,33
neg,779.jpg,Objects_022_h.jpg,1,9999,65,red,TBF_neg,IMDF_scanner,no,9999,65,95,4,22,TBF,one,34
neg,332.jpg,Landscapes_025_h.jpg,1,78,9999,red,TBF_neg,IMDF_scanner,no,9999,48,48,2,22,TBF,two,35
neg,769.jpg,People_198_h.jpg,1,9999,64,green,TBR_neg,IMDF_scanner,no,9999,64,94,4,22,TBR,one,36
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,22,None,,37
neu,130.jpg,neutral_504.jpg,1,39,9999,red,TBF_neu,IMDF_scanner,no,39,9999,9,1,22,TBF,one,38
neu,47.jpg,neutral_671.jpg,1,9999,40,green,TBR_neu,IMDF_scanner,no,70,9999,70,3,22,TBR,one,39
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,22,None,,40
neu,668.jpg,neutral_194.jpg,1,9999,54,green,TBR_neu,IMDF_scanner,no,84,9999,84,3,22,TBR,two,41
neu,50.jpg,neutral_531.jpg,1,9999,44,green,TBR_neu,IMDF_scanner,no,74,9999,74,3,22,TBR,one,42
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,22,None,,43
neg,87.jpg,Faces_028_h.jpg,1,9999,74,red,TBF_neg,IMDF_scanner,no,9999,74,104,4,22,TBF,one,44
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,22,None,,45
