Emotion,Object,Scene,Set_ID,TBF_ID,TBR_ID,color,condition,exp_ID,filler,neg_ID,neu_ID,null_ID,order,pp_ID,remember_condition,repetition,trial_count
neu,952.jpg,neutral_673.jpg,,92,9999,red,TBRneuFILLER,IMDF_scanner,yes,92,9999,122,5,63,TBF,9999,1
neg,987.jpg,6213.jpg,,9999,94,red,TBFnegFILLER,IMDF_scanner,yes,9999,94,128,5,63,TBF,9999,2
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,63,None,,3
neg,86.jpg,Faces_007_h.jpg,1,9999,73,green,TBR_neg,IMDF_scanner,no,9999,73,103,4,63,TBR,one,4
neg,932.jpg,Faces_272_h.jpg,1,9999,88,red,TBF_neg,IMDF_scanner,no,9999,88,118,4,63,TBF,two,5
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,63,None,,6
neg,809.jpg,People_058_h.jpg,1,9999,68,green,TBR_neg,IMDF_scanner,no,9999,68,98,4,63,TBR,one,7
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,63,None,,8
neg,406.jpg,H044.bmp,1,89,9999,green,TBR_neg,IMDF_scanner,no,9999,59,59,2,63,TBR,two,9
neg,245.jpg,Animals_033_h.jpg,1,61,9999,green,TBR_neg,IMDF_scanner,no,9999,31,31,2,63,TBR,one,10
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,63,None,,11
neu,453.jpg,neutral_588.jpg,1,9999,37,green,TBR_neu,IMDF_scanner,no,67,9999,67,3,63,TBR,one,12
neg,748.jpg,Animals_018_h.jpg,1,9999,61,green,TBR_neg,IMDF_scanner,no,9999,61,91,4,63,TBR,one,13
neg,926.jpg,Animals_073_h.jpg,1,9999,87,green,TBR_neg,IMDF_scanner,no,9999,87,117,4,63,TBR,two,14
neu,72.jpg,neutral_240.jpg,1,9999,58,red,TBF_neu,IMDF_scanner,no,88,9999,88,3,63,TBF,two,15
neu,542.jpg,neutral_568.jpg,1,9999,48,red,TBF_neu,IMDF_scanner,no,78,9999,78,3,63,TBF,two,16
neu,102.jpg,neutral_003.jpg,1,32,9999,red,TBF_neu,IMDF_scanner,no,32,9999,2,1,63,TBF,one,17
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,63,None,,18
neg,920.jpg,9425.jpg,1,9999,86,green,TBR_neg,IMDF_scanner,no,9999,86,116,4,63,TBR,two,19
neu,421.jpg,neutral_131.jpg,1,9999,32,red,TBF_neu,IMDF_scanner,no,62,9999,62,3,63,TBF,one,20
neg,900.jpg,6830.jpg,1,9999,83,green,TBR_neg,IMDF_scanner,no,9999,83,113,4,63,TBR,two,21
neu,123.jpg,neutral_461.jpg,1,38,9999,green,TBR_neu,IMDF_scanner,no,38,9999,8,1,63,TBR,one,22
neu,184.jpg,neutral_063.jpg,1,53,9999,red,TBF_neu,IMDF_scanner,no,53,9999,23,1,63,TBF,two,23
neg,246.jpg,Animals_062_h.jpg,1,62,9999,red,TBF_neg,IMDF_scanner,no,9999,32,32,2,63,TBF,one,24
neg,79.jpg,Objects_109_h.jpg,1,9999,66,green,TBR_neg,IMDF_scanner,no,9999,66,96,4,63,TBR,one,25
neu,45.jpg,neutral_270.jpg,1,9999,35,green,TBR_neu,IMDF_scanner,no,65,9999,65,3,63,TBR,one,26
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,63,None,,27
neu,156.jpg,neutral_200.jpg,1,46,9999,red,TBF_neu,IMDF_scanner,no,46,9999,16,1,63,TBF,two,28
neu,668.jpg,neutral_194.jpg,1,9999,54,green,TBR_neu,IMDF_scanner,no,84,9999,84,3,63,TBR,two,29
neu,166.jpg,neutral_422.jpg,1,49,9999,green,TBR_neu,IMDF_scanner,no,49,9999,19,1,63,TBR,two,30
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,63,None,,31
neu,41.jpg,neutral_130.jpg,1,9999,31,red,TBF_neu,IMDF_scanner,no,61,9999,61,3,63,TBF,one,32
neu,51.jpg,neutral_538.jpg,1,9999,46,red,TBF_neu,IMDF_scanner,no,76,9999,76,3,63,TBF,two,33
neu,170.jpg,neutral_423.jpg,1,50,9999,green,TBR_neu,IMDF_scanner,no,50,9999,20,1,63,TBR,two,34
neg,32.jpg,Faces_172_h.jpg,1,76,9999,red,TBF_neg,IMDF_scanner,no,9999,46,46,2,63,TBF,two,35
neu,23.jpg,neutral_104.jpg,1,58,9999,green,TBR_neu,IMDF_scanner,no,58,9999,28,1,63,TBR,two,36
neu,506.jpg,neutral_532.jpg,1,9999,45,red,TBF_neu,IMDF_scanner,no,75,9999,75,3,63,TBF,one,37
neg,845.jpg,Animals_013_h.jpg,1,9999,71,red,TBF_neg,IMDF_scanner,no,9999,71,101,4,63,TBF,one,38
neg,895.jpg,Objects_003_h.jpg,1,9999,78,green,TBR_neg,IMDF_scanner,no,9999,78,108,4,63,TBR,two,39
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,63,None,,40
neg,391.jpg,blood_034.jpg,1,87,9999,red,TBF_neg,IMDF_scanner,no,9999,57,57,2,63,TBF,two,41
neg,281.jpg,People_239_h.jpg,1,69,9999,red,TBF_neg,IMDF_scanner,no,9999,39,39,2,63,TBF,one,42
neg,313.jpg,People_226_h.jpg,1,73,9999,red,TBF_neg,IMDF_scanner,no,9999,43,43,2,63,TBF,one,43
neu,181.jpg,neutral_060.jpg,1,52,9999,green,TBR_neu,IMDF_scanner,no,52,9999,22,1,63,TBR,two,44
neg,848.jpg,Animals_060_h.jpg,1,9999,72,red,TBF_neg,IMDF_scanner,no,9999,72,102,4,63,TBF,one,45
neg,409.jpg,9630.jpg,1,90,9999,red,TBF_neg,IMDF_scanner,no,9999,60,60,2,63,TBF,two,46
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,63,None,,47
neu,553.jpg,neutral_145.jpg,1,9999,51,green,TBR_neu,IMDF_scanner,no,81,9999,81,3,63,TBR,two,48
neu,20.jpg,neutral_223.jpg,1,55,9999,green,TBR_neu,IMDF_scanner,no,55,9999,25,1,63,TBR,two,49
neu,140.jpg,neutral_121.jpg,1,42,9999,red,TBF_neu,IMDF_scanner,no,42,9999,12,1,63,TBF,one,50
neg,870.jpg,Faces_041_h.jpg,1,9999,75,red,TBF_neg,IMDF_scanner,no,9999,75,105,4,63,TBF,one,51
neu,138.jpg,neutral_119.jpg,1,41,9999,green,TBR_neu,IMDF_scanner,no,41,9999,11,1,63,TBR,one,52
neg,896.jpg,People_003_h.jpg,1,9999,79,red,TBF_neg,IMDF_scanner,no,9999,79,109,4,63,TBF,two,53
neg,75.jpg,Animals_065_h.jpg,1,9999,62,green,TBR_neg,IMDF_scanner,no,9999,62,92,4,63,TBR,one,54
neu,450.jpg,neutral_276.jpg,1,9999,36,green,TBR_neu,IMDF_scanner,no,66,9999,66,3,63,TBR,one,55
neu,724.jpg,neutral_242.jpg,1,9999,59,green,TBR_neu,IMDF_scanner,no,89,9999,89,3,63,TBR,two,56
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,63,None,,57
neg,25.jpg,Animals_078_h.jpg,1,63,9999,green,TBR_neg,IMDF_scanner,no,9999,33,33,2,63,TBR,one,58
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,63,None,,59
neu,159.jpg,neutral_370.jpg,1,47,9999,green,TBR_neu,IMDF_scanner,no,47,9999,17,1,63,TBR,two,60
neg,90.jpg,6555.jpg,1,9999,82,red,TBF_neg,IMDF_scanner,no,9999,82,112,4,63,TBF,two,61
neg,802.jpg,Objects_126_h.jpg,1,9999,67,red,TBF_neg,IMDF_scanner,no,9999,67,97,4,63,TBF,one,62
neg,769.jpg,People_198_h.jpg,1,9999,64,red,TBF_neg,IMDF_scanner,no,9999,64,94,4,63,TBF,one,63
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,63,None,,64
neg,382.jpg,6312.jpg,1,86,9999,red,TBF_neg,IMDF_scanner,no,9999,56,56,2,63,TBF,two,65
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,63,None,,66
neu,731.jpg,neutral_244.jpg,1,9999,60,red,TBF_neu,IMDF_scanner,no,90,9999,90,3,63,TBF,two,67
neu,49.jpg,neutral_499.jpg,1,9999,43,red,TBF_neu,IMDF_scanner,no,73,9999,73,3,63,TBF,one,68
