Emotion,Object,Scene,Trial_ID,distractor_object_1,distractor_object_2
neg,954.jpg,People_143_h.jpg,filler,987.jpg,953.jpg
neg,953.jpg,1050.jpg,filler,981.jpg,954.jpg
neu,421.jpg,neutral_131.jpg,62,166.jpg,553.jpg
neg,321.jpg,Faces_302_h.jpg,47,316.jpg,769.jpg
neg,848.jpg,Animals_060_h.jpg,102,932.jpg,307.jpg
neg,373.jpg,6210.jpg,53,76.jpg,366.jpg
neu,41.jpg,neutral_130.jpg,61,184.jpg,731.jpg
neg,895.jpg,Objects_003_h.jpg,108,245.jpg,361.jpg
neg,82.jpg,People_217_h.jpg,99,809.jpg,268.jpg
neg,769.jpg,People_198_h.jpg,94,748.jpg,884.jpg
neu,200.jpg,neutral_198.jpg,26,10.jpg,446.jpg
neu,542.jpg,neutral_568.jpg,78,435.jpg,24.jpg
neg,896.jpg,People_003_h.jpg,109,845.jpg,312.jpg
neg,409.jpg,9630.jpg,60,312.jpg,90.jpg
neu,446.jpg,neutral_201.jpg,64,196.jpg,113.jpg
neu,170.jpg,neutral_423.jpg,20,48.jpg,544.jpg
neu,714.jpg,neutral_236.jpg,87,132.jpg,476.jpg
neg,317.jpg,Faces_034_h.jpg,45,897.jpg,870.jpg
neu,116.jpg,neutral_073.jpg,5,560.jpg,121.jpg
neg,406.jpg,H044.bmp,59,376.jpg,87.jpg
neu,952.jpg,neutral_673.jpg,filler,957.jpg,975.jpg
neu,55.jpg,neutral_620.jpg,80,118.jpg,421.jpg
neg,845.jpg,Animals_013_h.jpg,101,769.jpg,372.jpg
neu,152.jpg,neutral_171.jpg,15,446.jpg,102.jpg
neu,10.jpg,neutral_001.jpg,1,542.jpg,6.jpg
neu,45.jpg,neutral_270.jpg,65,544.jpg,140.jpg
neg,836.jpg,People_233_h.jpg,100,321.jpg,280.jpg
neu,674.jpg,neutral_196.jpg,85,23.jpg,116.jpg
neg,267.jpg,Objects_011_h.jpg,35,917.jpg,779.jpg
neg,268.jpg,Objects_088_h.jpg,36,38.jpg,305.jpg
neg,307.jpg,Animals_001_h.jpg,41,79.jpg,748.jpg
neu,132.jpg,neutral_585.jpg,10,6.jpg,450.jpg
neg,280.jpg,Objects_206_h.jpg,38,916.jpg,896.jpg
neg,257.jpg,Objects_007_h.jpg,34,895.jpg,25.jpg
