Emotion,Object,Scene,Set_ID,TBF_ID,TBR_ID,color,condition,exp_ID,filler,neg_ID,neu_ID,null_ID,order,pp_ID,remember_condition,repetition,trial_count
neg,954.jpg,People_143_h.jpg,,94,9999,red,TBRnegFILLER,IMDF_scanner,yes,9999,92,124,5,59,TBF,9999,1
neu,950.jpg,neutral_261.jpg,,91,9999,green,TBRneuFILLER,IMDF_scanner,yes,91,9999,121,5,59,TBR,9999,2
neg,382.jpg,6312.jpg,1,86,9999,red,TBF_neg,IMDF_scanner,no,9999,56,56,2,59,TBF,two,3
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,59,None,,4
neu,184.jpg,neutral_063.jpg,1,53,9999,red,TBF_neu,IMDF_scanner,no,53,9999,23,1,59,TBF,two,5
neg,76.jpg,Landscapes_007_h.jpg,1,9999,63,green,TBR_neg,IMDF_scanner,no,9999,63,93,4,59,TBR,one,6
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,59,None,,7
neu,118.jpg,neutral_096.jpg,1,36,9999,red,TBF_neu,IMDF_scanner,no,36,9999,6,1,59,TBF,one,8
neg,942.jpg,H123.bmp,1,9999,89,red,TBF_neg,IMDF_scanner,no,9999,89,119,4,59,TBF,two,9
neg,75.jpg,Animals_065_h.jpg,1,9999,62,red,TBF_neg,IMDF_scanner,no,9999,62,92,4,59,TBF,one,10
neu,123.jpg,neutral_461.jpg,1,38,9999,green,TBR_neu,IMDF_scanner,no,38,9999,8,1,59,TBR,one,11
neu,55.jpg,neutral_620.jpg,1,9999,50,red,TBF_neu,IMDF_scanner,no,80,9999,80,3,59,TBF,two,12
neg,877.jpg,Faces_283_h.jpg,1,9999,76,green,TBR_neg,IMDF_scanner,no,9999,76,106,4,59,TBR,two,13
neu,41.jpg,neutral_130.jpg,1,9999,31,red,TBF_neu,IMDF_scanner,no,61,9999,61,3,59,TBF,one,14
neu,10.jpg,neutral_001.jpg,1,31,9999,green,TBR_neu,IMDF_scanner,no,31,9999,1,1,59,TBR,one,15
neu,145.jpg,neutral_125.jpg,1,43,9999,red,TBF_neu,IMDF_scanner,no,43,9999,13,1,59,TBF,one,16
