Emotion,Exp_ID,Object,Scene,Set_ID,TBF_ID,TBR_ID,color,condition,exp_ID,filler,filler_type,neg_ID,neu_ID,null_ID,order,pp_ID,remember_condition,repetition,trial_count
neg,IMDF_scanner,953.jpg,1050.jpg,,93,9999,green,FILLER,IMDF_scanner,yes,first,9999,91,123,5,70,TBR,9999,1
neu,IMDF_scanner,950.jpg,neutral_261.jpg,,91,9999,green,FILLER,IMDF_scanner,yes,first,91,9999,121,5,70,TBR,9999,2
neu,IMDF_scanner,50.jpg,neutral_531.jpg,1,9999,44,red,TBF_neu,IMDF_scanner,no,,74,9999,74,3,70,TBF,one,3
neg,IMDF_scanner,312.jpg,Animals_025_h.jpg,1,72,9999,red,TBF_neg,IMDF_scanner,no,,9999,42,42,2,70,TBF,one,4
None,IMDF_scanner,,,1,,,None,NULL,IMDF_scanner,,,,,9999,,70,None,,5
neg,IMDF_scanner,267.jpg,Objects_011_h.jpg,1,65,9999,red,TBF_neg,IMDF_scanner,no,,9999,35,35,2,70,TBF,one,6
None,IMDF_scanner,,,1,,,None,NULL,IMDF_scanner,,,,,9999,,70,None,,7
neg,IMDF_scanner,38.jpg,6300.jpg,1,85,9999,green,TBR_neg,IMDF_scanner,no,,9999,55,55,2,70,TBR,two,8
neu,IMDF_scanner,23.jpg,neutral_104.jpg,1,58,9999,green,TBR_neu,IMDF_scanner,no,,58,9999,28,1,70,TBR,two,9
neu,IMDF_scanner,132.jpg,neutral_585.jpg,1,40,9999,green,TBR_neu,IMDF_scanner,no,,40,9999,10,1,70,TBR,one,10
None,IMDF_scanner,,,1,,,None,NULL,IMDF_scanner,,,,,9999,,70,None,,11
neu,IMDF_scanner,145.jpg,neutral_125.jpg,1,43,9999,red,TBF_neu,IMDF_scanner,no,,43,9999,13,1,70,TBF,one,12
neg,IMDF_scanner,895.jpg,Objects_003_h.jpg,1,9999,78,green,TBR_neg,IMDF_scanner,no,,9999,78,108,4,70,TBR,two,13
neg,IMDF_scanner,376.jpg,6211.jpg,1,84,9999,green,TBR_neg,IMDF_scanner,no,,9999,54,54,2,70,TBR,two,14
None,IMDF_scanner,,,1,,,None,NULL,IMDF_scanner,,,,,9999,,70,None,,15
neu,IMDF_scanner,140.jpg,neutral_121.jpg,1,42,9999,green,TBR_neu,IMDF_scanner,no,,42,9999,12,1,70,TBR,one,16
neu,IMDF_scanner,421.jpg,neutral_131.jpg,1,9999,32,red,TBF_neu,IMDF_scanner,no,,62,9999,62,3,70,TBF,one,17
neu,IMDF_scanner,161.jpg,neutral_416.jpg,1,48,9999,green,TBR_neu,IMDF_scanner,no,,48,9999,18,1,70,TBR,two,18
neg,IMDF_scanner,916.jpg,9423.jpg,1,9999,84,red,TBF_neg,IMDF_scanner,no,,9999,84,114,4,70,TBF,two,19
neg,IMDF_scanner,409.jpg,9630.jpg,1,90,9999,green,TBR_neg,IMDF_scanner,no,,9999,60,60,2,70,TBR,two,20
neg,IMDF_scanner,76.jpg,Landscapes_007_h.jpg,1,9999,63,red,TBF_neg,IMDF_scanner,no,,9999,63,93,4,70,TBF,one,21
neu,IMDF_scanner,121.jpg,neutral_394.jpg,1,37,9999,red,TBF_neu,IMDF_scanner,no,,37,9999,7,1,70,TBF,one,22
None,IMDF_scanner,,,1,,,None,NULL,IMDF_scanner,,,,,9999,,70,None,,23
neu,IMDF_scanner,47.jpg,neutral_671.jpg,1,9999,40,green,TBR_neu,IMDF_scanner,no,,70,9999,70,3,70,TBR,one,24
neg,IMDF_scanner,926.jpg,Animals_073_h.jpg,1,9999,87,red,TBF_neg,IMDF_scanner,no,,9999,87,117,4,70,TBF,two,25
neu,IMDF_scanner,234.jpg,neutral_382.jpg,1,59,9999,green,TBR_neu,IMDF_scanner,no,,59,9999,29,1,70,TBR,two,26
neu,IMDF_scanner,106.jpg,neutral_057.jpg,1,33,9999,green,TBR_neu,IMDF_scanner,no,,33,9999,3,1,70,TBR,one,27
neu,IMDF_scanner,152.jpg,neutral_171.jpg,1,45,9999,red,TBF_neu,IMDF_scanner,no,,45,9999,15,1,70,TBF,one,28
None,IMDF_scanner,,,1,,,None,NULL,IMDF_scanner,,,,,9999,,70,None,,29
neg,IMDF_scanner,313.jpg,People_226_h.jpg,1,73,9999,green,TBR_neg,IMDF_scanner,no,,9999,43,43,2,70,TBR,one,30
neg,IMDF_scanner,897.jpg,People_147_h.jpg,1,9999,80,green,TBR_neg,IMDF_scanner,no,,9999,80,110,4,70,TBR,two,31
neg,IMDF_scanner,268.jpg,Objects_088_h.jpg,1,66,9999,green,TBR_neg,IMDF_scanner,no,,9999,36,36,2,70,TBR,one,32
neu,IMDF_scanner,10.jpg,neutral_001.jpg,1,31,9999,red,TBF_neu,IMDF_scanner,no,,31,9999,1,1,70,TBF,one,33
None,IMDF_scanner,,,1,,,None,NULL,IMDF_scanner,,,,,9999,,70,None,,34
neu,IMDF_scanner,55.jpg,neutral_620.jpg,1,9999,50,red,TBF_neu,IMDF_scanner,no,,80,9999,80,3,70,TBF,two,35
neg,IMDF_scanner,317.jpg,Faces_034_h.jpg,1,75,9999,red,TBF_neg,IMDF_scanner,no,,9999,45,45,2,70,TBF,one,36
neg,IMDF_scanner,332.jpg,Landscapes_025_h.jpg,1,78,9999,red,TBF_neg,IMDF_scanner,no,,9999,48,48,2,70,TBF,two,37
None,IMDF_scanner,,,1,,,None,NULL,IMDF_scanner,,,,,9999,,70,None,,38
neu,IMDF_scanner,435.jpg,neutral_188.jpg,1,9999,33,green,TBR_neu,IMDF_scanner,no,,63,9999,63,3,70,TBR,one,39
neu,IMDF_scanner,184.jpg,neutral_063.jpg,1,53,9999,red,TBF_neu,IMDF_scanner,no,,53,9999,23,1,70,TBF,two,40
None,IMDF_scanner,,,1,,,None,NULL,IMDF_scanner,,,,,9999,,70,None,,41
neu,IMDF_scanner,196.jpg,neutral_067.jpg,1,54,9999,red,TBF_neu,IMDF_scanner,no,,54,9999,24,1,70,TBF,two,42
neg,IMDF_scanner,245.jpg,Animals_033_h.jpg,1,61,9999,green,TBR_neg,IMDF_scanner,no,,9999,31,31,2,70,TBR,one,43
neu,IMDF_scanner,170.jpg,neutral_423.jpg,1,50,9999,green,TBR_neu,IMDF_scanner,no,,50,9999,20,1,70,TBR,two,44
neu,IMDF_scanner,49.jpg,neutral_499.jpg,1,9999,43,red,TBF_neu,IMDF_scanner,no,,73,9999,73,3,70,TBF,one,45
neg,IMDF_scanner,79.jpg,Objects_109_h.jpg,1,9999,66,red,TBF_neg,IMDF_scanner,no,,9999,66,96,4,70,TBF,one,46
None,IMDF_scanner,,,1,,,None,NULL,IMDF_scanner,,,,,9999,,70,None,,47
neu,IMDF_scanner,6.jpg,neutral_193.jpg,1,9999,53,red,TBF_neu,IMDF_scanner,no,,83,9999,83,3,70,TBF,two,48
None,IMDF_scanner,,,1,,,None,NULL,IMDF_scanner,,,,,9999,,70,None,,49
neg,IMDF_scanner,90.jpg,6555.jpg,1,9999,82,red,TBF_neg,IMDF_scanner,no,,9999,82,112,4,70,TBF,two,50
neu,IMDF_scanner,724.jpg,neutral_242.jpg,1,9999,59,green,TBR_neu,IMDF_scanner,no,,89,9999,89,3,70,TBR,two,51
None,IMDF_scanner,,,1,,,None,NULL,IMDF_scanner,,,,,9999,,70,None,,52
neu,IMDF_scanner,166.jpg,neutral_422.jpg,1,49,9999,red,TBF_neu,IMDF_scanner,no,,49,9999,19,1,70,TBF,two,53
neu,IMDF_scanner,461.jpg,neutral_638.jpg,1,9999,39,red,TBF_neu,IMDF_scanner,no,,69,9999,69,3,70,TBF,one,54
neu,IMDF_scanner,156.jpg,neutral_200.jpg,1,46,9999,red,TBF_neu,IMDF_scanner,no,,46,9999,16,1,70,TBF,two,55
neg,IMDF_scanner,947.jpg,Objects_001_h.jpg,1,9999,90,green,TBR_neg,IMDF_scanner,no,,9999,90,120,4,70,TBR,two,56
neg,IMDF_scanner,373.jpg,6210.jpg,1,83,9999,green,TBR_neg,IMDF_scanner,no,,9999,53,53,2,70,TBR,two,57
neu,IMDF_scanner,542.jpg,neutral_568.jpg,1,9999,48,green,TBR_neu,IMDF_scanner,no,,78,9999,78,3,70,TBR,two,58
neg,IMDF_scanner,896.jpg,People_003_h.jpg,1,9999,79,red,TBF_neg,IMDF_scanner,no,,9999,79,109,4,70,TBF,two,59
neg,IMDF_scanner,280.jpg,Objects_206_h.jpg,1,68,9999,green,TBR_neg,IMDF_scanner,no,,9999,38,38,2,70,TBR,one,60
neu,IMDF_scanner,453.jpg,neutral_588.jpg,1,9999,37,red,TBF_neu,IMDF_scanner,no,,67,9999,67,3,70,TBF,one,61
neg,IMDF_scanner,316.jpg,Faces_019_h.jpg,1,74,9999,green,TBR_neg,IMDF_scanner,no,,9999,44,44,2,70,TBR,one,62
None,IMDF_scanner,,,1,,,None,NULL,IMDF_scanner,,,,,9999,,70,None,,63
neg,IMDF_scanner,779.jpg,Objects_022_h.jpg,1,9999,65,green,TBR_neg,IMDF_scanner,no,,9999,65,95,4,70,TBR,one,64
