Emotion,NT_ID,Object,Scene,Set_ID,T_ID,color,condition,exp_ID,filler,neg_ID,neu_ID,null_ID,pair_ID,pp_ID,repetition,think_condition,trial_count
neg,9999,brick.jpg,Objects_106_vdisgust.jpg,,75,red,NTnegFILLER,TNT_scanner,yes,75,999,100,filler,8,one,NT,1
neu,74,pingpongracket.jpg,neutral_053.jpg,,9999,green,TneuFILLER,TNT_scanner,yes,9999,74,97,filler,8,one,T,2
neu,9999,stackingrings01a.jpg,neutral_246.jpg,1,29,red,NT_neu,TNT_scanner,no,53,9999,52,28,8,one,NT,3
neu,9999,cup01.jpg,neutral_195.jpg,1,35,red,NT_neu,TNT_scanner,no,59,9999,58,34,8,one,NT,4
None,,,,1,,None,NULL,TNT_scanner,,,,9999,,8,one,None,5
neu,9999,bow04.jpg,neutral_128.jpg,1,27,green,T_neu,TNT_scanner,no,51,9999,50,26,8,one,T,6
neg,9999,plasticflower01a.jpg,6550_people_fear.jpg,1,58,green,T_neg,TNT_scanner,no,9999,58,81,45,8,one,T,7
neg,59,measuringtape01.jpg,Faces_363_vsad.jpg,1,9999,red,NT_neg,TNT_scanner,no,9999,35,34,22,8,one,NT,8
neu,29,toothbrush03b.jpg,neutral_390.jpg,1,9999,green,T_neu,TNT_scanner,no,29,9999,4,4,8,one,T,9
neg,9999,glassmop.jpg,9440_object_disgustandfear.jpg,1,53,red,NT_neg,TNT_scanner,no,9999,53,76,40,8,one,NT,10
None,,,,1,,None,NULL,TNT_scanner,,,,9999,,8,one,None,11
neu,33,fan.jpg,neutral_706.jpg,1,9999,red,NT_neu,TNT_scanner,no,33,9999,8,8,8,one,NT,12
None,,,,1,,None,NULL,TNT_scanner,,,,9999,,8,one,None,13
neg,9999,book01b.jpg,9412_people_sad.jpg,1,52,green,T_neg,TNT_scanner,no,9999,52,75,39,8,one,T,14
neg,9999,mirror.jpg,2981_animal_disgust.jpg,1,55,red,NT_neg,TNT_scanner,no,9999,55,78,42,8,one,NT,15
neg,57,pictureframe04.jpg,9433_people-disgust.jpg,1,9999,green,T_neg,TNT_scanner,no,9999,33,32,20,8,one,T,16
neu,9999,lifejacket.jpg,neutral_247.jpg,1,36,green,T_neu,TNT_scanner,no,60,9999,59,35,8,one,T,17
neu,37,bottlecap.jpg,neutral_134.jpg,2,9999,red,NT_neu,TNT_scanner,no,37,9999,12,12,8,one,NT,18
neg,9999,pillow02b.jpg,2700._people_crying_sad.jpg,2,57,green,T_neg,TNT_scanner,no,9999,57,80,44,8,one,T,19
None,,,,2,,None,NULL,TNT_scanner,,,,9999,,8,one,None,20
neg,60,towel02a.jpg,Objects_006_hdisgust.jpg,2,9999,red,NT_neg,TNT_scanner,no,9999,36,35,23,8,one,NT,21
neu,27,tuque03b.jpg,neutral_098.jpg,2,9999,red,NT_neu,TNT_scanner,no,27,9999,2,2,8,one,NT,22
neu,35,chessboard.jpg,neutral_227.jpg,2,9999,green,T_neu,TNT_scanner,no,35,9999,10,10,8,one,T,23
neg,51,binoculars01b.jpg,Animals_221_hdisgustfear.jpg,2,9999,red,NT_neg,TNT_scanner,no,9999,27,26,14,8,one,NT,24
None,,,,2,,None,NULL,TNT_scanner,,,,9999,,8,one,None,25
neg,9999,ruler05.jpg,1201_animal_fearanddisgust.jpg,2,50,red,NT_neg,TNT_scanner,no,9999,50,73,37,8,one,NT,26
neg,54,box01.jpg,2900.1_people_crying.jpg,2,9999,green,T_neg,TNT_scanner,no,9999,30,29,17,8,one,T,27
neg,53,calculator01.jpg,6520_people_fear.jpg,2,9999,green,T_neg,TNT_scanner,no,9999,29,28,16,8,one,T,28
neu,9999,pencilsharpener02a.jpg,neutral_022.jpg,2,34,green,T_neu,TNT_scanner,no,58,9999,57,33,8,one,T,29
None,,,,2,,None,NULL,TNT_scanner,,,,9999,,8,one,None,30
neu,34,lock03a.jpg,neutral_659.jpg,2,9999,green,T_neu,TNT_scanner,no,34,9999,9,9,8,one,T,31
neu,30,radio02.jpg,neutral_331.jpg,2,9999,red,NT_neu,TNT_scanner,no,30,9999,5,5,8,one,NT,32
None,,,,3,,None,NULL,TNT_scanner,,,,9999,,8,one,None,33
neg,9999,boot02b.jpg,Objects_328_hdisgust.jpg,3,51,green,T_neg,TNT_scanner,no,9999,51,74,38,8,one,T,34
neu,9999,battery02b.jpg,neutral_509.jpg,3,31,red,NT_neu,TNT_scanner,no,55,9999,54,30,8,one,NT,35
neu,9999,watch02a.jpg,neutral_380.jpg,3,32,red,NT_neu,TNT_scanner,no,56,9999,55,31,8,one,NT,36
neu,26,hat03b.jpg,neutral_017.jpg,3,9999,red,NT_neu,TNT_scanner,no,26,9999,1,1,8,one,NT,37
None,,,,3,,None,NULL,TNT_scanner,,,,9999,,8,one,None,38
