Emotion,Exp_ID,Object,Scene,Trial_ID,distractor_1,distractor_2,filler_type
neg,IMDF_memory_postscan,954.jpg,People_143_h.jpg,filler,987.jpg,981.jpg,first
neu,IMDF_memory_postscan,950.jpg,neutral_261.jpg,filler,975.jpg,957.jpg,first
neu,IMDF_memory_postscan,724.jpg,neutral_242.jpg,89,166.jpg,544.jpg,
neu,IMDF_memory_postscan,138.jpg,neutral_119.jpg,11,181.jpg,23.jpg,
neg,IMDF_memory_postscan,268.jpg,Objects_088_h.jpg,36,884.jpg,361.jpg,
neu,IMDF_memory_postscan,50.jpg,neutral_531.jpg,74,72.jpg,156.jpg,
neg,IMDF_memory_postscan,366.jpg,1930.jpg,51,406.jpg,372.jpg,
neu,IMDF_memory_postscan,975.jpg,neutral_707.jpg,filler,952.jpg,950.jpg,middle
neu,IMDF_memory_postscan,544.jpg,neutral_014.jpg,79,49.jpg,460.jpg,
neu,IMDF_memory_postscan,123.jpg,neutral_461.jpg,8,476.jpg,166.jpg,
neg,IMDF_memory_postscan,372.jpg,2692.jpg,52,845.jpg,316.jpg,
neg,IMDF_memory_postscan,932.jpg,Faces_272_h.jpg,118,926.jpg,75.jpg,
neu,IMDF_memory_postscan,506.jpg,neutral_532.jpg,75,130.jpg,6.jpg,
neg,IMDF_memory_postscan,317.jpg,Faces_034_h.jpg,45,947.jpg,25.jpg,
neg,IMDF_memory_postscan,353.jpg,Objects_145_h.jpg,49,382.jpg,321.jpg,
neu,IMDF_memory_postscan,173.jpg,neutral_290.jpg,21,435.jpg,138.jpg,
neg,IMDF_memory_postscan,280.jpg,Objects_206_h.jpg,38,90.jpg,82.jpg,
neg,IMDF_memory_postscan,321.jpg,Faces_302_h.jpg,47,281.jpg,313.jpg,
neu,IMDF_memory_postscan,560.jpg,neutral_148.jpg,82,51.jpg,506.jpg,
neu,IMDF_memory_postscan,476.jpg,neutral_456.jpg,71,102.jpg,675.jpg,
neg,IMDF_memory_postscan,267.jpg,Objects_011_h.jpg,35,900.jpg,877.jpg,
neg,IMDF_memory_postscan,895.jpg,Objects_003_h.jpg,108,836.jpg,406.jpg,
neg,IMDF_memory_postscan,884.jpg,Landscapes_002_h.jpg,107,317.jpg,920.jpg,
neu,IMDF_memory_postscan,106.jpg,neutral_057.jpg,3,731.jpg,435.jpg,
neu,IMDF_memory_postscan,113.jpg,neutral_069.jpg,4,45.jpg,10.jpg,
neg,IMDF_memory_postscan,917.jpg,9424.jpg,115,332.jpg,373.jpg,
neu,IMDF_memory_postscan,421.jpg,neutral_131.jpg,62,461.jpg,102.jpg,
neu,IMDF_memory_postscan,196.jpg,neutral_067.jpg,24,668.jpg,731.jpg,
neu,IMDF_memory_postscan,152.jpg,neutral_171.jpg,15,123.jpg,151.jpg,
neg,IMDF_memory_postscan,376.jpg,6211.jpg,54,79.jpg,307.jpg,
neg,IMDF_memory_postscan,82.jpg,People_217_h.jpg,99,321.jpg,317.jpg,
neg,IMDF_memory_postscan,276.jpg,Objects_125_h.jpg,37,25.jpg,76.jpg,
neu,IMDF_memory_postscan,200.jpg,neutral_198.jpg,26,161.jpg,461.jpg,
neu,IMDF_memory_postscan,538.jpg,neutral_560.jpg,77,674.jpg,45.jpg,
neg,IMDF_memory_postscan,312.jpg,Animals_025_h.jpg,42,748.jpg,409.jpg,
