Emotion,NT_ID,Object,Scene,Set_ID,T_ID,color,condition,exp_ID,filler,neg_ID,neu_ID,null_ID,pair_ID,pp_ID,repetition,think_condition,trial_count
neg,52,key01.jpg,1033_animal_fearanddisgust.jpg,4,9999,green,T_neg,TNT_scanner,no,9999,28,27,15,35,one,T,51
neg,61,wallet04.jpg,People_140_hsad.jpg,4,9999,red,NT_neg,TNT_scanner,no,9999,37,36,24,35,one,NT,52
neu,30,radio02.jpg,neutral_331.jpg,4,9999,green,T_neu,TNT_scanner,no,30,9999,5,5,35,one,T,53
None,,,,4,,None,NULL,TNT_scanner,,,,9999,,35,one,None,54
neu,9999,bow04.jpg,neutral_128.jpg,4,27,red,NT_neu,TNT_scanner,no,51,9999,50,26,35,one,NT,55
neg,9999,spoon01.jpg,Animals_008_v_disgust.jpg,4,60,red,NT_neg,TNT_scanner,no,9999,60,83,47,35,one,NT,56
neg,56,makeupbrush04.jpg,People_127_fearh.jpg,4,9999,green,T_neg,TNT_scanner,no,9999,32,31,19,35,one,T,57
None,,,,4,,None,NULL,TNT_scanner,,,,9999,,35,one,None,58
neu,27,tuque03b.jpg,neutral_098.jpg,4,9999,red,NT_neu,TNT_scanner,no,27,9999,2,2,35,one,NT,59
None,,,,4,,None,NULL,TNT_scanner,,,,9999,,35,one,None,60
neu,37,bottlecap.jpg,neutral_134.jpg,4,9999,green,T_neu,TNT_scanner,no,37,9999,12,12,35,one,T,61
neu,31,negativefilm.jpg,neutral_192.jpg,4,9999,green,T_neu,TNT_scanner,no,31,9999,6,6,35,one,T,62
neu,9999,fryingpan02a.jpg,neutral_066.jpg,,74,red,NTneuFILLER,TNT_scanner,yes,9999,75,99,filler,35,one,NT,63
neg,75,microscope.jpg,Objects_283_hsad.jpg,,9999,green,TnegFILLER,TNT_scanner,yes,74,999,98,filler,35,one,T,64
neu,74,pingpongracket.jpg,neutral_053.jpg,,9999,red,TneuFILLER,TNT_scanner,yes,9999,74,97,filler,35,two,NT,65
neg,75,microscope.jpg,Objects_283_hsad.jpg,,9999,green,TnegFILLER,TNT_scanner,yes,74,999,98,filler,35,two,T,66
neg,59,measuringtape01.jpg,Faces_363_vsad.jpg,1,9999,green,T_neg,TNT_scanner,no,9999,35,34,22,35,two,T,67
neu,9999,hinge.jpg,neutral_582.jpg,1,30,red,NT_neu,TNT_scanner,no,54,9999,53,29,35,two,NT,68
neg,53,calculator01.jpg,6520_people_fear.jpg,1,9999,red,NT_neg,TNT_scanner,no,9999,29,28,16,35,two,NT,69
neu,9999,watch02a.jpg,neutral_380.jpg,1,32,green,T_neu,TNT_scanner,no,56,9999,55,31,35,two,T,70
None,,,,1,,None,NULL,TNT_scanner,,,,9999,,35,two,None,71
neg,51,binoculars01b.jpg,Animals_221_hdisgustfear.jpg,1,9999,red,NT_neg,TNT_scanner,no,9999,27,26,14,35,two,NT,72
neu,9999,bow04.jpg,neutral_128.jpg,1,27,red,NT_neu,TNT_scanner,no,51,9999,50,26,35,two,NT,73
None,,,,1,,None,NULL,TNT_scanner,,,,9999,,35,two,None,74
neg,61,wallet04.jpg,People_140_hsad.jpg,1,9999,green,T_neg,TNT_scanner,no,9999,37,36,24,35,two,T,75
