Emotion,Exp_ID,NT_ID,Object,Scene,Set_ID,T_ID,color,condition,exp_ID,filler,filler_type,main_run,neg_ID,neu_ID,null_ID,pair_ID,pp_ID,repetition,think_condition,trial_count
neg,TNT_scanner,9999,dice05a.jpg,9050_people_accideNT.jpg,3,56,green,T_neg,TNT_scanner,no,,first,9999,56,79,43,47,one,T,44
None,TNT_scanner,,,,3,,None,NULL,TNT_scanner,,,first,,,9999,,47,one,None,45
neg,TNT_scanner,60,towel02a.jpg,Objects_006_hdisgust.jpg,3,9999,green,T_neg,TNT_scanner,no,,first,9999,36,35,23,47,one,T,46
neu,TNT_scanner,36,chair.jpg,neutral_144.jpg,3,9999,green,T_neu,TNT_scanner,no,,first,36,9999,11,11,47,one,T,47
neg,TNT_scanner,9999,mirror.jpg,2981_animal_disgust.jpg,4,55,red,NT_neg,TNT_scanner,no,,first,9999,55,78,42,47,one,NT,48
neu,TNT_scanner,9999,birdie.jpg,neutral_614.jpg,4,37,green,T_neu,TNT_scanner,no,,first,61,9999,60,36,47,one,T,49
neu,TNT_scanner,9999,lifejacket.jpg,neutral_247.jpg,4,36,red,NT_neu,TNT_scanner,no,,first,60,9999,59,35,47,one,NT,50
neu,TNT_scanner,9999,binder03b.jpg,neutral_512.jpg,4,33,red,NT_neu,TNT_scanner,no,,first,57,9999,56,32,47,one,NT,51
neg,TNT_scanner,9999,boot02b.jpg,Objects_328_hdisgust.jpg,4,51,red,NT_neg,TNT_scanner,no,,first,9999,51,74,38,47,one,NT,52
None,TNT_scanner,,,,4,,None,NULL,TNT_scanner,,,first,,,9999,,47,one,None,53
neg,TNT_scanner,61,wallet04.jpg,People_140_hsad.jpg,4,9999,green,T_neg,TNT_scanner,no,,first,9999,37,36,24,47,one,T,54
neu,TNT_scanner,29,toothbrush03b.jpg,neutral_390.jpg,4,9999,red,NT_neu,TNT_scanner,no,,first,29,9999,4,4,47,one,NT,55
neu,TNT_scanner,28,belt02a.jpg,neutral_293.jpg,4,9999,green,T_neu,TNT_scanner,no,,first,28,9999,3,3,47,one,T,56
neg,TNT_scanner,55,safetypin.jpg,8480_people_fear.jpg,4,9999,green,T_neg,TNT_scanner,no,,first,9999,31,30,18,47,one,T,57
None,TNT_scanner,,,,4,,None,NULL,TNT_scanner,,,first,,,9999,,47,one,None,58
