Emotion,Exp_ID,Object,Scene,Trial_ID,distractor_1,distractor_2,filler_type
neu,IMDF_memory_postscan,156.jpg,neutral_200.jpg,16,72.jpg,159.jpg,
neu,IMDF_memory_postscan,476.jpg,neutral_456.jpg,71,731.jpg,181.jpg,
neg,IMDF_memory_postscan,4.jpg,Faces_274_h.jpg,58,246.jpg,809.jpg,
neu,IMDF_memory_postscan,6.jpg,neutral_193.jpg,83,553.jpg,72.jpg,
neu,IMDF_memory_postscan,542.jpg,neutral_568.jpg,78,102.jpg,48.jpg,
neg,IMDF_memory_postscan,332.jpg,Landscapes_025_h.jpg,48,779.jpg,391.jpg,
neg,IMDF_memory_postscan,981.jpg,People_133_h.jpg,filler,987.jpg,954.jpg,middle
neu,IMDF_memory_postscan,234.jpg,neutral_382.jpg,29,544.jpg,553.jpg,
neg,IMDF_memory_postscan,32.jpg,Faces_172_h.jpg,46,917.jpg,305.jpg,
neu,IMDF_memory_postscan,668.jpg,neutral_194.jpg,84,55.jpg,123.jpg,
neu,IMDF_memory_postscan,10.jpg,neutral_001.jpg,1,724.jpg,202.jpg,
neu,IMDF_memory_postscan,132.jpg,neutral_585.jpg,10,47.jpg,196.jpg,
neg,IMDF_memory_postscan,75.jpg,Animals_065_h.jpg,92,321.jpg,246.jpg,
neg,IMDF_memory_postscan,353.jpg,Objects_145_h.jpg,49,802.jpg,932.jpg,
neg,IMDF_memory_postscan,321.jpg,Faces_302_h.jpg,47,317.jpg,895.jpg,
neu,IMDF_memory_postscan,45.jpg,neutral_270.jpg,65,173.jpg,450.jpg,
neu,IMDF_memory_postscan,544.jpg,neutral_614.jpg,79,140.jpg,460.jpg,
neg,IMDF_memory_postscan,802.jpg,Objects_126_h.jpg,97,281.jpg,947.jpg,
neu,IMDF_memory_postscan,173.jpg,neutral_290.jpg,21,668.jpg,714.jpg,
neg,IMDF_memory_postscan,920.jpg,9425.jpg,116,267.jpg,361.jpg,
neg,IMDF_memory_postscan,267.jpg,Objects_011_h.jpg,35,870.jpg,90.jpg,
neg,IMDF_memory_postscan,900.jpg,6830.jpg,113,884.jpg,245.jpg,
neu,IMDF_memory_postscan,200.jpg,neutral_198.jpg,26,159.jpg,731.jpg,
neg,IMDF_memory_postscan,809.jpg,People_058_h.jpg,98,895.jpg,376.jpg,
neu,IMDF_memory_postscan,51.jpg,neutral_538.jpg,76,156.jpg,668.jpg,
neg,IMDF_memory_postscan,245.jpg,Animals_033_h.jpg,31,845.jpg,373.jpg,
neu,IMDF_memory_postscan,106.jpg,neutral_057.jpg,3,50.jpg,200.jpg,
neu,IMDF_memory_postscan,421.jpg,neutral_131.jpg,62,123.jpg,724.jpg,
neu,IMDF_memory_postscan,159.jpg,neutral_370.jpg,17,116.jpg,674.jpg,
neg,IMDF_memory_postscan,79.jpg,Objects_109_h.jpg,96,366.jpg,877.jpg,
neu,IMDF_memory_postscan,47.jpg,neutral_671.jpg,70,674.jpg,130.jpg,
neu,IMDF_memory_postscan,118.jpg,neutral_096.jpg,6,460.jpg,421.jpg,
neu,IMDF_memory_postscan,152.jpg,neutral_171.jpg,15,121.jpg,41.jpg,
neg,IMDF_memory_postscan,361.jpg,People_210_h.jpg,50,268.jpg,366.jpg,
neu,IMDF_memory_postscan,113.jpg,neutral_069.jpg,4,196.jpg,23.jpg,
neg,IMDF_memory_postscan,748.jpg,Animals_018_h.jpg,91,280.jpg,897.jpg,
neg,IMDF_memory_postscan,942.jpg,H123.bmp,119,932.jpg,896.jpg,
neg,IMDF_memory_postscan,897.jpg,People_147_h.jpg,110,25.jpg,920.jpg,
neu,IMDF_memory_postscan,23.jpg,neutral_104.jpg,28,234.jpg,173.jpg,
neu,IMDF_memory_postscan,55.jpg,neutral_620.jpg,80,138.jpg,118.jpg,
