Emotion,Exp_ID,Object,Scene,Trial_ID,distractor_1,distractor_2,filler_type
neg,IMDF_memory_postscan,953.jpg,1050.jpg,filler,987.jpg,981.jpg,first
neu,IMDF_memory_postscan,952.jpg,neutral_673.jpg,filler,975.jpg,950.jpg,first
neu,IMDF_memory_postscan,957.jpg,neutral_695.jpg,filler,950.jpg,975.jpg,middle
neg,IMDF_memory_postscan,409.jpg,9630.jpg,60,268.jpg,769.jpg,
neg,IMDF_memory_postscan,779.jpg,Objects_022_h.jpg,95,246.jpg,900.jpg,
neu,IMDF_memory_postscan,156.jpg,neutral_200.jpg,16,113.jpg,446.jpg,
neg,IMDF_memory_postscan,391.jpg,blood_034.jpg,57,748.jpg,353.jpg,
neu,IMDF_memory_postscan,453.jpg,neutral_588.jpg,67,151.jpg,132.jpg,
neg,IMDF_memory_postscan,79.jpg,Objects_109_h.jpg,96,884.jpg,32.jpg,
neu,IMDF_memory_postscan,675.jpg,neutral_598.jpg,86,714.jpg,55.jpg,
neu,IMDF_memory_postscan,560.jpg,neutral_148.jpg,82,538.jpg,106.jpg,
neg,IMDF_memory_postscan,748.jpg,Animals_018_h.jpg,91,32.jpg,895.jpg,
neg,IMDF_memory_postscan,382.jpg,6312.jpg,56,372.jpg,942.jpg,
neg,IMDF_memory_postscan,245.jpg,Animals_033_h.jpg,31,845.jpg,90.jpg,
neu,IMDF_memory_postscan,202.jpg,neutral_667.jpg,27,435.jpg,461.jpg,
neu,IMDF_memory_postscan,170.jpg,neutral_423.jpg,20,196.jpg,51.jpg,
neu,IMDF_memory_postscan,118.jpg,neutral_096.jpg,6,132.jpg,20.jpg,
neg,IMDF_memory_postscan,920.jpg,9425.jpg,116,870.jpg,38.jpg,
neg,IMDF_memory_postscan,896.jpg,People_003_h.jpg,109,900.jpg,391.jpg,
neg,IMDF_memory_postscan,406.jpg,H044.bmp,59,877.jpg,372.jpg,
neu,IMDF_memory_postscan,200.jpg,neutral_198.jpg,26,121.jpg,544.jpg,
neu,IMDF_memory_postscan,446.jpg,neutral_201.jpg,64,506.jpg,151.jpg,
neg,IMDF_memory_postscan,769.jpg,People_198_h.jpg,94,373.jpg,376.jpg,
neu,IMDF_memory_postscan,234.jpg,neutral_382.jpg,29,544.jpg,560.jpg,
neu,IMDF_memory_postscan,542.jpg,neutral_568.jpg,78,170.jpg,24.jpg,
neu,IMDF_memory_postscan,10.jpg,neutral_001.jpg,1,47.jpg,460.jpg,
neg,IMDF_memory_postscan,312.jpg,Animals_025_h.jpg,42,376.jpg,317.jpg,
neu,IMDF_memory_postscan,544.jpg,neutral_614.jpg,79,202.jpg,714.jpg,
neg,IMDF_memory_postscan,307.jpg,Animals_001_h.jpg,41,917.jpg,870.jpg,
neg,IMDF_memory_postscan,321.jpg,Faces_302_h.jpg,47,926.jpg,280.jpg,
neg,IMDF_memory_postscan,848.jpg,Animals_060_h.jpg,102,366.jpg,316.jpg,
