Emotion,Object,Scene,Trial_ID,distractor_object_1,distractor_object_2
neg,953.jpg,1050.jpg,filler,987.jpg,981.jpg
neu,975.jpg,neutral_707.jpg,filler,950.jpg,952.jpg
neg,748.jpg,Animals_018_h.jpg,91,877.jpg,321.jpg
neu,200.jpg,neutral_198.jpg,26,102.jpg,156.jpg
neu,51.jpg,neutral_538.jpg,76,544.jpg,506.jpg
neu,166.jpg,neutral_422.jpg,19,461.jpg,151.jpg
neg,391.jpg,blood_034.jpg,57,4.jpg,870.jpg
neg,406.jpg,H044.bmp,59,9.jpg,87.jpg
neu,560.jpg,neutral_148.jpg,82,121.jpg,668.jpg
neu,674.jpg,neutral_196.jpg,85,118.jpg,675.jpg
neg,257.jpg,Objects_007_h.jpg,34,870.jpg,361.jpg
neu,421.jpg,neutral_131.jpg,62,446.jpg,184.jpg
neg,305.jpg,People_223_h.jpg,40,316.jpg,82.jpg
neg,280.jpg,Objects_206_h.jpg,38,79.jpg,9.jpg
neg,409.jpg,9630.jpg,60,317.jpg,748.jpg
neu,48.jpg,neutral_497.jpg,72,675.jpg,50.jpg
neu,118.jpg,neutral_096.jpg,6,560.jpg,121.jpg
neu,435.jpg,neutral_188.jpg,63,41.jpg,460.jpg
neg,353.jpg,Objects_145_h.jpg,49,245.jpg,926.jpg
neu,184.jpg,neutral_063.jpg,23,450.jpg,145.jpg
neu,130.jpg,neutral_504.jpg,9,170.jpg,49.jpg
neg,90.jpg,6555.jpg,112,372.jpg,4.jpg
neg,947.jpg,Objects_001_h.jpg,120,897.jpg,281.jpg
neg,942.jpg,H123.bmp,119,361.jpg,25.jpg
neu,72.jpg,neutral_240.jpg,88,714.jpg,10.jpg
neg,268.jpg,Objects_088_h.jpg,36,382.jpg,79.jpg
neg,779.jpg,Objects_022_h.jpg,95,87.jpg,897.jpg
neg,361.jpg,People_210_h.jpg,50,779.jpg,76.jpg
neu,140.jpg,neutral_121.jpg,12,542.jpg,724.jpg
neg,895.jpg,Objects_003_h.jpg,108,312.jpg,280.jpg
neg,32.jpg,Faces_172_h.jpg,46,353.jpg,245.jpg
neu,542.jpg,neutral_568.jpg,78,51.jpg,152.jpg
neu,152.jpg,neutral_171.jpg,15,731.jpg,48.jpg
