Emotion,Exp_ID,Object,Scene,Trial_ID,distractor_1,distractor_2,filler_type
neu,IMDF_memory_postscan,957.jpg,neutral_695.jpg,filler,952.jpg,975.jpg,first
neg,IMDF_memory_postscan,981.jpg,People_133_h.jpg,filler,953.jpg,987.jpg,first
neu,IMDF_memory_postscan,102.jpg,neutral_003.jpg,2,553.jpg,121.jpg,
neg,IMDF_memory_postscan,245.jpg,Animals_033_h.jpg,31,406.jpg,38.jpg,
neu,IMDF_memory_postscan,20.jpg,neutral_223.jpg,25,51.jpg,675.jpg,
neg,IMDF_memory_postscan,316.jpg,Faces_019_h.jpg,44,281.jpg,848.jpg,
neg,IMDF_memory_postscan,896.jpg,People_003_h.jpg,109,32.jpg,76.jpg,
neg,IMDF_memory_postscan,373.jpg,6210.jpg,53,353.jpg,896.jpg,
neu,IMDF_memory_postscan,140.jpg,neutral_121.jpg,12,145.jpg,130.jpg,
neu,IMDF_memory_postscan,118.jpg,neutral_096.jpg,6,151.jpg,446.jpg,
neg,IMDF_memory_postscan,305.jpg,People_223_h.jpg,40,848.jpg,332.jpg,
neu,IMDF_memory_postscan,421.jpg,neutral_131.jpg,62,106.jpg,453.jpg,
neu,IMDF_memory_postscan,724.jpg,neutral_242.jpg,89,161.jpg,202.jpg,
neg,IMDF_memory_postscan,317.jpg,Faces_034_h.jpg,45,884.jpg,82.jpg,
neu,IMDF_memory_postscan,181.jpg,neutral_060.jpg,22,49.jpg,161.jpg,
neu,IMDF_memory_postscan,24.jpg,neutral_224.jpg,30,6.jpg,48.jpg,
neu,IMDF_memory_postscan,6.jpg,neutral_193.jpg,83,181.jpg,132.jpg,
neg,IMDF_memory_postscan,353.jpg,Objects_145_h.jpg,49,372.jpg,900.jpg,
neg,IMDF_memory_postscan,267.jpg,Objects_011_h.jpg,35,769.jpg,748.jpg,
neu,IMDF_memory_postscan,72.jpg,neutral_240.jpg,88,118.jpg,668.jpg,
neu,IMDF_memory_postscan,49.jpg,neutral_499.jpg,73,123.jpg,506.jpg,
neg,IMDF_memory_postscan,920.jpg,9425.jpg,116,877.jpg,884.jpg,
