Emotion,Object,Scene,Set_ID,TBF_ID,TBR_ID,color,condition,exp_ID,filler,neg_ID,neu_ID,null_ID,order,pp_ID,remember_condition,repetition,trial_count
neg,981.jpg,People_133_h.jpg,,9999,93,green,TBFnegFILLER,IMDF_scanner,yes,9999,93,127,5,12,TBR,9999,1
neu,952.jpg,neutral_673.jpg,,92,9999,green,TBRneuFILLER,IMDF_scanner,yes,92,9999,122,5,12,TBR,9999,2
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,12,None,,3
neu,476.jpg,neutral_456.jpg,1,9999,41,red,TBF_neu,IMDF_scanner,no,71,9999,71,3,12,TBF,one,4
neu,24.jpg,neutral_224.jpg,1,60,9999,red,TBF_neu,IMDF_scanner,no,60,9999,30,1,12,TBF,two,5
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,12,None,,6
neu,106.jpg,neutral_057.jpg,1,33,9999,green,TBR_neu,IMDF_scanner,no,33,9999,3,1,12,TBR,one,7
neg,313.jpg,People_226_h.jpg,1,73,9999,green,TBR_neg,IMDF_scanner,no,9999,43,43,2,12,TBR,one,8
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,12,None,,9
neg,25.jpg,Animals_078_h.jpg,1,63,9999,green,TBR_neg,IMDF_scanner,no,9999,33,33,2,12,TBR,one,10
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,12,None,,11
neg,769.jpg,People_198_h.jpg,1,9999,64,red,TBF_neg,IMDF_scanner,no,9999,64,94,4,12,TBF,one,12
neg,895.jpg,Objects_003_h.jpg,1,9999,78,red,TBF_neg,IMDF_scanner,no,9999,78,108,4,12,TBF,two,13
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,12,None,,14
neu,161.jpg,neutral_416.jpg,1,48,9999,red,TBF_neu,IMDF_scanner,no,48,9999,18,1,12,TBF,two,15
neu,181.jpg,neutral_060.jpg,1,52,9999,green,TBR_neu,IMDF_scanner,no,52,9999,22,1,12,TBR,two,16
neu,121.jpg,neutral_394.jpg,1,37,9999,red,TBF_neu,IMDF_scanner,no,37,9999,7,1,12,TBF,one,17
neg,884.jpg,Landscapes_002_h.jpg,1,9999,77,red,TBF_neg,IMDF_scanner,no,9999,77,107,4,12,TBF,two,18
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,12,None,,19
neg,38.jpg,6300.jpg,1,85,9999,green,TBR_neg,IMDF_scanner,no,9999,55,55,2,12,TBR,two,20
neg,4.jpg,Faces_274_h.jpg,1,88,9999,green,TBR_neg,IMDF_scanner,no,9999,58,58,2,12,TBR,two,21
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,12,None,,22
neu,200.jpg,neutral_198.jpg,1,56,9999,green,TBR_neu,IMDF_scanner,no,56,9999,26,1,12,TBR,two,23
neu,450.jpg,neutral_276.jpg,1,9999,36,green,TBR_neu,IMDF_scanner,no,66,9999,66,3,12,TBR,one,24
neu,202.jpg,neutral_667.jpg,1,57,9999,green,TBR_neu,IMDF_scanner,no,57,9999,27,1,12,TBR,two,25
neg,246.jpg,Animals_062_h.jpg,1,62,9999,red,TBF_neg,IMDF_scanner,no,9999,32,32,2,12,TBF,one,26
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,12,None,,27
neu,553.jpg,neutral_145.jpg,1,9999,51,red,TBF_neu,IMDF_scanner,no,81,9999,81,3,12,TBF,two,28
neu,45.jpg,neutral_270.jpg,1,9999,35,green,TBR_neu,IMDF_scanner,no,65,9999,65,3,12,TBR,one,29
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,12,None,,30
neg,312.jpg,Animals_025_h.jpg,1,72,9999,red,TBF_neg,IMDF_scanner,no,9999,42,42,2,12,TBF,one,31
neu,196.jpg,neutral_067.jpg,1,54,9999,green,TBR_neu,IMDF_scanner,no,54,9999,24,1,12,TBR,two,32
neg,366.jpg,1930.jpg,1,81,9999,red,TBF_neg,IMDF_scanner,no,9999,51,51,2,12,TBF,two,33
neg,900.jpg,6830.jpg,1,9999,83,red,TBF_neg,IMDF_scanner,no,9999,83,113,4,12,TBF,two,34
neu,55.jpg,neutral_620.jpg,1,9999,50,green,TBR_neu,IMDF_scanner,no,80,9999,80,3,12,TBR,two,35
neu,668.jpg,neutral_194.jpg,1,9999,54,red,TBF_neu,IMDF_scanner,no,84,9999,84,3,12,TBF,two,36
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,12,None,,37
neg,877.jpg,Faces_283_h.jpg,1,9999,76,red,TBF_neg,IMDF_scanner,no,9999,76,106,4,12,TBF,two,38
neu,461.jpg,neutral_638.jpg,1,9999,39,green,TBR_neu,IMDF_scanner,no,69,9999,69,3,12,TBR,one,39
neu,560.jpg,neutral_148.jpg,1,9999,52,red,TBF_neu,IMDF_scanner,no,82,9999,82,3,12,TBF,two,40
neg,836.jpg,People_233_h.jpg,1,9999,70,green,TBR_neg,IMDF_scanner,no,9999,70,100,4,12,TBR,one,41
neg,926.jpg,Animals_073_h.jpg,1,9999,87,green,TBR_neg,IMDF_scanner,no,9999,87,117,4,12,TBR,two,42
neu,542.jpg,neutral_568.jpg,1,9999,48,red,TBF_neu,IMDF_scanner,no,78,9999,78,3,12,TBF,two,43
neu,116.jpg,neutral_073.jpg,1,35,9999,red,TBF_neu,IMDF_scanner,no,35,9999,5,1,12,TBF,one,44
neg,406.jpg,H044.bmp,1,89,9999,green,TBR_neg,IMDF_scanner,no,9999,59,59,2,12,TBR,two,45
neg,409.jpg,9630.jpg,1,90,9999,green,TBR_neg,IMDF_scanner,no,9999,60,60,2,12,TBR,two,46
