Emotion,Exp_ID,Object,Scene,Trial_ID,distractor_1,distractor_2,filler_type
neg,IMDF_memory_postscan,981.jpg,People_133_h.jpg,filler,953.jpg,987.jpg,first
neu,IMDF_memory_postscan,957.jpg,neutral_695.jpg,filler,975.jpg,950.jpg,first
neg,IMDF_memory_postscan,268.jpg,Objects_088_h.jpg,36,76.jpg,373.jpg,
neu,IMDF_memory_postscan,675.jpg,neutral_598.jpg,86,202.jpg,184.jpg,
neg,IMDF_memory_postscan,987.jpg,6213.jpg,filler,954.jpg,981.jpg,middle
neg,IMDF_memory_postscan,312.jpg,Animals_025_h.jpg,42,9.jpg,38.jpg,
neu,IMDF_memory_postscan,202.jpg,neutral_667.jpg,27,123.jpg,460.jpg,
neu,IMDF_memory_postscan,6.jpg,neutral_193.jpg,83,181.jpg,140.jpg,
neu,IMDF_memory_postscan,48.jpg,neutral_497.jpg,72,130.jpg,49.jpg,
neg,IMDF_memory_postscan,353.jpg,Objects_145_h.jpg,49,307.jpg,317.jpg,
neg,IMDF_memory_postscan,79.jpg,Objects_109_h.jpg,96,32.jpg,82.jpg,
neg,IMDF_memory_postscan,86.jpg,Faces_007_h.jpg,103,920.jpg,779.jpg,
neu,IMDF_memory_postscan,41.jpg,neutral_130.jpg,61,156.jpg,102.jpg,
neg,IMDF_memory_postscan,391.jpg,blood_034.jpg,57,25.jpg,75.jpg,
neu,IMDF_memory_postscan,49.jpg,neutral_499.jpg,73,453.jpg,202.jpg,
neg,IMDF_memory_postscan,361.jpg,People_210_h.jpg,50,748.jpg,257.jpg,
neu,IMDF_memory_postscan,173.jpg,neutral_290.jpg,21,538.jpg,506.jpg,
neu,IMDF_memory_postscan,10.jpg,neutral_001.jpg,1,23.jpg,159.jpg,
neu,IMDF_memory_postscan,130.jpg,neutral_504.jpg,9,138.jpg,72.jpg,
neg,IMDF_memory_postscan,884.jpg,Landscapes_002_h.jpg,107,932.jpg,267.jpg,
neg,IMDF_memory_postscan,376.jpg,6211.jpg,54,802.jpg,372.jpg,
neg,IMDF_memory_postscan,316.jpg,Faces_019_h.jpg,44,321.jpg,917.jpg,
neu,IMDF_memory_postscan,50.jpg,neutral_531.jpg,74,6.jpg,476.jpg,
neg,IMDF_memory_postscan,317.jpg,Faces_034_h.jpg,45,267.jpg,312.jpg,
neu,IMDF_memory_postscan,121.jpg,neutral_394.jpg,7,446.jpg,453.jpg,
neg,IMDF_memory_postscan,305.jpg,People_223_h.jpg,40,353.jpg,276.jpg,
neu,IMDF_memory_postscan,55.jpg,neutral_620.jpg,80,173.jpg,161.jpg,
neg,IMDF_memory_postscan,276.jpg,Objects_125_h.jpg,37,382.jpg,900.jpg,
neu,IMDF_memory_postscan,553.jpg,neutral_145.jpg,81,668.jpg,461.jpg,
neu,IMDF_memory_postscan,560.jpg,neutral_148.jpg,82,159.jpg,47.jpg,
neu,IMDF_memory_postscan,435.jpg,neutral_188.jpg,63,450.jpg,553.jpg,
neg,IMDF_memory_postscan,926.jpg,Animals_073_h.jpg,117,870.jpg,376.jpg,
neu,IMDF_memory_postscan,145.jpg,neutral_125.jpg,13,106.jpg,724.jpg,
neu,IMDF_memory_postscan,51.jpg,neutral_538.jpg,76,10.jpg,544.jpg,
neu,IMDF_memory_postscan,138.jpg,neutral_119.jpg,11,544.jpg,714.jpg,
neg,IMDF_memory_postscan,920.jpg,9425.jpg,116,79.jpg,361.jpg,
neu,IMDF_memory_postscan,181.jpg,neutral_060.jpg,22,45.jpg,106.jpg,
neg,IMDF_memory_postscan,916.jpg,9423.jpg,114,409.jpg,353.jpg,
neg,IMDF_memory_postscan,845.jpg,Animals_013_h.jpg,101,942.jpg,86.jpg,
neg,IMDF_memory_postscan,942.jpg,H123.bmp,119,836.jpg,932.jpg,
neu,IMDF_memory_postscan,106.jpg,neutral_057.jpg,3,161.jpg,152.jpg,
