Emotion,Exp_ID,Object,Scene,Trial_ID,distractor_1,distractor_2,filler_type
neu,IMDF_memory_postscan,952.jpg,neutral_673.jpg,filler,950.jpg,975.jpg,first
neg,IMDF_memory_postscan,987.jpg,6213.jpg,filler,981.jpg,953.jpg,first
neu,IMDF_memory_postscan,118.jpg,neutral_096.jpg,6,140.jpg,45.jpg,
neg,IMDF_memory_postscan,870.jpg,Faces_041_h.jpg,105,86.jpg,87.jpg,
neu,IMDF_memory_postscan,506.jpg,neutral_532.jpg,75,121.jpg,140.jpg,
neg,IMDF_memory_postscan,409.jpg,9630.jpg,60,917.jpg,281.jpg,
neg,IMDF_memory_postscan,920.jpg,9425.jpg,116,932.jpg,836.jpg,
neu,IMDF_memory_postscan,202.jpg,neutral_667.jpg,27,118.jpg,49.jpg,
neu,IMDF_memory_postscan,51.jpg,neutral_538.jpg,76,106.jpg,544.jpg,
neu,IMDF_memory_postscan,45.jpg,neutral_270.jpg,65,476.jpg,156.jpg,
neg,IMDF_memory_postscan,317.jpg,Faces_034_h.jpg,45,870.jpg,82.jpg,
neg,IMDF_memory_postscan,25.jpg,Animals_078_h.jpg,33,332.jpg,877.jpg,
neg,IMDF_memory_postscan,268.jpg,Objects_088_h.jpg,36,280.jpg,305.jpg,
neu,IMDF_memory_postscan,20.jpg,neutral_223.jpg,25,421.jpg,435.jpg,
neg,IMDF_memory_postscan,321.jpg,Faces_302_h.jpg,47,373.jpg,870.jpg,
neu,IMDF_memory_postscan,49.jpg,neutral_499.jpg,73,200.jpg,102.jpg,
neg,IMDF_memory_postscan,981.jpg,People_133_h.jpg,filler,987.jpg,954.jpg,middle
neu,IMDF_memory_postscan,196.jpg,neutral_067.jpg,24,506.jpg,159.jpg,
neu,IMDF_memory_postscan,50.jpg,neutral_531.jpg,74,234.jpg,202.jpg,
neu,IMDF_memory_postscan,731.jpg,neutral_244.jpg,90,24.jpg,506.jpg,
neg,IMDF_memory_postscan,382.jpg,6312.jpg,56,4.jpg,406.jpg,
neg,IMDF_memory_postscan,809.jpg,People_058_h.jpg,98,900.jpg,895.jpg,
neu,IMDF_memory_postscan,48.jpg,neutral_497.jpg,72,173.jpg,196.jpg,
neu,IMDF_memory_postscan,675.jpg,neutral_598.jpg,86,72.jpg,674.jpg,
neu,IMDF_memory_postscan,138.jpg,neutral_119.jpg,11,55.jpg,460.jpg,
neg,IMDF_memory_postscan,836.jpg,People_233_h.jpg,100,942.jpg,926.jpg,
neu,IMDF_memory_postscan,460.jpg,neutral_591.jpg,68,560.jpg,121.jpg,
neg,IMDF_memory_postscan,373.jpg,6210.jpg,53,316.jpg,317.jpg,
