Emotion,Exp_ID,Object,Scene,Set_ID,TBF_ID,TBR_ID,color,condition,exp_ID,filler,filler_type,neg_ID,neu_ID,null_ID,order,pp_ID,remember_condition,repetition,trial_count
neu,IMDF_scanner,975.jpg,neutral_707.jpg,,9999,92,red,FILLER,IMDF_scanner,yes,first,94,9999,126,5,8,TBF,9999,1
neg,IMDF_scanner,954.jpg,People_143_h.jpg,,94,9999,red,FILLER,IMDF_scanner,yes,first,9999,92,124,5,8,TBF,9999,2
None,IMDF_scanner,,,1,,,None,NULL,IMDF_scanner,,,,,9999,,8,None,,3
neu,IMDF_scanner,461.jpg,neutral_638.jpg,1,9999,39,red,TBF_neu,IMDF_scanner,no,,69,9999,69,3,8,TBF,one,4
neg,IMDF_scanner,896.jpg,People_003_h.jpg,1,9999,79,green,TBR_neg,IMDF_scanner,no,,9999,79,109,4,8,TBR,two,5
neu,IMDF_scanner,41.jpg,neutral_130.jpg,1,9999,31,red,TBF_neu,IMDF_scanner,no,,61,9999,61,3,8,TBF,one,6
neg,IMDF_scanner,276.jpg,Objects_125_h.jpg,1,67,9999,green,TBR_neg,IMDF_scanner,no,,9999,37,37,2,8,TBR,one,7
neg,IMDF_scanner,268.jpg,Objects_088_h.jpg,1,66,9999,green,TBR_neg,IMDF_scanner,no,,9999,36,36,2,8,TBR,one,8
None,IMDF_scanner,,,1,,,None,NULL,IMDF_scanner,,,,,9999,,8,None,,9
neu,IMDF_scanner,544.jpg,neutral_014.jpg,1,9999,49,green,TBR_neu,IMDF_scanner,no,,79,9999,79,3,8,TBR,two,10
neu,IMDF_scanner,166.jpg,neutral_422.jpg,1,49,9999,green,TBR_neu,IMDF_scanner,no,,49,9999,19,1,8,TBR,two,11
neg,IMDF_scanner,305.jpg,People_223_h.jpg,1,70,9999,red,TBF_neg,IMDF_scanner,no,,9999,40,40,2,8,TBF,one,12
None,IMDF_scanner,,,1,,,None,NULL,IMDF_scanner,,,,,9999,,8,None,,13
neg,IMDF_scanner,376.jpg,6211.jpg,1,84,9999,red,TBF_neg,IMDF_scanner,no,,9999,54,54,2,8,TBF,two,14
neu,IMDF_scanner,121.jpg,neutral_394.jpg,1,37,9999,green,TBR_neu,IMDF_scanner,no,,37,9999,7,1,8,TBR,one,15
neu,IMDF_scanner,49.jpg,neutral_499.jpg,1,9999,43,green,TBR_neu,IMDF_scanner,no,,73,9999,73,3,8,TBR,one,16
None,IMDF_scanner,,,1,,,None,NULL,IMDF_scanner,,,,,9999,,8,None,,17
neg,IMDF_scanner,366.jpg,1930.jpg,1,81,9999,green,TBR_neg,IMDF_scanner,no,,9999,51,51,2,8,TBR,two,18
neu,IMDF_scanner,23.jpg,neutral_104.jpg,1,58,9999,green,TBR_neu,IMDF_scanner,no,,58,9999,28,1,8,TBR,two,19
None,IMDF_scanner,,,1,,,None,NULL,IMDF_scanner,,,,,9999,,8,None,,20
neg,IMDF_scanner,409.jpg,9630.jpg,1,90,9999,green,TBR_neg,IMDF_scanner,no,,9999,60,60,2,8,TBR,two,21
neu,IMDF_scanner,553.jpg,neutral_145.jpg,1,9999,51,red,TBF_neu,IMDF_scanner,no,,81,9999,81,3,8,TBF,two,22
neu,IMDF_scanner,113.jpg,neutral_069.jpg,1,34,9999,green,TBR_neu,IMDF_scanner,no,,34,9999,4,1,8,TBR,one,23
neg,IMDF_scanner,246.jpg,Animals_062_h.jpg,1,62,9999,green,TBR_neg,IMDF_scanner,no,,9999,32,32,2,8,TBR,one,24
None,IMDF_scanner,,,1,,,None,NULL,IMDF_scanner,,,,,9999,,8,None,,25
neg,IMDF_scanner,877.jpg,Faces_283_h.jpg,1,9999,76,red,TBF_neg,IMDF_scanner,no,,9999,76,106,4,8,TBF,two,26
neu,IMDF_scanner,202.jpg,neutral_667.jpg,1,57,9999,green,TBR_neu,IMDF_scanner,no,,57,9999,27,1,8,TBR,two,27
neg,IMDF_scanner,870.jpg,Faces_041_h.jpg,1,9999,75,green,TBR_neg,IMDF_scanner,no,,9999,75,105,4,8,TBR,one,28
neu,IMDF_scanner,453.jpg,neutral_588.jpg,1,9999,37,green,TBR_neu,IMDF_scanner,no,,67,9999,67,3,8,TBR,one,29
None,IMDF_scanner,,,1,,,None,NULL,IMDF_scanner,,,,,9999,,8,None,,30
