Emotion,Exp_ID,Object,Scene,Set_ID,TBF_ID,TBR_ID,color,condition,exp_ID,filler,filler_type,neg_ID,neu_ID,null_ID,order,pp_ID,remember_condition,repetition,trial_count
neg,IMDF_scanner,954.jpg,People_143_h.jpg,,94,9999,green,FILLER,IMDF_scanner,yes,first,9999,92,124,5,42,TBR,9999,1
neu,IMDF_scanner,952.jpg,neutral_673.jpg,,92,9999,red,FILLER,IMDF_scanner,yes,first,92,9999,122,5,42,TBF,9999,2
None,IMDF_scanner,,,1,,,None,NULL,IMDF_scanner,,,,,9999,,42,None,,3
neu,IMDF_scanner,450.jpg,neutral_276.jpg,1,9999,36,red,TBF_neu,IMDF_scanner,no,,66,9999,66,3,42,TBF,one,4
None,IMDF_scanner,,,1,,,None,NULL,IMDF_scanner,,,,,9999,,42,None,,5
neg,IMDF_scanner,845.jpg,Animals_013_h.jpg,1,9999,71,green,TBR_neg,IMDF_scanner,no,,9999,71,101,4,42,TBR,one,6
None,IMDF_scanner,,,1,,,None,NULL,IMDF_scanner,,,,,9999,,42,None,,7
neg,IMDF_scanner,257.jpg,Objects_007_h.jpg,1,64,9999,green,TBR_neg,IMDF_scanner,no,,9999,34,34,2,42,TBR,one,8
neg,IMDF_scanner,268.jpg,Objects_088_h.jpg,1,66,9999,red,TBF_neg,IMDF_scanner,no,,9999,36,36,2,42,TBF,one,9
None,IMDF_scanner,,,1,,,None,NULL,IMDF_scanner,,,,,9999,,42,None,,10
neg,IMDF_scanner,897.jpg,People_147_h.jpg,1,9999,80,red,TBF_neg,IMDF_scanner,no,,9999,80,110,4,42,TBF,two,11
None,IMDF_scanner,,,1,,,None,NULL,IMDF_scanner,,,,,9999,,42,None,,12
neu,IMDF_scanner,138.jpg,neutral_119.jpg,1,41,9999,green,TBR_neu,IMDF_scanner,no,,41,9999,11,1,42,TBR,one,13
None,IMDF_scanner,,,1,,,None,NULL,IMDF_scanner,,,,,9999,,42,None,,14
neu,IMDF_scanner,152.jpg,neutral_171.jpg,1,45,9999,red,TBF_neu,IMDF_scanner,no,,45,9999,15,1,42,TBF,one,15
neu,IMDF_scanner,724.jpg,neutral_242.jpg,1,9999,59,red,TBF_neu,IMDF_scanner,no,,89,9999,89,3,42,TBF,two,16
neg,IMDF_scanner,246.jpg,Animals_062_h.jpg,1,62,9999,red,TBF_neg,IMDF_scanner,no,,9999,32,32,2,42,TBF,one,17
neu,IMDF_scanner,47.jpg,neutral_671.jpg,1,9999,40,green,TBR_neu,IMDF_scanner,no,,70,9999,70,3,42,TBR,one,18
neu,IMDF_scanner,184.jpg,neutral_063.jpg,1,53,9999,red,TBF_neu,IMDF_scanner,no,,53,9999,23,1,42,TBF,two,19
