Emotion,Object,Scene,Trial_ID,distractor_object_1,distractor_object_2
neu,952.jpg,neutral_673.jpg,filler,957.jpg,975.jpg
neg,987.jpg,6213.jpg,filler,953.jpg,954.jpg
neu,674.jpg,neutral_196.jpg,85,24.jpg,51.jpg
neu,202.jpg,neutral_667.jpg,27,20.jpg,72.jpg
neu,145.jpg,neutral_125.jpg,13,10.jpg,560.jpg
neg,372.jpg,2692.jpg,52,836.jpg,305.jpg
neg,779.jpg,Objects_022_h.jpg,95,86.jpg,942.jpg
neg,916.jpg,9423.jpg,114,391.jpg,779.jpg
neu,200.jpg,neutral_198.jpg,26,159.jpg,674.jpg
neu,453.jpg,neutral_588.jpg,67,714.jpg,159.jpg
neg,366.jpg,1930.jpg,51,25.jpg,406.jpg
neu,138.jpg,neutral_119.jpg,11,161.jpg,145.jpg
neg,406.jpg,H044.bmp,59,845.jpg,313.jpg
neg,769.jpg,People_198_h.jpg,94,313.jpg,281.jpg
neu,55.jpg,neutral_620.jpg,80,453.jpg,24.jpg
neu,166.jpg,neutral_422.jpg,19,152.jpg,6.jpg
neg,32.jpg,Faces_172_h.jpg,46,312.jpg,409.jpg
neu,506.jpg,neutral_532.jpg,75,47.jpg,668.jpg
neg,257.jpg,Objects_007_h.jpg,34,896.jpg,332.jpg
neu,47.jpg,neutral_671.jpg,70,113.jpg,50.jpg
neu,173.jpg,neutral_290.jpg,21,200.jpg,138.jpg
neg,245.jpg,Animals_033_h.jpg,31,916.jpg,748.jpg
neg,954.jpg,People_143_h.jpg,filler,987.jpg,981.jpg
neu,435.jpg,neutral_188.jpg,63,234.jpg,130.jpg
neg,845.jpg,Animals_013_h.jpg,101,366.jpg,312.jpg
neg,897.jpg,People_147_h.jpg,110,317.jpg,9.jpg
neu,24.jpg,neutral_224.jpg,30,106.jpg,45.jpg
neg,382.jpg,6312.jpg,56,870.jpg,836.jpg
neg,802.jpg,Objects_126_h.jpg,97,900.jpg,382.jpg
neg,280.jpg,Objects_206_h.jpg,38,353.jpg,361.jpg
neu,675.jpg,neutral_598.jpg,86,48.jpg,106.jpg
neg,316.jpg,Faces_019_h.jpg,44,257.jpg,280.jpg
neu,118.jpg,neutral_096.jpg,6,674.jpg,461.jpg
neg,391.jpg,blood_034.jpg,57,280.jpg,32.jpg
neu,446.jpg,neutral_201.jpg,64,123.jpg,113.jpg
neg,87.jpg,Faces_028_h.jpg,104,321.jpg,245.jpg
neu,170.jpg,neutral_423.jpg,20,51.jpg,121.jpg
neg,870.jpg,Faces_041_h.jpg,105,920.jpg,372.jpg
neu,731.jpg,neutral_244.jpg,90,121.jpg,20.jpg
neu,196.jpg,neutral_067.jpg,24,202.jpg,453.jpg
neg,321.jpg,Faces_302_h.jpg,47,4.jpg,373.jpg
neg,268.jpg,Objects_088_h.jpg,36,38.jpg,920.jpg
neu,140.jpg,neutral_121.jpg,12,23.jpg,460.jpg
neu,538.jpg,neutral_560.jpg,77,435.jpg,181.jpg
neu,461.jpg,neutral_638.jpg,69,72.jpg,23.jpg
