Emotion,Object,Scene,Set_ID,TBF_ID,TBR_ID,color,condition,exp_ID,filler,neg_ID,neu_ID,null_ID,order,pp_ID,remember_condition,repetition,trial_count
neu,975.jpg,neutral_707.jpg,,9999,92,red,TBFneuFILLER,IMDF_scanner,yes,94,9999,126,5,26,TBF,9999,1
neg,954.jpg,People_143_h.jpg,,94,9999,green,TBRnegFILLER,IMDF_scanner,yes,9999,92,124,5,26,TBR,9999,2
neu,184.jpg,neutral_063.jpg,1,53,9999,green,TBR_neu,IMDF_scanner,no,53,9999,23,1,26,TBR,two,3
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,26,None,,4
neg,353.jpg,Objects_145_h.jpg,1,79,9999,green,TBR_neg,IMDF_scanner,no,9999,49,49,2,26,TBR,two,5
neg,361.jpg,People_210_h.jpg,1,80,9999,green,TBR_neg,IMDF_scanner,no,9999,50,50,2,26,TBR,two,6
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,26,None,,7
neg,82.jpg,People_217_h.jpg,1,9999,69,red,TBF_neg,IMDF_scanner,no,9999,69,99,4,26,TBF,one,8
neg,409.jpg,9630.jpg,1,90,9999,green,TBR_neg,IMDF_scanner,no,9999,60,60,2,26,TBR,two,9
neu,156.jpg,neutral_200.jpg,1,46,9999,green,TBR_neu,IMDF_scanner,no,46,9999,16,1,26,TBR,two,10
neg,245.jpg,Animals_033_h.jpg,1,61,9999,red,TBF_neg,IMDF_scanner,no,9999,31,31,2,26,TBF,one,11
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,26,None,,12
neg,748.jpg,Animals_018_h.jpg,1,9999,61,red,TBF_neg,IMDF_scanner,no,9999,61,91,4,26,TBF,one,13
neu,132.jpg,neutral_585.jpg,1,40,9999,red,TBF_neu,IMDF_scanner,no,40,9999,10,1,26,TBF,one,14
neg,947.jpg,Objects_001_h.jpg,1,9999,90,green,TBR_neg,IMDF_scanner,no,9999,90,120,4,26,TBR,two,15
neu,668.jpg,neutral_194.jpg,1,9999,54,red,TBF_neu,IMDF_scanner,no,84,9999,84,3,26,TBF,two,16
neu,24.jpg,neutral_224.jpg,1,60,9999,red,TBF_neu,IMDF_scanner,no,60,9999,30,1,26,TBF,two,17
neg,373.jpg,6210.jpg,1,83,9999,red,TBF_neg,IMDF_scanner,no,9999,53,53,2,26,TBF,two,18
neu,202.jpg,neutral_667.jpg,1,57,9999,green,TBR_neu,IMDF_scanner,no,57,9999,27,1,26,TBR,two,19
neg,920.jpg,9425.jpg,1,9999,86,green,TBR_neg,IMDF_scanner,no,9999,86,116,4,26,TBR,two,20
neg,406.jpg,H044.bmp,1,89,9999,green,TBR_neg,IMDF_scanner,no,9999,59,59,2,26,TBR,two,21
neu,166.jpg,neutral_422.jpg,1,49,9999,red,TBF_neu,IMDF_scanner,no,49,9999,19,1,26,TBF,two,22
neu,674.jpg,neutral_196.jpg,1,9999,55,red,TBF_neu,IMDF_scanner,no,85,9999,85,3,26,TBF,two,23
neu,118.jpg,neutral_096.jpg,1,36,9999,red,TBF_neu,IMDF_scanner,no,36,9999,6,1,26,TBF,one,24
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,26,None,,25
neu,51.jpg,neutral_538.jpg,1,9999,46,green,TBR_neu,IMDF_scanner,no,76,9999,76,3,26,TBR,two,26
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,26,None,,27
neg,267.jpg,Objects_011_h.jpg,1,65,9999,green,TBR_neg,IMDF_scanner,no,9999,35,35,2,26,TBR,one,28
neu,200.jpg,neutral_198.jpg,1,56,9999,green,TBR_neu,IMDF_scanner,no,56,9999,26,1,26,TBR,two,29
neg,281.jpg,People_239_h.jpg,1,69,9999,red,TBF_neg,IMDF_scanner,no,9999,39,39,2,26,TBF,one,30
neu,23.jpg,neutral_104.jpg,1,58,9999,red,TBF_neu,IMDF_scanner,no,58,9999,28,1,26,TBF,two,31
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,26,None,,32
neg,779.jpg,Objects_022_h.jpg,1,9999,65,red,TBF_neg,IMDF_scanner,no,9999,65,95,4,26,TBF,one,33
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,26,None,,34
neu,460.jpg,neutral_591.jpg,1,9999,38,red,TBF_neu,IMDF_scanner,no,68,9999,68,3,26,TBF,one,35
neu,55.jpg,neutral_620.jpg,1,9999,50,green,TBR_neu,IMDF_scanner,no,80,9999,80,3,26,TBR,two,36
neg,25.jpg,Animals_078_h.jpg,1,63,9999,red,TBF_neg,IMDF_scanner,no,9999,33,33,2,26,TBF,one,37
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,26,None,,38
neu,45.jpg,neutral_270.jpg,1,9999,35,red,TBF_neu,IMDF_scanner,no,65,9999,65,3,26,TBF,one,39
neu,542.jpg,neutral_568.jpg,1,9999,48,green,TBR_neu,IMDF_scanner,no,78,9999,78,3,26,TBR,two,40
neg,317.jpg,Faces_034_h.jpg,1,75,9999,green,TBR_neg,IMDF_scanner,no,9999,45,45,2,26,TBR,one,41
neg,32.jpg,Faces_172_h.jpg,1,76,9999,red,TBF_neg,IMDF_scanner,no,9999,46,46,2,26,TBF,two,42
neg,90.jpg,6555.jpg,1,9999,82,green,TBR_neg,IMDF_scanner,no,9999,82,112,4,26,TBR,two,43
neu,130.jpg,neutral_504.jpg,1,39,9999,red,TBF_neu,IMDF_scanner,no,39,9999,9,1,26,TBF,one,44
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,26,None,,45
neu,145.jpg,neutral_125.jpg,1,43,9999,green,TBR_neu,IMDF_scanner,no,43,9999,13,1,26,TBR,one,46
neg,366.jpg,1930.jpg,1,81,9999,green,TBR_neg,IMDF_scanner,no,9999,51,51,2,26,TBR,two,47
neu,724.jpg,neutral_242.jpg,1,9999,59,red,TBF_neu,IMDF_scanner,no,89,9999,89,3,26,TBF,two,48
neg,836.jpg,People_233_h.jpg,1,9999,70,red,TBF_neg,IMDF_scanner,no,9999,70,100,4,26,TBF,one,49
neu,41.jpg,neutral_130.jpg,1,9999,31,green,TBR_neu,IMDF_scanner,no,61,9999,61,3,26,TBR,one,50
neg,897.jpg,People_147_h.jpg,1,9999,80,green,TBR_neg,IMDF_scanner,no,9999,80,110,4,26,TBR,two,51
neu,506.jpg,neutral_532.jpg,1,9999,45,green,TBR_neu,IMDF_scanner,no,75,9999,75,3,26,TBR,one,52
neg,932.jpg,Faces_272_h.jpg,1,9999,88,red,TBF_neg,IMDF_scanner,no,9999,88,118,4,26,TBF,two,53
neg,870.jpg,Faces_041_h.jpg,1,9999,75,red,TBF_neg,IMDF_scanner,no,9999,75,105,4,26,TBF,one,54
neg,809.jpg,People_058_h.jpg,1,9999,68,green,TBR_neg,IMDF_scanner,no,9999,68,98,4,26,TBR,one,55
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,26,None,,56
neu,138.jpg,neutral_119.jpg,1,41,9999,green,TBR_neu,IMDF_scanner,no,41,9999,11,1,26,TBR,one,57
neg,769.jpg,People_198_h.jpg,1,9999,64,red,TBF_neg,IMDF_scanner,no,9999,64,94,4,26,TBF,one,58
neu,102.jpg,neutral_003.jpg,1,32,9999,red,TBF_neu,IMDF_scanner,no,32,9999,2,1,26,TBF,one,59
neg,305.jpg,People_223_h.jpg,1,70,9999,green,TBR_neg,IMDF_scanner,no,9999,40,40,2,26,TBR,one,60
