Emotion,Exp_ID,Object,Scene,Trial_ID,distractor_1,distractor_2,filler_type
neu,IMDF_memory_postscan,952.jpg,neutral_673.jpg,filler,957.jpg,950.jpg,first
neg,IMDF_memory_postscan,981.jpg,People_133_h.jpg,filler,987.jpg,953.jpg,first
neu,IMDF_memory_postscan,118.jpg,neutral_096.jpg,6,560.jpg,542.jpg,
neu,IMDF_memory_postscan,6.jpg,neutral_193.jpg,83,446.jpg,151.jpg,
neu,IMDF_memory_postscan,675.jpg,neutral_598.jpg,86,116.jpg,166.jpg,
neg,IMDF_memory_postscan,246.jpg,Animals_062_h.jpg,32,86.jpg,382.jpg,
neg,IMDF_memory_postscan,382.jpg,6312.jpg,56,313.jpg,38.jpg,
neg,IMDF_memory_postscan,245.jpg,Animals_033_h.jpg,31,267.jpg,82.jpg,
neu,IMDF_memory_postscan,421.jpg,neutral_131.jpg,62,184.jpg,668.jpg,
neu,IMDF_memory_postscan,538.jpg,neutral_560.jpg,77,675.jpg,446.jpg,
neu,IMDF_memory_postscan,166.jpg,neutral_422.jpg,19,51.jpg,118.jpg,
neg,IMDF_memory_postscan,321.jpg,Faces_302_h.jpg,47,90.jpg,79.jpg,
neu,IMDF_memory_postscan,460.jpg,neutral_591.jpg,68,47.jpg,724.jpg,
neg,IMDF_memory_postscan,361.jpg,People_210_h.jpg,50,926.jpg,897.jpg,
neg,IMDF_memory_postscan,916.jpg,9423.jpg,114,268.jpg,316.jpg,
neu,IMDF_memory_postscan,553.jpg,neutral_145.jpg,81,435.jpg,731.jpg,
neu,IMDF_memory_postscan,446.jpg,neutral_201.jpg,64,674.jpg,181.jpg,
neu,IMDF_memory_postscan,202.jpg,neutral_667.jpg,27,130.jpg,476.jpg,
neg,IMDF_memory_postscan,947.jpg,Objects_001_h.jpg,120,76.jpg,90.jpg,
neg,IMDF_memory_postscan,932.jpg,Faces_272_h.jpg,118,376.jpg,947.jpg,
neg,IMDF_memory_postscan,953.jpg,1050.jpg,filler,954.jpg,987.jpg,middle
