Emotion,Exp_ID,Object,Scene,Trial_ID,distractor_1,distractor_2,filler_type
neu,IMDF_memory_postscan,950.jpg,neutral_261.jpg,filler,952.jpg,957.jpg,first
neg,IMDF_memory_postscan,981.jpg,People_133_h.jpg,filler,987.jpg,953.jpg,first
neg,IMDF_memory_postscan,87.jpg,Faces_028_h.jpg,104,332.jpg,896.jpg,
neu,IMDF_memory_postscan,421.jpg,neutral_131.jpg,62,200.jpg,45.jpg,
neg,IMDF_memory_postscan,409.jpg,9630.jpg,60,321.jpg,9.jpg,
neg,IMDF_memory_postscan,848.jpg,Animals_060_h.jpg,102,246.jpg,87.jpg,
neg,IMDF_memory_postscan,372.jpg,2692.jpg,52,809.jpg,895.jpg,
neu,IMDF_memory_postscan,453.jpg,neutral_588.jpg,67,121.jpg,560.jpg,
neu,IMDF_memory_postscan,106.jpg,neutral_057.jpg,3,553.jpg,102.jpg,
neu,IMDF_memory_postscan,121.jpg,neutral_394.jpg,7,140.jpg,152.jpg,
neg,IMDF_memory_postscan,836.jpg,People_233_h.jpg,100,926.jpg,373.jpg,
neg,IMDF_memory_postscan,38.jpg,6300.jpg,55,25.jpg,75.jpg,
neu,IMDF_memory_postscan,202.jpg,neutral_667.jpg,27,41.jpg,461.jpg,
neg,IMDF_memory_postscan,9.jpg,6370.jpg,111,361.jpg,406.jpg,
neu,IMDF_memory_postscan,24.jpg,neutral_224.jpg,30,102.jpg,674.jpg,
neu,IMDF_memory_postscan,674.jpg,neutral_196.jpg,85,6.jpg,476.jpg,
neg,IMDF_memory_postscan,947.jpg,Objects_001_h.jpg,120,895.jpg,332.jpg,
neg,IMDF_memory_postscan,870.jpg,Faces_041_h.jpg,105,87.jpg,25.jpg,
neg,IMDF_memory_postscan,281.jpg,People_239_h.jpg,39,848.jpg,916.jpg,
neu,IMDF_memory_postscan,461.jpg,neutral_638.jpg,69,450.jpg,170.jpg,
neu,IMDF_memory_postscan,23.jpg,neutral_104.jpg,28,45.jpg,10.jpg,
neu,IMDF_memory_postscan,542.jpg,neutral_568.jpg,78,55.jpg,200.jpg,
neg,IMDF_memory_postscan,376.jpg,6211.jpg,54,307.jpg,305.jpg,
neg,IMDF_memory_postscan,802.jpg,Objects_126_h.jpg,97,932.jpg,372.jpg,
neg,IMDF_memory_postscan,916.jpg,9423.jpg,114,353.jpg,926.jpg,
neu,IMDF_memory_postscan,234.jpg,neutral_382.jpg,29,166.jpg,118.jpg,
neg,IMDF_memory_postscan,246.jpg,Animals_062_h.jpg,32,920.jpg,382.jpg,
neu,IMDF_memory_postscan,675.jpg,neutral_598.jpg,86,560.jpg,41.jpg,
neg,IMDF_memory_postscan,25.jpg,Animals_078_h.jpg,33,406.jpg,268.jpg,
neu,IMDF_memory_postscan,47.jpg,neutral_671.jpg,70,51.jpg,140.jpg,
neg,IMDF_memory_postscan,406.jpg,H044.bmp,59,313.jpg,877.jpg,
neu,IMDF_memory_postscan,140.jpg,neutral_121.jpg,12,731.jpg,714.jpg,
neg,IMDF_memory_postscan,32.jpg,Faces_172_h.jpg,46,845.jpg,391.jpg,
neu,IMDF_memory_postscan,446.jpg,neutral_201.jpg,64,118.jpg,460.jpg,
neg,IMDF_memory_postscan,769.jpg,People_198_h.jpg,94,391.jpg,870.jpg,
neu,IMDF_memory_postscan,6.jpg,neutral_193.jpg,83,113.jpg,106.jpg,
neu,IMDF_memory_postscan,476.jpg,neutral_456.jpg,71,151.jpg,20.jpg,
neg,IMDF_memory_postscan,4.jpg,Faces_274_h.jpg,58,280.jpg,86.jpg,
neu,IMDF_memory_postscan,55.jpg,neutral_620.jpg,80,202.jpg,23.jpg,
neu,IMDF_memory_postscan,41.jpg,neutral_130.jpg,61,173.jpg,113.jpg,
neu,IMDF_memory_postscan,118.jpg,neutral_096.jpg,6,23.jpg,181.jpg,
neg,IMDF_memory_postscan,932.jpg,Faces_272_h.jpg,118,305.jpg,809.jpg,
neg,IMDF_memory_postscan,809.jpg,People_058_h.jpg,98,79.jpg,280.jpg,
neg,IMDF_memory_postscan,987.jpg,6213.jpg,filler,954.jpg,981.jpg,middle
neu,IMDF_memory_postscan,435.jpg,neutral_188.jpg,63,72.jpg,48.jpg,
neg,IMDF_memory_postscan,332.jpg,Landscapes_025_h.jpg,48,245.jpg,920.jpg,
neu,IMDF_memory_postscan,714.jpg,neutral_236.jpg,87,538.jpg,724.jpg,
neg,IMDF_memory_postscan,954.jpg,People_143_h.jpg,filler,953.jpg,987.jpg,middle
neg,IMDF_memory_postscan,845.jpg,Animals_013_h.jpg,101,372.jpg,779.jpg,
neg,IMDF_memory_postscan,373.jpg,6210.jpg,53,4.jpg,79.jpg,
neu,IMDF_memory_postscan,102.jpg,neutral_003.jpg,2,184.jpg,166.jpg,
neu,IMDF_memory_postscan,538.jpg,neutral_560.jpg,77,724.jpg,553.jpg,
neu,IMDF_memory_postscan,724.jpg,neutral_242.jpg,89,20.jpg,421.jpg,
neg,IMDF_memory_postscan,896.jpg,People_003_h.jpg,109,76.jpg,366.jpg,
neg,IMDF_memory_postscan,917.jpg,9424.jpg,115,897.jpg,748.jpg,
neg,IMDF_memory_postscan,76.jpg,Landscapes_007_h.jpg,93,32.jpg,4.jpg,
neu,IMDF_memory_postscan,152.jpg,neutral_171.jpg,15,668.jpg,173.jpg,
neu,IMDF_memory_postscan,560.jpg,neutral_148.jpg,82,446.jpg,156.jpg,
neg,IMDF_memory_postscan,267.jpg,Objects_011_h.jpg,35,769.jpg,802.jpg,
neu,IMDF_memory_postscan,151.jpg,neutral_132.jpg,14,49.jpg,453.jpg,
neu,IMDF_memory_postscan,113.jpg,neutral_069.jpg,4,506.jpg,145.jpg,
neg,IMDF_memory_postscan,276.jpg,Objects_125_h.jpg,37,896.jpg,353.jpg,
neu,IMDF_memory_postscan,173.jpg,neutral_290.jpg,21,542.jpg,51.jpg,
neg,IMDF_memory_postscan,900.jpg,6830.jpg,113,276.jpg,38.jpg,
