Emotion,Object,Scene,Set_ID,TBF_ID,TBR_ID,color,condition,exp_ID,filler,neg_ID,neu_ID,null_ID,order,pp_ID,remember_condition,repetition,trial_count
neg,987.jpg,6213.jpg,,9999,94,green,TBFnegFILLER,IMDF_scanner,yes,9999,94,128,5,11,TBR,9999,1
neu,975.jpg,neutral_707.jpg,,9999,92,green,TBFneuFILLER,IMDF_scanner,yes,94,9999,126,5,11,TBR,9999,2
neg,942.jpg,H123.bmp,1,9999,89,red,TBF_neg,IMDF_scanner,no,9999,89,119,4,11,TBF,two,3
neg,257.jpg,Objects_007_h.jpg,1,64,9999,red,TBF_neg,IMDF_scanner,no,9999,34,34,2,11,TBF,one,4
neu,45.jpg,neutral_270.jpg,1,9999,35,red,TBF_neu,IMDF_scanner,no,65,9999,65,3,11,TBF,one,5
neg,280.jpg,Objects_206_h.jpg,1,68,9999,green,TBR_neg,IMDF_scanner,no,9999,38,38,2,11,TBR,one,6
neu,72.jpg,neutral_240.jpg,1,9999,58,green,TBR_neu,IMDF_scanner,no,88,9999,88,3,11,TBR,two,7
neg,82.jpg,People_217_h.jpg,1,9999,69,red,TBF_neg,IMDF_scanner,no,9999,69,99,4,11,TBF,one,8
neu,173.jpg,neutral_290.jpg,1,51,9999,red,TBF_neu,IMDF_scanner,no,51,9999,21,1,11,TBF,two,9
neg,25.jpg,Animals_078_h.jpg,1,63,9999,green,TBR_neg,IMDF_scanner,no,9999,33,33,2,11,TBR,one,10
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,11,None,,11
neu,23.jpg,neutral_104.jpg,1,58,9999,red,TBF_neu,IMDF_scanner,no,58,9999,28,1,11,TBF,two,12
neu,200.jpg,neutral_198.jpg,1,56,9999,green,TBR_neu,IMDF_scanner,no,56,9999,26,1,11,TBR,two,13
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,11,None,,14
neu,675.jpg,neutral_598.jpg,1,9999,56,green,TBR_neu,IMDF_scanner,no,86,9999,86,3,11,TBR,two,15
neg,947.jpg,Objects_001_h.jpg,1,9999,90,green,TBR_neg,IMDF_scanner,no,9999,90,120,4,11,TBR,two,16
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,11,None,,17
neg,332.jpg,Landscapes_025_h.jpg,1,78,9999,red,TBF_neg,IMDF_scanner,no,9999,48,48,2,11,TBF,two,18
neu,106.jpg,neutral_057.jpg,1,33,9999,red,TBF_neu,IMDF_scanner,no,33,9999,3,1,11,TBF,one,19
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,11,None,,20
neg,802.jpg,Objects_126_h.jpg,1,9999,67,green,TBR_neg,IMDF_scanner,no,9999,67,97,4,11,TBR,one,21
neu,49.jpg,neutral_499.jpg,1,9999,43,red,TBF_neu,IMDF_scanner,no,73,9999,73,3,11,TBF,one,22
neu,544.jpg,neutral_614.jpg,1,9999,49,green,TBR_neu,IMDF_scanner,no,79,9999,79,3,11,TBR,two,23
neg,896.jpg,People_003_h.jpg,1,9999,79,green,TBR_neg,IMDF_scanner,no,9999,79,109,4,11,TBR,two,24
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,11,None,,25
neu,460.jpg,neutral_591.jpg,1,9999,38,green,TBR_neu,IMDF_scanner,no,68,9999,68,3,11,TBR,one,26
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,11,None,,27
neu,202.jpg,neutral_667.jpg,1,57,9999,red,TBF_neu,IMDF_scanner,no,57,9999,27,1,11,TBF,two,28
neg,361.jpg,People_210_h.jpg,1,80,9999,red,TBF_neg,IMDF_scanner,no,9999,50,50,2,11,TBF,two,29
neg,79.jpg,Objects_109_h.jpg,1,9999,66,green,TBR_neg,IMDF_scanner,no,9999,66,96,4,11,TBR,one,30
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,11,None,,31
neg,376.jpg,6211.jpg,1,84,9999,red,TBF_neg,IMDF_scanner,no,9999,54,54,2,11,TBF,two,32
neg,86.jpg,Faces_007_h.jpg,1,9999,73,green,TBR_neg,IMDF_scanner,no,9999,73,103,4,11,TBR,one,33
neu,47.jpg,neutral_671.jpg,1,9999,40,red,TBF_neu,IMDF_scanner,no,70,9999,70,3,11,TBF,one,34
neu,184.jpg,neutral_063.jpg,1,53,9999,red,TBF_neu,IMDF_scanner,no,53,9999,23,1,11,TBF,two,35
neu,421.jpg,neutral_131.jpg,1,9999,32,red,TBF_neu,IMDF_scanner,no,62,9999,62,3,11,TBF,one,36
