Emotion,Object,Scene,Trial_ID,distractor_object_1,distractor_object_2
neu,975.jpg,neutral_707.jpg,filler,952.jpg,957.jpg
neg,954.jpg,People_143_h.jpg,filler,981.jpg,987.jpg
neg,382.jpg,6312.jpg,56,90.jpg,353.jpg
neu,476.jpg,neutral_456.jpg,71,140.jpg,553.jpg
neu,20.jpg,neutral_223.jpg,25,553.jpg,48.jpg
neu,118.jpg,neutral_096.jpg,6,675.jpg,184.jpg
neg,82.jpg,People_217_h.jpg,99,76.jpg,281.jpg
neu,116.jpg,neutral_073.jpg,5,202.jpg,538.jpg
neg,877.jpg,Faces_283_h.jpg,106,361.jpg,86.jpg
neg,916.jpg,9423.jpg,114,87.jpg,305.jpg
neg,836.jpg,People_233_h.jpg,100,316.jpg,779.jpg
neu,132.jpg,neutral_585.jpg,10,421.jpg,173.jpg
neu,714.jpg,neutral_236.jpg,87,200.jpg,140.jpg
neg,32.jpg,Faces_172_h.jpg,46,281.jpg,267.jpg
neu,166.jpg,neutral_422.jpg,19,170.jpg,181.jpg
neg,942.jpg,H123.bmp,119,79.jpg,372.jpg
neg,276.jpg,Objects_125_h.jpg,37,353.jpg,316.jpg
neu,957.jpg,neutral_695.jpg,filler,975.jpg,950.jpg
neu,45.jpg,neutral_270.jpg,65,132.jpg,106.jpg
neg,769.jpg,People_198_h.jpg,94,947.jpg,836.jpg
neu,47.jpg,neutral_671.jpg,70,184.jpg,45.jpg
neu,421.jpg,neutral_131.jpg,62,173.jpg,152.jpg
neu,674.jpg,neutral_196.jpg,85,130.jpg,450.jpg
neg,9.jpg,6370.jpg,111,895.jpg,769.jpg
neg,848.jpg,Animals_060_h.jpg,102,916.jpg,932.jpg
neg,87.jpg,Faces_028_h.jpg,104,917.jpg,895.jpg
neu,140.jpg,neutral_121.jpg,12,151.jpg,50.jpg
neu,202.jpg,neutral_667.jpg,27,460.jpg,132.jpg
neg,321.jpg,Faces_302_h.jpg,47,802.jpg,38.jpg
neg,391.jpg,blood_034.jpg,57,779.jpg,9.jpg
neu,159.jpg,neutral_370.jpg,17,10.jpg,234.jpg
neg,372.jpg,2692.jpg,52,268.jpg,361.jpg
neg,257.jpg,Objects_007_h.jpg,34,372.jpg,845.jpg
neg,409.jpg,9630.jpg,60,920.jpg,280.jpg
neu,506.jpg,neutral_532.jpg,75,461.jpg,116.jpg
neg,361.jpg,People_210_h.jpg,50,313.jpg,391.jpg
neu,453.jpg,neutral_588.jpg,67,544.jpg,446.jpg
neg,312.jpg,Animals_025_h.jpg,42,409.jpg,942.jpg
neu,24.jpg,neutral_224.jpg,30,159.jpg,118.jpg
neg,332.jpg,Landscapes_025_h.jpg,48,245.jpg,947.jpg
neg,4.jpg,Faces_274_h.jpg,58,942.jpg,246.jpg
neg,79.jpg,Objects_109_h.jpg,96,877.jpg,748.jpg
neu,106.jpg,neutral_057.jpg,3,156.jpg,51.jpg
neg,316.jpg,Faces_019_h.jpg,44,4.jpg,312.jpg
neu,113.jpg,neutral_069.jpg,4,20.jpg,47.jpg
neg,884.jpg,Landscapes_002_h.jpg,107,75.jpg,896.jpg
neu,152.jpg,neutral_171.jpg,15,453.jpg,435.jpg
neg,748.jpg,Animals_018_h.jpg,91,845.jpg,75.jpg
neg,307.jpg,Animals_001_h.jpg,41,32.jpg,409.jpg
neg,305.jpg,People_223_h.jpg,40,38.jpg,87.jpg
neu,72.jpg,neutral_240.jpg,88,476.jpg,23.jpg
neg,895.jpg,Objects_003_h.jpg,108,809.jpg,376.jpg
neg,376.jpg,6211.jpg,54,82.jpg,406.jpg
neg,981.jpg,People_133_h.jpg,filler,954.jpg,953.jpg
neu,170.jpg,neutral_423.jpg,20,102.jpg,196.jpg
neg,932.jpg,Faces_272_h.jpg,118,926.jpg,307.jpg
neu,23.jpg,neutral_104.jpg,28,113.jpg,170.jpg
neu,560.jpg,neutral_148.jpg,82,234.jpg,121.jpg
neu,121.jpg,neutral_394.jpg,7,106.jpg,151.jpg
neg,317.jpg,Faces_034_h.jpg,45,257.jpg,25.jpg
neu,668.jpg,neutral_194.jpg,84,152.jpg,6.jpg
neu,161.jpg,neutral_416.jpg,18,116.jpg,560.jpg
neg,917.jpg,9424.jpg,115,312.jpg,897.jpg
neg,313.jpg,People_226_h.jpg,43,317.jpg,4.jpg
neg,920.jpg,9425.jpg,116,896.jpg,809.jpg
neu,542.jpg,neutral_568.jpg,78,714.jpg,675.jpg
neg,947.jpg,Objects_001_h.jpg,120,900.jpg,366.jpg
neu,675.jpg,neutral_598.jpg,86,435.jpg,20.jpg
neu,49.jpg,neutral_499.jpg,73,47.jpg,506.jpg
neu,151.jpg,neutral_132.jpg,14,166.jpg,476.jpg
neg,280.jpg,Objects_206_h.jpg,38,373.jpg,916.jpg
neg,25.jpg,Animals_078_h.jpg,33,276.jpg,877.jpg
neu,460.jpg,neutral_591.jpg,68,668.jpg,731.jpg
neu,130.jpg,neutral_504.jpg,9,41.jpg,544.jpg
neu,196.jpg,neutral_067.jpg,24,48.jpg,138.jpg
neg,900.jpg,6830.jpg,113,9.jpg,321.jpg
neu,50.jpg,neutral_531.jpg,74,23.jpg,724.jpg
neg,86.jpg,Faces_007_h.jpg,103,884.jpg,245.jpg
neu,553.jpg,neutral_145.jpg,81,446.jpg,674.jpg
neu,10.jpg,neutral_001.jpg,1,196.jpg,41.jpg
neu,435.jpg,neutral_188.jpg,63,118.jpg,130.jpg
neg,809.jpg,People_058_h.jpg,98,382.jpg,82.jpg
neu,544.jpg,neutral_614.jpg,79,121.jpg,10.jpg
neu,173.jpg,neutral_290.jpg,21,538.jpg,102.jpg
neu,6.jpg,neutral_193.jpg,83,138.jpg,166.jpg
neg,870.jpg,Faces_041_h.jpg,105,769.jpg,848.jpg
neg,245.jpg,Animals_033_h.jpg,31,406.jpg,870.jpg
neg,897.jpg,People_147_h.jpg,110,280.jpg,257.jpg
neu,952.jpg,neutral_673.jpg,filler,950.jpg,975.jpg
neg,896.jpg,People_003_h.jpg,109,366.jpg,900.jpg
neg,953.jpg,1050.jpg,filler,987.jpg,954.jpg
neg,779.jpg,Objects_022_h.jpg,95,267.jpg,79.jpg
neu,538.jpg,neutral_560.jpg,77,50.jpg,24.jpg
neg,281.jpg,People_239_h.jpg,39,836.jpg,920.jpg
neg,373.jpg,6210.jpg,53,25.jpg,926.jpg
neg,246.jpg,Animals_062_h.jpg,32,391.jpg,313.jpg
neu,123.jpg,neutral_461.jpg,8,72.jpg,453.jpg
neu,181.jpg,neutral_060.jpg,22,145.jpg,200.jpg
neg,845.jpg,Animals_013_h.jpg,101,321.jpg,317.jpg
neg,76.jpg,Landscapes_007_h.jpg,93,376.jpg,802.jpg
neu,184.jpg,neutral_063.jpg,23,724.jpg,55.jpg
neu,145.jpg,neutral_125.jpg,13,45.jpg,202.jpg
neg,75.jpg,Animals_065_h.jpg,92,897.jpg,90.jpg
neu,102.jpg,neutral_003.jpg,2,161.jpg,542.jpg
neg,38.jpg,6300.jpg,55,305.jpg,917.jpg
neu,138.jpg,neutral_119.jpg,11,123.jpg,421.jpg
neu,41.jpg,neutral_130.jpg,61,55.jpg,72.jpg
neu,200.jpg,neutral_198.jpg,26,506.jpg,461.jpg
neg,366.jpg,1930.jpg,51,246.jpg,76.jpg
neu,446.jpg,neutral_201.jpg,64,542.jpg,145.jpg
neu,731.jpg,neutral_244.jpg,90,450.jpg,161.jpg
neg,267.jpg,Objects_011_h.jpg,35,932.jpg,884.jpg
neu,51.jpg,neutral_538.jpg,76,674.jpg,123.jpg
neg,90.jpg,6555.jpg,112,86.jpg,382.jpg
neu,461.jpg,neutral_638.jpg,69,6.jpg,113.jpg
neu,234.jpg,neutral_382.jpg,29,181.jpg,49.jpg
neg,926.jpg,Animals_073_h.jpg,117,332.jpg,268.jpg
neu,55.jpg,neutral_620.jpg,80,24.jpg,159.jpg
neu,724.jpg,neutral_242.jpg,89,51.jpg,156.jpg
neu,48.jpg,neutral_497.jpg,72,560.jpg,714.jpg
neg,802.jpg,Objects_126_h.jpg,97,307.jpg,373.jpg
neg,353.jpg,Objects_145_h.jpg,49,848.jpg,332.jpg
neu,156.jpg,neutral_200.jpg,16,731.jpg,668.jpg
neg,268.jpg,Objects_088_h.jpg,36,870.jpg,32.jpg
neg,406.jpg,H044.bmp,59,748.jpg,276.jpg
neu,450.jpg,neutral_276.jpg,66,49.jpg,460.jpg
neg,987.jpg,6213.jpg,filler,953.jpg,981.jpg
neu,950.jpg,neutral_261.jpg,filler,957.jpg,952.jpg
