Emotion,Object,Scene,Set_ID,TBF_ID,TBR_ID,color,condition,exp_ID,filler,neg_ID,neu_ID,null_ID,order,pp_ID,remember_condition,repetition,trial_count
neu,975.jpg,neutral_707.jpg,,9999,92,green,TBFneuFILLER,IMDF_scanner,yes,94,9999,126,5,36,TBR,9999,1
neg,954.jpg,People_143_h.jpg,,94,9999,green,TBRnegFILLER,IMDF_scanner,yes,9999,92,124,5,36,TBR,9999,2
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,36,None,,3
neu,45.jpg,neutral_270.jpg,1,9999,35,green,TBR_neu,IMDF_scanner,no,65,9999,65,3,36,TBR,one,4
neg,877.jpg,Faces_283_h.jpg,1,9999,76,red,TBF_neg,IMDF_scanner,no,9999,76,106,4,36,TBF,two,5
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,36,None,,6
neu,118.jpg,neutral_096.jpg,1,36,9999,red,TBF_neu,IMDF_scanner,no,36,9999,6,1,36,TBF,one,7
neu,538.jpg,neutral_560.jpg,1,9999,47,red,TBF_neu,IMDF_scanner,no,77,9999,77,3,36,TBF,two,8
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,36,None,,9
neg,9.jpg,6370.jpg,1,9999,81,green,TBR_neg,IMDF_scanner,no,9999,81,111,4,36,TBR,two,10
neg,321.jpg,Faces_302_h.jpg,1,77,9999,green,TBR_neg,IMDF_scanner,no,9999,47,47,2,36,TBR,two,11
neg,361.jpg,People_210_h.jpg,1,80,9999,green,TBR_neg,IMDF_scanner,no,9999,50,50,2,36,TBR,two,12
neu,446.jpg,neutral_201.jpg,1,9999,34,red,TBF_neu,IMDF_scanner,no,64,9999,64,3,36,TBF,one,13
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,36,None,,14
neg,809.jpg,People_058_h.jpg,1,9999,68,red,TBF_neg,IMDF_scanner,no,9999,68,98,4,36,TBF,one,15
neg,779.jpg,Objects_022_h.jpg,1,9999,65,green,TBR_neg,IMDF_scanner,no,9999,65,95,4,36,TBR,one,16
neu,49.jpg,neutral_499.jpg,1,9999,43,green,TBR_neu,IMDF_scanner,no,73,9999,73,3,36,TBR,one,17
neg,802.jpg,Objects_126_h.jpg,1,9999,67,green,TBR_neg,IMDF_scanner,no,9999,67,97,4,36,TBR,one,18
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,36,None,,19
neg,4.jpg,Faces_274_h.jpg,1,88,9999,red,TBF_neg,IMDF_scanner,no,9999,58,58,2,36,TBF,two,20
neu,724.jpg,neutral_242.jpg,1,9999,59,red,TBF_neu,IMDF_scanner,no,89,9999,89,3,36,TBF,two,21
neg,353.jpg,Objects_145_h.jpg,1,79,9999,green,TBR_neg,IMDF_scanner,no,9999,49,49,2,36,TBR,two,22
neg,90.jpg,6555.jpg,1,9999,82,red,TBF_neg,IMDF_scanner,no,9999,82,112,4,36,TBF,two,23
neu,50.jpg,neutral_531.jpg,1,9999,44,green,TBR_neu,IMDF_scanner,no,74,9999,74,3,36,TBR,one,24
neu,506.jpg,neutral_532.jpg,1,9999,45,red,TBF_neu,IMDF_scanner,no,75,9999,75,3,36,TBF,one,25
neu,123.jpg,neutral_461.jpg,1,38,9999,red,TBF_neu,IMDF_scanner,no,38,9999,8,1,36,TBF,one,26
neg,900.jpg,6830.jpg,1,9999,83,green,TBR_neg,IMDF_scanner,no,9999,83,113,4,36,TBR,two,27
neu,145.jpg,neutral_125.jpg,1,43,9999,red,TBF_neu,IMDF_scanner,no,43,9999,13,1,36,TBF,one,28
neg,373.jpg,6210.jpg,1,83,9999,green,TBR_neg,IMDF_scanner,no,9999,53,53,2,36,TBR,two,29
neu,106.jpg,neutral_057.jpg,1,33,9999,green,TBR_neu,IMDF_scanner,no,33,9999,3,1,36,TBR,one,30
neu,116.jpg,neutral_073.jpg,1,35,9999,green,TBR_neu,IMDF_scanner,no,35,9999,5,1,36,TBR,one,31
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,36,None,,32
neg,884.jpg,Landscapes_002_h.jpg,1,9999,77,green,TBR_neg,IMDF_scanner,no,9999,77,107,4,36,TBR,two,33
neg,82.jpg,People_217_h.jpg,1,9999,69,green,TBR_neg,IMDF_scanner,no,9999,69,99,4,36,TBR,one,34
neg,748.jpg,Animals_018_h.jpg,1,9999,61,red,TBF_neg,IMDF_scanner,no,9999,61,91,4,36,TBF,one,35
neu,668.jpg,neutral_194.jpg,1,9999,54,green,TBR_neu,IMDF_scanner,no,84,9999,84,3,36,TBR,two,36
neg,281.jpg,People_239_h.jpg,1,69,9999,red,TBF_neg,IMDF_scanner,no,9999,39,39,2,36,TBF,one,37
neg,932.jpg,Faces_272_h.jpg,1,9999,88,red,TBF_neg,IMDF_scanner,no,9999,88,118,4,36,TBF,two,38
neg,372.jpg,2692.jpg,1,82,9999,green,TBR_neg,IMDF_scanner,no,9999,52,52,2,36,TBR,two,39
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,36,None,,40
neu,731.jpg,neutral_244.jpg,1,9999,60,red,TBF_neu,IMDF_scanner,no,90,9999,90,3,36,TBF,two,41
neg,86.jpg,Faces_007_h.jpg,1,9999,73,red,TBF_neg,IMDF_scanner,no,9999,73,103,4,36,TBF,one,42
neu,173.jpg,neutral_290.jpg,1,51,9999,green,TBR_neu,IMDF_scanner,no,51,9999,21,1,36,TBR,two,43
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,36,None,,44
neu,234.jpg,neutral_382.jpg,1,59,9999,red,TBF_neu,IMDF_scanner,no,59,9999,29,1,36,TBF,two,45
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,36,None,,46
neg,409.jpg,9630.jpg,1,90,9999,red,TBF_neg,IMDF_scanner,no,9999,60,60,2,36,TBF,two,47
neg,79.jpg,Objects_109_h.jpg,1,9999,66,green,TBR_neg,IMDF_scanner,no,9999,66,96,4,36,TBR,one,48
neu,10.jpg,neutral_001.jpg,1,31,9999,green,TBR_neu,IMDF_scanner,no,31,9999,1,1,36,TBR,one,49
neu,170.jpg,neutral_423.jpg,1,50,9999,red,TBF_neu,IMDF_scanner,no,50,9999,20,1,36,TBF,two,50
neg,942.jpg,H123.bmp,1,9999,89,red,TBF_neg,IMDF_scanner,no,9999,89,119,4,36,TBF,two,51
neg,382.jpg,6312.jpg,1,86,9999,red,TBF_neg,IMDF_scanner,no,9999,56,56,2,36,TBF,two,52
neu,20.jpg,neutral_223.jpg,1,55,9999,green,TBR_neu,IMDF_scanner,no,55,9999,25,1,36,TBR,two,53
neg,845.jpg,Animals_013_h.jpg,1,9999,71,green,TBR_neg,IMDF_scanner,no,9999,71,101,4,36,TBR,one,54
neg,391.jpg,blood_034.jpg,1,87,9999,red,TBF_neg,IMDF_scanner,no,9999,57,57,2,36,TBF,two,55
neg,926.jpg,Animals_073_h.jpg,1,9999,87,red,TBF_neg,IMDF_scanner,no,9999,87,117,4,36,TBF,two,56
neu,200.jpg,neutral_198.jpg,1,56,9999,green,TBR_neu,IMDF_scanner,no,56,9999,26,1,36,TBR,two,57
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,36,None,,58
neg,87.jpg,Faces_028_h.jpg,1,9999,74,green,TBR_neg,IMDF_scanner,no,9999,74,104,4,36,TBR,one,59
neg,246.jpg,Animals_062_h.jpg,1,62,9999,red,TBF_neg,IMDF_scanner,no,9999,32,32,2,36,TBF,one,60
neu,152.jpg,neutral_171.jpg,1,45,9999,red,TBF_neu,IMDF_scanner,no,45,9999,15,1,36,TBF,one,61
neu,151.jpg,neutral_132.jpg,1,44,9999,green,TBR_neu,IMDF_scanner,no,44,9999,14,1,36,TBR,one,62
neu,542.jpg,neutral_568.jpg,1,9999,48,red,TBF_neu,IMDF_scanner,no,78,9999,78,3,36,TBF,two,63
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,36,None,,64
neu,121.jpg,neutral_394.jpg,1,37,9999,green,TBR_neu,IMDF_scanner,no,37,9999,7,1,36,TBR,one,65
neu,553.jpg,neutral_145.jpg,1,9999,51,red,TBF_neu,IMDF_scanner,no,81,9999,81,3,36,TBF,two,66
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,36,None,,67
neg,313.jpg,People_226_h.jpg,1,73,9999,green,TBR_neg,IMDF_scanner,no,9999,43,43,2,36,TBR,one,68
neu,161.jpg,neutral_416.jpg,1,48,9999,green,TBR_neu,IMDF_scanner,no,48,9999,18,1,36,TBR,two,69
neg,920.jpg,9425.jpg,1,9999,86,red,TBF_neg,IMDF_scanner,no,9999,86,116,4,36,TBF,two,70
neu,421.jpg,neutral_131.jpg,1,9999,32,red,TBF_neu,IMDF_scanner,no,62,9999,62,3,36,TBF,one,71
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,36,None,,72
neu,476.jpg,neutral_456.jpg,1,9999,41,green,TBR_neu,IMDF_scanner,no,71,9999,71,3,36,TBR,one,73
neu,140.jpg,neutral_121.jpg,1,42,9999,red,TBF_neu,IMDF_scanner,no,42,9999,12,1,36,TBF,one,74
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,36,None,,75
neu,453.jpg,neutral_588.jpg,1,9999,37,green,TBR_neu,IMDF_scanner,no,67,9999,67,3,36,TBR,one,76
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,36,None,,77
neu,952.jpg,neutral_673.jpg,,92,9999,red,TBRneuFILLER,IMDF_scanner,yes,92,9999,122,5,36,TBF,9999,78
neg,987.jpg,6213.jpg,,9999,94,green,TBFnegFILLER,IMDF_scanner,yes,9999,94,128,5,36,TBR,9999,79
neu,950.jpg,neutral_261.jpg,,91,9999,red,TBRneuFILLER,IMDF_scanner,yes,91,9999,121,5,36,TBF,9999,80
neg,981.jpg,People_133_h.jpg,,9999,93,green,TBFnegFILLER,IMDF_scanner,yes,9999,93,127,5,36,TBR,9999,81
neu,435.jpg,neutral_188.jpg,2,9999,33,green,TBR_neu,IMDF_scanner,no,63,9999,63,3,36,TBR,one,82
neg,769.jpg,People_198_h.jpg,2,9999,64,red,TBF_neg,IMDF_scanner,no,9999,64,94,4,36,TBF,one,83
neu,23.jpg,neutral_104.jpg,2,58,9999,green,TBR_neu,IMDF_scanner,no,58,9999,28,1,36,TBR,two,84
neu,450.jpg,neutral_276.jpg,2,9999,36,green,TBR_neu,IMDF_scanner,no,66,9999,66,3,36,TBR,one,85
neg,76.jpg,Landscapes_007_h.jpg,2,9999,63,green,TBR_neg,IMDF_scanner,no,9999,63,93,4,36,TBR,one,86
None,,,2,,,None,NULL,IMDF_scanner,,,,9999,,36,None,,87
neu,72.jpg,neutral_240.jpg,2,9999,58,green,TBR_neu,IMDF_scanner,no,88,9999,88,3,36,TBR,two,88
neg,267.jpg,Objects_011_h.jpg,2,65,9999,green,TBR_neg,IMDF_scanner,no,9999,35,35,2,36,TBR,one,89
neg,75.jpg,Animals_065_h.jpg,2,9999,62,green,TBR_neg,IMDF_scanner,no,9999,62,92,4,36,TBR,one,90
None,,,2,,,None,NULL,IMDF_scanner,,,,9999,,36,None,,91
neu,41.jpg,neutral_130.jpg,2,9999,31,red,TBF_neu,IMDF_scanner,no,61,9999,61,3,36,TBF,one,92
neu,674.jpg,neutral_196.jpg,2,9999,55,green,TBR_neu,IMDF_scanner,no,85,9999,85,3,36,TBR,two,93
neg,947.jpg,Objects_001_h.jpg,2,9999,90,red,TBF_neg,IMDF_scanner,no,9999,90,120,4,36,TBF,two,94
None,,,2,,,None,NULL,IMDF_scanner,,,,9999,,36,None,,95
neg,836.jpg,People_233_h.jpg,2,9999,70,green,TBR_neg,IMDF_scanner,no,9999,70,100,4,36,TBR,one,96
neg,25.jpg,Animals_078_h.jpg,2,63,9999,red,TBF_neg,IMDF_scanner,no,9999,33,33,2,36,TBF,one,97
neg,406.jpg,H044.bmp,2,89,9999,red,TBF_neg,IMDF_scanner,no,9999,59,59,2,36,TBF,two,98
neu,202.jpg,neutral_667.jpg,2,57,9999,green,TBR_neu,IMDF_scanner,no,57,9999,27,1,36,TBR,two,99
neg,896.jpg,People_003_h.jpg,2,9999,79,green,TBR_neg,IMDF_scanner,no,9999,79,109,4,36,TBR,two,100
neg,312.jpg,Animals_025_h.jpg,2,72,9999,green,TBR_neg,IMDF_scanner,no,9999,42,42,2,36,TBR,one,101
neu,184.jpg,neutral_063.jpg,2,53,9999,red,TBF_neu,IMDF_scanner,no,53,9999,23,1,36,TBF,two,102
